MUSE Name,First Name,Last Name,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA(s),Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,Auto ID,MUSE ID,LYRICS,Count (LYRICS)
Cicero,Cicero,,"Philosopher,Orator,Author",ROM,Ancient,106 BC,43 BC,"Catilinarian Orations, Philosophical Treatises, Letters","BLOWsutra,KNOWsutra","oratory,philosophy,truth-telling,republic",,,https://en.wikipedia.org/wiki/Cicero,,Draft,154,M-154,,0
Plutarch,Plutarch,,"Author,Historian,Philosopher",GR,Ancient,c. 46 AD,c. 120 AD,"Parallel Lives, Moralia, Essays","KNOWsutra,GLOWsutra","history,philosophy,biography,wisdom",,,https://en.wikipedia.org/wiki/Plutarch,,Draft,153,M-153,,0
Douglas Adams,Douglas,Adams,Author,GB,Late 20th C,1952,2001,"The Hitchhiker's Guide to the Galaxy, The Restaurant at the End of the Universe",GROWsutra,"humor/satire,philosophy,science fiction,absurdity/joy,language",,,https://en.wikipedia.org/wiki/Douglas_Adams,,Draft,1,M-1,,0
Aesop,,Aesop,"Fabulist,Fool",GR,Ancient,c. 620 BC,c. 564 BC,Aesop's Fables,"KNOWsutra,SHOWsutra","wisdom,poetry/language,humor/satire,philosophy",,,https://en.wikipedia.org/wiki/Aesop,,Draft,2,M-2,,0
Hans Andersen,Hans,Andersen,"Author,Fool",DK,19th C,1805,1875,The Emperor's New Clothes,SHOWsutra,"storytelling,childhood,satire,fantasy,social criticism",Inspired the song 'The Great Naked King'.,,https://en.wikipedia.org/wiki/Hans_Christian_Andersen,,Draft,3,M-3,The Great Naked King,1
Maya Angelou,Maya,Angelou,"Author,Poet",US,Late 20th C,1928,2014,Rainbows in my clouds,GLOWsutra,"gratitude,hope",Originally inspired 'Rainbows in the Clouds' and 'Rainbows in My Clouds (Merci)'. Dedicated to Sri.,,https://en.wikipedia.org/wiki/Maya_Angelou,,Draft,4,M-4,Rainbows in the Clouds,1
Anonymous Anonymous,Anonymous,Anonymous,Fool,,Contemporary,,,,"KNOWsutra,BLOWsutra,SHOWsutra,GROWsutra,FLOWsutra,GLOWsutra,BOWsutra","universality,humor/satire,wisdom,mystery,collective",,,,,Draft,5,M-5,"A Good Witch,A Letter To My Friend (Never Again),A Liar’s Prize,A New Historical Era,A Stroll Down History’s Lane,ABC Of Kindness,ABC of NPD,Acoustic Attraction,All the -Isms,Arrogant Hearts (Second hand Smoke),Authentic Innovation Manifesto,Banana joke making us laugh,Bare Your Soul (Velvet),Be The Fool (Embrace The Cracks),Be The Fool (Perfection Is A Lie),Berries and Beaches,Blessed Be The Dogs,Blessed By The Wiggle,Bloom Past Doom,But Where Do Pigeons Go To Die?,""But Who Says """"Say My Name"""""",Clay Maiden,Comme Des Pions,Creeps,Creepy Pasta (What The Hella),CREEPYPASTA (what the hella),Creo (La Poesia),Curious Like A Kiss (Kiss a Pulse),D.I.M.M.E.R.s,Darling,Dead Dogs Deets,Do Panic Now,Do you ever Wonder?,Donkeys Years,EGO's Masquerade,""En Vrai, On Est Tous Frères"",F is for Fabulous,Fool On A Mission (No Name Game),Foolish,Foolish Goldfish (Forever),Freedom Fries,""Freee, La Fille"",French Poppies,Glitter On A Turd,Grifters,Gunther BBQ,Hammy On Clyde,Hard Core,HashtagWHY (Sorry Not Sorry),""Hello, Oh No"",""Hereby, I Cry"",""Hi, My Name Is (Not Celine Dion)"",Hiding Secrets in Lies,""Hold The Mic, Babe"",Hope is Do-Do-Dope,How Deep Is Your Shade?,How Do Kids Learn Now?,How Do We Find Meaning?,How Do You Explain War?,I Know You Didn’t Ask,I Think I Need a Good Spank!ng (in Madrid),Idiocracy Now,If We Had But(t) The Truth,Ironic Moronic Eugenics,Jealousy (Not For Me),Jolly Poo,Just Be,Kids Are Asking,Kiss A Pulse,La Force Douce,La Poesia Importa,Le Bal Electoral,Learn The Signs,Let’s Play A Game Where We All Win! (If The Game Is Absurd),Liars,Like A Criminal Strong Man,Lyrics Matter (sutraFOO),Make Amurica Gulag Again (MAGA),Making Songs Like,MAMA (Make America Mine Achtung),MAWA (Make America Woke Again),Men-Oh-Pause,""No, I'm Not Being Political (CIRCA 2025)"",""No, I'm Not Being Political (CIRCA 2026)"",Nous Sommes Le Feu,""Oh, Freedom"",""Oh, Martine"",Okie Dokie (No It's Not),One Percent Rising,Open The Window,Optics Of Cruelty (DEFY),Peace Matters More,Peace Unseen,""Philosophy, My Dear"",Poetry Matters,Poetry Nah Lie,Poetry Slow Burns,Possum Scrotum,Predators (Why War),Read Me Harder (BB is for Banned Books),Real Winners Dance,Relative Steve,Revolution's Lit,Second Hand Smoke (Arrogant Hearts),Secret De Polichinelle,Serial BLOWerrr,Serial Blowers,Shades of Fools (All I Know),Shady Fools,Shameless (DEFY),Shush (How To Help A Bible Bro Grow Up),Sidération,Sidération (The Sky Stood Still),Sidération Blues,Sidération's Calling,""So, What Is Racism?"",SS Means Sacred Sp3rm,Sutra of Immanence,Tell The Truth,The Fool Who Knows,The Love of A Dove,The Narcissist's Cabaret,They Call Her Wild (But She's Just Free),They Call Her... Out of Step,""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",Thrifting Memories,Trauma Begets Trauma,Trust No One,Universal Currency,We Remember What (We Remember What) We Feel☉,Wet (Prickly) Peaches vol.2,What Dissent Looks Like Now,What If -Ism,What It's About,What justifies the pain?,What the Mirror Said (Reste Lucide),What’s Behind Every Door?,When We Duende (All Night),When We Duende (Encore),Where Hope Expires,Where We Begin (Preakly Peaches),Who Are You? (And Who Am I?),Who Needs A Big D?,Why We Can't Be Brave?,Why You Lie (To The People's Face)?,WIN-WIN (Basic Science History),WIN-WIN (dub),Zero Sum (Zero Sean),What Justifies The Pain?,The Umm Song,The Courage To Care,The Cabaret Where No One Knows,Radio Static,Oxytocin,""Not Bad, Friendo"",MASA (Make America Safe Again),Hitlus With Your Best Shot,Freedom To Lie Is The New Human Right,Can You Play Win-Win Or No?,Buuuuurn!,A la Guerre Comme A la Guerre (To War or Not to War?),Frogs in the Cogs,Grateful for the weird,Win-Win After Midnight,Broken Whole,Acousticophilia,En-shitti-fi-cation,Why War? (Why Are Kids Allowed To Die?),Who Knows What Goes On?",169
Guillaume Apollinaire,Guillaume,Apollinaire,Poet,FR,Early 20th C,1880,1918,"Alcools, Calligrammes, Zone","FLOWsutra,GLOWsutra,BLOWsutra","poetry/language,creativity,love/kindness,modernism",,,https://en.wikipedia.org/wiki/Guillaume_Apollinaire,,Draft,6,M-6,,0
Hannah Arendt,Hannah,Arendt,Philosopher,DE,Mid 20th C,1906,1975,"The Origins of Totalitarianism, The Human Condition, Eichmann in Jerusalem","KNOWsutra,BLOWsutra,GROWsutra","authoritarianism,truth-telling,philosophy,democracy,resistance",One of my deepest intellectual touchstones. The banality of evil is the lens I use to understand how ordinary people enable catastrophic harm — and why silence is complicity. Her work haunts every BLOWsutra song I write.,The banality of evil.' | 'Under conditions of tyranny it is far easier to act than to think.' | 'The most radical revolutionary will become a conservative the day after the revolution.',https://en.wikipedia.org/wiki/Hannah_Arendt,,Draft,7,M-7,Question The Nation,1
Margaret Atwood,Margaret,Atwood,"Author,Poet",CA,Contemporary,1939,,The Handmaid's Tale,"KNOWsutra,BLOWsutra,SHOWsutra","authoritarianism,feminism,resistance,democracy",Male Fantasies' is a direct Atwood lyric quote-turned-song. Her work on how democracies slide into theocracies is the blueprint for everything happening right now. The 'Which Dystopia Are You Living In?' quiz includes her as a distinct archetype axis.,"Male fantasies, male fantasies, is everything run by male fantasies?' | 'Nolite te bastardes carborundorum.' | 'A word after a word after a word is power.'",https://en.wikipedia.org/wiki/Margaret_Atwood,,Draft,8,M-8,"Male Fantasies,Males Fantasies (vol2)",2
