SONGBOOK name,Status,Description,SUTRA(s),SONGBOOK primary topics,song_count,LYRICS,Count (LYRICS),SONGBOOK ID
Ask: (Naked) TRUTH,OPEN,The truth is agnostic. It doesn't care if you're embarrassed. 22 songs asking the questions power would rather you forgot.,KNOWsutra,TRUTH,24,"AI Fair Use Manifesto,AI Manifesto,Authentic Innovation Manifesto,Banana Alleluia,Genius EP,Hard Core,How Do Kids Learn Now?,Kids Are Asking,Kindness ABC,Metaphors' Edge (Joseph Campbell's song),New Normalcy (Planet Earth to Higher Grounds),Open The Window,Our Best,""Philosophy, My Dear"",Shades of Fools (All I Know),""So, What Is Racism?"",Some Truths Are Harder to Swallow,T.R.U.T.H,Tell The Truth,Truth Don't Care,When Did Seduction Become so Untrue?,Who Are You? (And Who Am I?),Radio Static,Who Knows What Goes On?",24,G-01-TRUT
Ask: But(t) WHY,REVIEW,"Four songs. One question. Socrates asked it, they killed him for it. We're still asking anyway.",KNOWsutra,WISDOM,4,"But(t) How Can You?,HashtagWHY (Sorry Not Sorry),""Oh My, Oh Why (Socrates Song)"",Shady Fools",4,G-01-WHY
Ask: BERTRAND (knows),OPEN,"Bertrand Russell walks into a bar, orders a paradox, and starts a philosophical fight club. Eight songs for the ethically curious.",KNOWsutra,WISDOM,8,"I Ain't No Christian (Like Bertrand),It's An Ethical Paradox,Question Di Kingdom,Question The Nation,The (Womp Womp) Conquestor,The Conquest of Happiness,Truth I never Knew (Crushing on Bertrand),""Two Things, Darling""",8,G-01-BERT
Ask: PEACE (not war),REVIEW,"21 songs for the historians, the dreamers, and everyone who refuses to unsee the pattern. Peace is not a default. It's a practice.",KNOWsutra,PEACE,25,"A Letter To My Friend (Never Again),A New Historical Era,A Stroll Down History’s Lane,Because The Fight,Blaise's Tale,Cassandra's Lullaby,""En Vrai, On Est Tous Frères"",Everybody Knows,Everybody Knows (The Foolishness),Foolish,Foolish Goldfish (Forever),""Genius, You See"",Hole Of Fire,How Do You Explain War?,Peace Matters More,Predators (Why War),The Love of A Dove,Trauma Begets Trauma,What It's About,What justifies the pain?,WIN-WIN (Basic Science History),What Justifies The Pain?,A la Guerre Comme A la Guerre (To War or Not to War?),Wars Don’t Flow,Why War? (Why Are Kids Allowed To Die?)",25,G-01-PEAC
Speak: APES (gone wrong),OPEN,"Grifters, criminals, idiocrats. What happens when the apes take the wheel? 18 songs on the subject — none of them wrong.",BLOWsutra,INJUSTICE,25,"Criminals,Criminels,Grifters,""Hey, Creeps"",Idiocracy Now,Ironic Moronic Eugenics,Le Bal Des Salauds,Le Bal Electoral,Le P'tit Jupiter,Le Système,""Le Système, ça voulait dire"",Men-Oh-Pause,Okie Dokie (No It's Not),Rhinoceross,Serial BLOWerrr,Serial Blowers,The Tyranny of Ignorance,Trust No One,Profane Obscenities,GROCK,Freedom To Lie Is The New Human Right,Felon Nation,Chuck-A-Dick,Jingoism 101,Twatocracy (Encore et Encore)",25,G-02-APES
Speak: EGO (gone loco),OPEN,NPD in sheet music. 22 songs about the people who confuse themselves with the whole universe — and the rest of us paying the tab.,BLOWsutra,EGO,23,"A Liar’s Prize,ABC of NPD,All the -Isms,Arrogant Hearts (Second hand Smoke),""But Who Says """"Say My Name"""""",Comme Des Pions,Creeps,D.I.M.M.E.R.s,Ego Ain't Your Amigo,EGO's Masquerade,""Hey, You (Creepers)"",How Deep Is Your Shade?,Jolly Poo,Learn The Signs,Liars,Male Fantasies,Males Fantasies (vol2),Nietzsche's Gift (Muddy Waters),Pablo's Grandeur,Relative Steve,Second Hand Smoke (Arrogant Hearts),The Narcissist's Cabaret,The Cabaret Where No One Knows",23,G-02-EGO
Speak: CENSOR(ed),REVIEW,"What they banned, deleted, redacted, and rewrote. 11 songs for the inconvenient truths that survive anyway.",BLOWsutra,INJUSTICE,11,"Dear Edward (The Snowden Song),Delete My Butt,Hiding Secrets in Lies,If We Had But(t) The Truth,L’Embobinage,Mass Media Freakshow,Read Me Harder (BB is for Banned Books),Secret De Polichinelle,Supreme Words (Whoop Whoop),The Dystopian Quiz Song,Wonderland of Bias",11,G-02-CENS
Speak: DUCK (shady),REVIEW,25 ways to describe one shady duck. None of them flattering. All of them warranted.,BLOWsutra,POOLITICS,27,"Ain't No Kid,Chuck Ain't Woke,Creepy Con Meme,Daddy's a Creep,Dump Trump,Hide Your Pets,""It's War, My Friend"",Kamala Has A Dream,L'Accordéon De l'Ignorance,Mind the Felon,Pedo Nation (Felon Nation Redux),Presidential Joke of The Year,Project 2025 (Honky tonk dreams in the land of the free),RUN (Now If You Can),Shining Twins,SS Means Sacred Sp3rm,Stymy Stymy Yuck,The Ducktator (Lament),The Grazed Duck Luck,The President’s Above The Law,The Weave,Trump Derangement Syndrome ™,Who's Your Vladdy?,Why You Lie (To The People's Face)?,Woke 'em Whacks,Tweeting from the Throne,Ignoramus Divine",27,G-02-DUC
Speak: FOTUS Circus,REVIEW,"Step right up. The FOTUS is in the ring, the clowns are running the republic, and the entrance music is appalling. Enjoy.",BLOWsutra,POOLITICS,9,"Carnival FOTUS (ctd),FOTUS Circus: Angels Eyes,FOTUS Circus: Ginsberg Hollow (Horror) Show,Like A Criminal Strong Man,The Accordion of Ignorance,""FOTUS Circus: Step right up, My Dearest Souls"",""FOTUS Circus: Step Inside, Don’t Mind The Crime"",""FOTUS Circus: Welcome, You Fools"",""FOTUS Circus: Come On In, You Wretched Fools""",9,G-02-CIRC
Speak: MAxxxA Saga,REVIEW,"MAGA, MACA, MAMA, MAHA, MAKA, MAWA. Six acronyms. One burning question: make America what, exactly?",BLOWsutra,POOLITICS,6,"MAHA (Make America Humane Again),MAKA (Make America Kind Again),Make Amurica Gulag Again (MAGA),MAMA (Make America Mine Achtung),MAWA (Make America Woke Again),MASA (Make America Safe Again)",6,G-02-MAXA
