playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,EPs,TRACKs
BOWsutra : (Thank) Dogs,https://soundcloud.com/bananasutra/sets/bowsutra-thank-dogs,SHOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,ROCK",10,2181,30,34:33,https://i1.sndcdn.com/artworks-safSzuvAHiwvn0LF-0u5a3Q-t500x500.png,Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,[05] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK
SHOWsutra : B.J. (is for Banana Jesters),https://soundcloud.com/bananasutra/sets/showsutra-b-j-is-for-banana,SHOWsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",8,2324,27,25:38,https://i1.sndcdn.com/artworks-yoEMRKS82rZVyqki-15yXGg-t500x500.png,"BANANA ALLELUIA ♾ EPx5 ♾ KNOWsutra BURLESQUE,Who Needs a Big D? EP x8 VOL. 1 - JAZZ 'n DUB,SynthemaSutra ♆ SHOWsutra Banana EPx8","[01] BANANA ALLELUIA — KNOWsutra Folk Waltz Ballad BURLESQUE,[03] BANANA ALLELUIA — KNOWsutra Banjo Waltz Bounce BURLESQUE,[1] Who Needs a Big D? OG BURLESQUE,[02] Synthema Sutras - SHOWsutra Banana Tzigane Conscious Soul Fusion Indie LOFI"
WORLDsutra : SPAN(k)ish,https://soundcloud.com/bananasutra/sets/worldsutra-span-k-ish,GLOWsutra,"INDIE,WORLD,DUB,JAZZ,MANTRA",4,3055,35,15:03,https://i1.sndcdn.com/artworks-DQAHMhBcDTcoVFfl-BTKWAA-t500x500.png,"La Poesia Importa ♕ EPx7 VOL.01 ♕ Bananasutra En Español,Creo (La Poesia) ☘ EPx10 VOL.01 ☘ Bananasutra En Español","[06] La Poesia Importa 2 (low) - Psy JAZZsutra,[03] Creo (la poesia) - Contrabass Guitar Classico,[06] Creo - Muse DUBsutra,[02] Creo (la poesia) - Arabesk Fado"
SHOWsutra: (shades of) FOOLS,https://soundcloud.com/bananasutra/sets/showsutra-shades-of-fools,SHOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,LOFI",7,4669,66,22:39,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,"Shades of Fools EPx9,WIN-WIN DUB EPx3 ⚭ French-English GROWsutra Fusion Soul,This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream","[01] Win Win Dub ⚭ French GROWsutra Soulful Hip Hop Ragga DUB,[7] Shades of Fools • All I know is I dunno • Ragga DUBsutra High,[6] Shades of Fools • All I know is I dunno • Fastass BANJOsutra,[04] What Dissent Looks Like Now • BLOWsutra Post-Punk Piano Trip Hop Lo-Fi Burlesque JAZZ,Shady Fools • FOLKsutra"
GROWsutra : DARE (to care),https://soundcloud.com/bananasutra/sets/growsutra-dare-to-care,GROWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,LOFI,MANTRA",9,5249,53,28:33,https://i1.sndcdn.com/artworks-qhqHRqMMeCjATzsp-RQ8fQQ-t500x500.png,"Hereby · I Cry ☠ BLOWsutra EPx5,We Remember What (We Remember What) We Feel☉EPx5 INDIE GROWsutra,This Is My Quest • GROWsutra (Dare to Care) Dream EPx19","""[05] Hereby, I Cry • Arabesk Drum MANTRA"",we remember what we remember when we feel 2,[15] This Is My Quest • GROWsutra Psychedelic Poetry Bridges the DUB,Where Hope Expires • Folk BANJOsutra"
FLOWsutra : WET (my friend),https://soundcloud.com/bananasutra/sets/flowsutra-wet-my-friend,FLOWsutra,"BLUES,BURLESQUE,DUB,JAZZ",15,5395,80,50:22,https://i1.sndcdn.com/artworks-lciyCEyApUx6fnqe-mWMztg-t500x500.png,"Prickly Peaches DUBsutra EPx3,Foolish EPx5,Wet (Prickly) Peaches vol.2,When We Duende (All Night) EPx9 ☯ DUB + BURLESQUEsutra,Let’s Do It (Let's Fall in Love) EP • Public Domain Lyrics • JAZZsutra,Peel Me Kindly 🍌 SHOWsutra Gone Banana à la Gipsy JAZZ EPx7","When We Duende 3 - FLOWsutra DUB,When We Duende 4 - SHOWsutra JAZZ DUB,Wet Peaches • Blues BANJOsutra,Absinthe Bliss (Kiss Me Slow) • DUBsutra,Dark (Lace) Rhythms • TANGOsutra,Prickly Peaches (one) • DUB Sutra,[01] Peel Me Kindly • FLOWsutra Gone Banana Joke Gipsy JAZZ,Let’s Do It • Public Domain Lyrics • JAZZsutra 2"
BOWsutra : DEATH (is nothing),https://soundcloud.com/bananasutra/sets/bowsutra-death-is-nothing,BOWsutra,"BLUES,DUB,INDIE,JAZZ",9,5551,62,27:30,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t500x500.png,"Darling EP,Easy (Death Is Nothing At All) ❣ BOWsutra EPx9,Oh · Martine ❃ French GLOW+BOWsutra ❃ Side A+B EPx28","[07] Easy (Death Is Nothing At All) • BOWsutra La Poesita Peace DUB INDIE,#2 Darling - JAZZsutra,Side A [12] Oh Martine • BOWsutra La Poesita Fado World Duende INDIE,Side A [08] Oh Martine • BOWsutra French Psychedelic Cello Indie JAZZ,Side A [07] Oh Martine • BOWsutra French Psychedelic Cello Indie JAZZ"
WORLDsutra : Russian(ish),https://soundcloud.com/bananasutra/sets/worldsutra-russian-ish,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",15,5751,66,1:01:23,https://i1.sndcdn.com/artworks-acFrdgqIA6o30Zzp-mlZM9A-t500x500.png,"The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover),Who's Your Vladdy? EPx10 ☿ BLOWsutra World Peace Fusion Indie,Who's Your Vladdy? EPx2 VOL.02 ☿ BLOWsutra World Peace LOFI + ROCK","Who's Your Vladdy BLOWsutra Psychedelic Burlesque Punk ROCK,[08] Who's Your Vladdy • BLOWsutra Psychedelic Poetry Folk DUB,[07] Who's Your Vladdy • BLOWsutra Psychedelic Poetry Folk DUB,[04] Who's Your Vladdy • BLOWsutra Psychedelic World Soul FUSION,[03] The Echo Song - Vladimir Vysotsky Cover - Russian BLOWsutra Classic Psychedelic Banjo BLUES,[02] The Echo Song - Vladimir Vysotsky Cover - Russian BLOWsutra Gipsy Arabesk World Peace Indie Trip Pop LOFI"
GLOWsutra : POET(ry),https://soundcloud.com/bananasutra/sets/glowsutra-poet-ry,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI,MANTRA",14,6762,85,49:35,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,"La Poesia Importa ♕ EPx7 VOL.01 ♕ Bananasutra En Español,Poetry Matters EP vol.3,Poetry Matters ☰ BANJOsutra EPx2,Poetry Matters ☲ EPx3 Vol.05 ☲ DUBsutra,Poetry Slow Burns ☲ EPx5 Vol.01 ☲ DUBsutra,Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2","[05] Poetry Slow Burns - Sweet DUBsutra,[01] Poetry Slow Burns  - Gold DUBsutra,[03] Poetry Duende - DUBsutra,[01] Poetry Duende - DUBsutra,[03] La Poesia Importa - Oh Lordy DUBsutra,Poetry Matters • LOFI DUBsutra,Poetry Matters (1) ☰ BANJOsutra dream,[01] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie trip Hop(e) Blues Lullaby LOFI,Poetry (Nah Lie) • GROWsutra Ragga Mantra DUB"
FLOWsutra : FLY (like water),https://soundcloud.com/bananasutra/sets/flowsutra-fly-like-water,FLOWsutra,"BLUES,DUB,LOFI",8,7176,98,24:01,https://i1.sndcdn.com/artworks-NrFEJYn5QiBNXnw5-RFTkHQ-t500x500.png,"Fluye (como el mar) FLOWsutra,Jealousy (not for me) ♡ GROWsutra EPx22,Just Be EP X7 | Vocal Honey Audio Ideals","[15] Jealousy (not for me) - WSWHFN DUB,[07] Fluye • Miss Cheeky DUB (1),[06] Fluye • Queen (of Authentic) DUB (2),Just Grind(ha) • Harmonica Blues Lo-fi • sutraFLOW,Just Gasp(be) • Jazzy DUB Poetry • sutraFLOW (v1),aintdoingbaddoingnothing 💨,making songs like…,""Flow like Water, My Friend"""
