track title,sc_url,lyrics_title,sutra,genres,instruments,ep_title,ep_url,ep_track_number,ep_total_tracks,playlist_names_clean,playlist_count,play_count,like_count,repost_count,comment_count,duration,created_at,bpm,artwork_url,waveform_url,soundcloud genre,tags,description,license,track_type,purchase_url,download_url,track_id,lyrics_id
[01] BANANA ALLELUIA — KNOWsutra Folk Waltz Ballad BURLESQUE,https://soundcloud.com/bananasutra/01-banana-alleluia-knowsutra-folk-waltz-ballad-burlesque-1,Banana Alleluia,KNOWsutra,"BURLESQUE,FOLK",,,,,,KNOWsutra where questions matter,0,193,6,0,0,3:43,,,https://i1.sndcdn.com/artworks-ygtp0Bp5Ccu1zSfd-ysCUOA-t500x500.png,https://wave.sndcdn.com/lbE65FDz30sl_m.json,Soundtrack,"News & Politics,Jazz & Blues,world gone bananas,why,true story,burlesque,cheeky,knowsutra,cabaret,fotus circus,acoustic,dystopia,quack,banjo,cello,philosophy,circus","BANANA ALLELUIA, KNOWsutra BURLESQUE is a cheeky little psychedelic waltz EPx5, made of dystopian jazz-folk wisdom, strings plucking, honest sharing, and a few different shades of knowing—from hushed confession to playful rebellion—weaving cello sarcasm, velvety banjo, and quirky philosophy into a swingy truth-telling cabaret…   Think Bertrand Russell meets Tom Waits backstage at a burlesque circus run by Nina Simone, acoustic mischief that pairs absurdly with clarity, with an open heart and a side of side-eye. :)  ⚞ @bananasuta lyrics ⚟  [Intro] In a capitalist world gone bananas, What do you know is true, woohoo? Whatever that may be, oh my, Don’t you wanna know why?  [Verse 1] It’s as if unapologetic, Rhymed with something so kinetic, Psychedelic magic in the air, Eeek! Hahaha, woohoo, if you dare!  [Chorus] Oh ya, what I’m telling ya, You gotta wonder why, To learn what keeps us high, And alleluia, reach the sky!  [Verse 2] The new winners’ grind, Acting like bamboozlers, blind, So-called doers in disguise, Ducking pricks, oh my, what lies!  [Chorus] Oh ya, what I’m telling ya, You gotta wonder why, To learn what keeps us high, And alleluia, reach the sky!  [Outro] Oh please, tell me you know why? Why, oh why? Oh my, oh my! You gotta ask WHY …  in a capitalist world gone bananas 🍌",all-rights-reserved,,,,2140154127,L-22
[01] What It's About • Vol. 02 • BLOWsutra Revolution Ring Piano Jazz BURLESQUE,https://soundcloud.com/bananasutra/01-what-its-about-vol-02-blowsutra-revolution-ring-piano-jazz-burlesque-1,What It's About,BLOWsutra,"BURLESQUE,JAZZ",piano,What It's About • Vol. 02 EPx6 • BLOWsutra Revolution Ring,https://soundcloud.com/bananasutra/sets/what-its-about-vol-02-epx6-blowsutra-revolution-ring,1,6,BLOWsutra,0,1134,19,0,2,4:01,2025-11-20 22:24,,https://i1.sndcdn.com/artworks-f5X1h7BNCNHQw6au-Qj1DyQ-t500x500.png,https://wave.sndcdn.com/wsDdZTvrOBWI_m.json,Soundtrack,"burlesque,Jazz & Blues,News & Politics,psychedelic,cabaret,ahem,piano","This is Volume 2 of ""What's It's About"" (because Revolution sure ain't happening and god knows the kids will pay the price...), EPx6 flows from Burlesque to Jazz, à la sauce Piano with a banjo cherry.  This song started as heartfelt social media comment… In response to a young talented disability attorney and hard-working diversity advocate basically apologizing for making one post about increasing hardship for disadvantaged people, and those who advocate for their basic, human rights. Sigh, American positivity is such a weird hypocritical superficial vain thing to me, especially in the freak context of neo-fasc!st history #ahem    +++ here's my original stream-of-consciousness comment:  This is not about you, or me, it's about documenting the truth. It's about the integrity of American history. It's about exposing the abject lies and cruel actions of an authoritarian regime with no conscience nor accountability. It's about helping each others understand what(tf) is actually happening, ever since a convicted rap!st and recidivist fraudster felon ""rigged the elections"" (sic). It's about helping each other fight greed and corruption. It's about educating the people, equally. It's about justice, and the importance of transparency. It's about honesty. It's about being brave, and discussing the reality of fasc!sm in this country.  It's about being kind, and that means being clear. Speaking up is the very least you, and I, and everyone MUST do. So please, please, DO speak up! Why Not? We must, while we still can… Mass-incarcerations haven't started yet (ha hahem).   +++ @bananasutra song #lyrics   [Verse 1] It’s not ’bout me, it’s not ’bout you, It’s about the wounds that never heal through. It’s about pages torn from time, Truth in exile, buried in rhyme.  It’s about the silence, cold and wide, Where history’s ghosts are forced to hide. Not for glory, not for clout, Just for saying what it’s about.  [Chorus] What it’s about… Is the truth they drown. What it’s about… Is the breaking down. What it’s about… Is the cries unheard. What it’s about… Is the weight of words.  [Verse 2] It’s about a felon crowned in gold, Feeding lies like they were soul. It’s about greed with a mask of grace, Selling fear to stay in place.  It’s about schools that never taught, And cages built from every “ought.” It’s about naming what they shout, Then whispering ""that’s what it’s about""…  [Chorus] What it’s about… Is the ones they chain. What it’s about… Is the hidden pain. What it’s about… Is the smoke, the screen. What it’s about… Is what freedom means.  [Bridge] It’s about the cost… of keeping still. The hush that bends a nation’s will. It’s not a choice to speak or not, It’s breath, it’s blood, it’s all we’ve got.  They laugh and call it overblown, While prisons fill and hearts turn stone. But kindness cuts the deepest way, And truth, my love, don’t look away.  [Final Chorus] What it’s about… Is the love that stays. What it’s about… Is the darker days. What it’s about… Is the voice inside. What it’s about… Is the will to rise.  [Outro] So please… Speak while we still can… Before the silence Takes the land.  That’s what it’s about. Yes… That’s what it’s about.  [end]   Made in the USA #circa2025 with much empathy, hope, #sunomusic and my #aivoice",all-rights-reserved,,,,2216245640,L-279
[03] What It's About • Vol. 02 • BLOWsutra Revolution Ring Piano Jazz BURLESQUE,https://soundcloud.com/bananasutra/03-what-its-about-vol-02-blowsutra-revolution-ring-piano-jazz-burlesque-3,What It's About,BLOWsutra,"BURLESQUE,JAZZ",piano,What It's About • Vol. 02 EPx6 • BLOWsutra Revolution Ring,https://soundcloud.com/bananasutra/sets/what-its-about-vol-02-epx6-blowsutra-revolution-ring,3,6,BLOWsutra,0,649,7,0,0,4:15,2025-11-20 22:24,,https://i1.sndcdn.com/artworks-f5X1h7BNCNHQw6au-Qj1DyQ-t500x500.png,https://wave.sndcdn.com/iZk7VgBzOBxH_m.json,Soundtrack,"burlesque,Jazz & Blues,News & Politics,psychedelic,cabaret,ahem,piano","This is Volume 2 of ""What's It's About"" (because Revolution sure ain't happening and god knows the kids will pay the price...), EPx6 flows from Burlesque to Jazz, à la sauce Piano with a banjo cherry.  This song started as heartfelt social media comment… In response to a young talented disability attorney and hard-working diversity advocate basically apologizing for making one post about increasing hardship for disadvantaged people, and those who advocate for their basic, human rights. Sigh, American positivity is such a weird hypocritical superficial vain thing to me, especially in the freak context of neo-fasc!st history #ahem    +++ here's my original stream-of-consciousness comment:  This is not about you, or me, it's about documenting the truth. It's about the integrity of American history. It's about exposing the abject lies and cruel actions of an authoritarian regime with no conscience nor accountability. It's about helping each others understand what(tf) is actually happening, ever since a convicted rap!st and recidivist fraudster felon ""rigged the elections"" (sic). It's about helping each other fight greed and corruption. It's about educating the people, equally. It's about justice, and the importance of transparency. It's about honesty. It's about being brave, and discussing the reality of fasc!sm in this country.  It's about being kind, and that means being clear. Speaking up is the very least you, and I, and everyone MUST do. So please, please, DO speak up! Why Not? We must, while we still can… Mass-incarcerations haven't started yet (ha hahem).   +++ @bananasutra song #lyrics   [Verse 1] It’s not ’bout me, it’s not ’bout you, It’s about the wounds that never heal through. It’s about pages torn from time, Truth in exile, buried in rhyme.  It’s about the silence, cold and wide, Where history’s ghosts are forced to hide. Not for glory, not for clout, Just for saying what it’s about.  [Chorus] What it’s about… Is the truth they drown. What it’s about… Is the breaking down. What it’s about… Is the cries unheard. What it’s about… Is the weight of words.  [Verse 2] It’s about a felon crowned in gold, Feeding lies like they were soul. It’s about greed with a mask of grace, Selling fear to stay in place.  It’s about schools that never taught, And cages built from every “ought.” It’s about naming what they shout, Then whispering ""that’s what it’s about""…  [Chorus] What it’s about… Is the ones they chain. What it’s about… Is the hidden pain. What it’s about… Is the smoke, the screen. What it’s about… Is what freedom means.  [Bridge] It’s about the cost… of keeping still. The hush that bends a nation’s will. It’s not a choice to speak or not, It’s breath, it’s blood, it’s all we’ve got.  They laugh and call it overblown, While prisons fill and hearts turn stone. But kindness cuts the deepest way, And truth, my love, don’t look away.  [Final Chorus] What it’s about… Is the love that stays. What it’s about… Is the darker days. What it’s about… Is the voice inside. What it’s about… Is the will to rise.  [Outro] So please… Speak while we still can… Before the silence Takes the land.  That’s what it’s about. Yes… That’s what it’s about.  [end]   Made in the USA #circa2025 with much empathy, hope, #sunomusic and my #aivoice",all-rights-reserved,,,,2216245649,L-279
[04] What It's About • Vol. 02 • BLOWsutra Revolution Ring Psychedelic Piano Trip Hop Blues JAZZ,https://soundcloud.com/bananasutra/04-what-its-about-vol-02-blowsutra-revolution-ring-psychedelic-piano-trip-hop-blues-jazz-4,What It's About,BLOWsutra,"BLUES,JAZZ",piano,What It's About • Vol. 02 EPx6 • BLOWsutra Revolution Ring,https://soundcloud.com/bananasutra/sets/what-its-about-vol-02-epx6-blowsutra-revolution-ring,4,6,BLOWsutra,0,1458,23,0,0,3:58,2025-11-20 22:24,,https://i1.sndcdn.com/artworks-f5X1h7BNCNHQw6au-Qj1DyQ-t500x500.png,https://wave.sndcdn.com/q2HORK8v7ihW_m.json,Soundtrack,"burlesque,Jazz & Blues,News & Politics,psychedelic,cabaret,ahem,piano","This is Volume 2 of ""What's It's About"" (because Revolution sure ain't happening and god knows the kids will pay the price...), EPx6 flows from Burlesque to Jazz, à la sauce Piano with a banjo cherry.  This song started as heartfelt social media comment… In response to a young talented disability attorney and hard-working diversity advocate basically apologizing for making one post about increasing hardship for disadvantaged people, and those who advocate for their basic, human rights. Sigh, American positivity is such a weird hypocritical superficial vain thing to me, especially in the freak context of neo-fasc!st history #ahem    +++ here's my original stream-of-consciousness comment:  This is not about you, or me, it's about documenting the truth. It's about the integrity of American history. It's about exposing the abject lies and cruel actions of an authoritarian regime with no conscience nor accountability. It's about helping each others understand what(tf) is actually happening, ever since a convicted rap!st and recidivist fraudster felon ""rigged the elections"" (sic). It's about helping each other fight greed and corruption. It's about educating the people, equally. It's about justice, and the importance of transparency. It's about honesty. It's about being brave, and discussing the reality of fasc!sm in this country.  It's about being kind, and that means being clear. Speaking up is the very least you, and I, and everyone MUST do. So please, please, DO speak up! Why Not? We must, while we still can… Mass-incarcerations haven't started yet (ha hahem).   +++ @bananasutra song #lyrics   [Verse 1] It’s not ’bout me, it’s not ’bout you, It’s about the wounds that never heal through. It’s about pages torn from time, Truth in exile, buried in rhyme.  It’s about the silence, cold and wide, Where history’s ghosts are forced to hide. Not for glory, not for clout, Just for saying what it’s about.  [Chorus] What it’s about… Is the truth they drown. What it’s about… Is the breaking down. What it’s about… Is the cries unheard. What it’s about… Is the weight of words.  [Verse 2] It’s about a felon crowned in gold, Feeding lies like they were soul. It’s about greed with a mask of grace, Selling fear to stay in place.  It’s about schools that never taught, And cages built from every “ought.” It’s about naming what they shout, Then whispering ""that’s what it’s about""…  [Chorus] What it’s about… Is the ones they chain. What it’s about… Is the hidden pain. What it’s about… Is the smoke, the screen. What it’s about… Is what freedom means.  [Bridge] It’s about the cost… of keeping still. The hush that bends a nation’s will. It’s not a choice to speak or not, It’s breath, it’s blood, it’s all we’ve got.  They laugh and call it overblown, While prisons fill and hearts turn stone. But kindness cuts the deepest way, And truth, my love, don’t look away.  [Final Chorus] What it’s about… Is the love that stays. What it’s about… Is the darker days. What it’s about… Is the voice inside. What it’s about… Is the will to rise.  [Outro] So please… Speak while we still can… Before the silence Takes the land.  That’s what it’s about. Yes… That’s what it’s about.  [end]   Made in the USA #circa2025 with much empathy, hope, #sunomusic and my #aivoice",all-rights-reserved,,,,2216245643,L-279
[05] What It's About • Vol. 02 • BLOWsutra Revolution Ring Psychedelic BANJO Trip Hop Blues JAZZ,https://soundcloud.com/bananasutra/05-what-its-about-vol-02-blowsutra-revolution-ring-psychedelic-banjo-trip-hop-blues-jazz-5,What It's About,BLOWsutra,"BANJO,BLUES,JAZZ",banjo,What It's About • Vol. 02 EPx6 • BLOWsutra Revolution Ring,https://soundcloud.com/bananasutra/sets/what-its-about-vol-02-epx6-blowsutra-revolution-ring,5,6,BLOWsutra,0,1285,19,1,0,3:52,2025-11-20 22:24,,https://i1.sndcdn.com/artworks-f5X1h7BNCNHQw6au-Qj1DyQ-t500x500.png,https://wave.sndcdn.com/0EyfFhbeuRy4_m.json,Soundtrack,"burlesque,Jazz & Blues,News & Politics,psychedelic,cabaret,ahem,piano","This is Volume 2 of ""What's It's About"" (because Revolution sure ain't happening and god knows the kids will pay the price...), EPx6 flows from Burlesque to Jazz, à la sauce Piano with a banjo cherry.  This song started as heartfelt social media comment… In response to a young talented disability attorney and hard-working diversity advocate basically apologizing for making one post about increasing hardship for disadvantaged people, and those who advocate for their basic, human rights. Sigh, American positivity is such a weird hypocritical superficial vain thing to me, especially in the freak context of neo-fasc!st history #ahem    +++ here's my original stream-of-consciousness comment:  This is not about you, or me, it's about documenting the truth. It's about the integrity of American history. It's about exposing the abject lies and cruel actions of an authoritarian regime with no conscience nor accountability. It's about helping each others understand what(tf) is actually happening, ever since a convicted rap!st and recidivist fraudster felon ""rigged the elections"" (sic). It's about helping each other fight greed and corruption. It's about educating the people, equally. It's about justice, and the importance of transparency. It's about honesty. It's about being brave, and discussing the reality of fasc!sm in this country.  It's about being kind, and that means being clear. Speaking up is the very least you, and I, and everyone MUST do. So please, please, DO speak up! Why Not? We must, while we still can… Mass-incarcerations haven't started yet (ha hahem).   +++ @bananasutra song #lyrics   [Verse 1] It’s not ’bout me, it’s not ’bout you, It’s about the wounds that never heal through. It’s about pages torn from time, Truth in exile, buried in rhyme.  It’s about the silence, cold and wide, Where history’s ghosts are forced to hide. Not for glory, not for clout, Just for saying what it’s about.  [Chorus] What it’s about… Is the truth they drown. What it’s about… Is the breaking down. What it’s about… Is the cries unheard. What it’s about… Is the weight of words.  [Verse 2] It’s about a felon crowned in gold, Feeding lies like they were soul. It’s about greed with a mask of grace, Selling fear to stay in place.  It’s about schools that never taught, And cages built from every “ought.” It’s about naming what they shout, Then whispering ""that’s what it’s about""…  [Chorus] What it’s about… Is the ones they chain. What it’s about… Is the hidden pain. What it’s about… Is the smoke, the screen. What it’s about… Is what freedom means.  [Bridge] It’s about the cost… of keeping still. The hush that bends a nation’s will. It’s not a choice to speak or not, It’s breath, it’s blood, it’s all we’ve got.  They laugh and call it overblown, While prisons fill and hearts turn stone. But kindness cuts the deepest way, And truth, my love, don’t look away.  [Final Chorus] What it’s about… Is the love that stays. What it’s about… Is the darker days. What it’s about… Is the voice inside. What it’s about… Is the will to rise.  [Outro] So please… Speak while we still can… Before the silence Takes the land.  That’s what it’s about. Yes… That’s what it’s about.  [end]   Made in the USA #circa2025 with much empathy, hope, #sunomusic and my #aivoice",all-rights-reserved,,,,2216245634,L-279
[11] How Do Kids Learn KNOWsutra Gipsy Fado Flamenco Techno Arabesk WORLD 11,https://soundcloud.com/bananasutra/11-how-do-kids-learn-knowsutra-gipsy-fado-flamenco-techno-arabesk-world-11-11,When Did Seduction Become so Untrue?,KNOWsutra,"WORLD,INDIE,BURLESQUE,MANTRA",,When Did Seduction Become so Untrue? EPx16 Vol. 02 ䷶ KNOWsutra Flamenco Techno,https://soundcloud.com/bananasutra/sets/when-did-seduction-become-so-untrue-how-do-kids-learn-now-epx16-vol-02-knowsutra-flamenco-techno,11,16,KNOWsutra where questions matter,0,388,6,0,0,4:31,,,https://i1.sndcdn.com/artworks-vJJyHyvScNYFs8IL-ASDhig-t500x500.png,https://wave.sndcdn.com/VSmuMEBtuYSJ_m.json,World,"Techno,Flamenco,News & Politics,Religion & Spirituality,Fado,Arabesk,gipsy,percussive,tribal wisdom","This EPx16 crosses the symbolic mark of 1000 original tracks released on SoundCloud, in one year. So, YAY. It's worth acknowledging, because I am just sooo grateful for being able to process my feelings with songs. And god knows there is indeed much to process, in a world gone bananas. I considered making the 1000th track special, but I’m not that special, really ;)  This is Vol. 02 of a song I love, “How do Kids Learn Now?” aka “When did seduction become so Untrue?”, a sonic question mark wrapped in 16-track Flamenco Techno journey made of lit Gipsy soul, Arabesk minimalism, flamenco fire, and wonder… asking: What are we teaching? Who profits from forgetting? What is lost when respect is mocked and liberty becomes a loophole? And why (TF) should we care?  This song is yet another opportunity and invitation to embrace reflection and growth, to help us understand and navigate a world where perspectives differ… With hypnotic claps, poetic whispers of truth in rhythm. KNOWsutra songs are my philosophical foundation, and intended to invite wonder, and self-reflection, even when it's uncomfortable—vs. retreat and deny. It asks questions that matter, with an emphasis the importance of kids being able to learn how to differentiate rights from wrongs—as required to foster trust, and a long-term peaceful, sustainable, harmonious future, for everyone on planet Earth.  It matters to me because my faith, my commitment to kindness and honesty, is a significant part of who I am, and I care to understand who we are as humans, and how we can positively impact the world around us, to make it a better place… In a society where the moral compass is so blurred, covert narcissists charlatans like #robertgreen make  millions of dollars selling a book that teaches the  “The Art of Seduction” literally means “The Art of Manipulation” aka Deception, a reality where power grab and control have come to matter more than integrity, humility, and trust… despite what all regarded history, philosophy, economy, sociology, psychology, and of course poetry scholars know—which is that being vulnerable is being brave, because peace grows from trust, and trust relies on honesty, quite simply.  — @bananasutra lyrics:  [Verse 1] How do kids learn respect and fraternity? Morality means we agree on rights and wrongs, can’t you see? Liberty now means no accountability, The new victors boast, proud in their spree.  [Chorus] Freedom’s shadow, where did we stray? Liberty twisted, lost on the way. Respect and fraternity, fading from view, When did seduction become so untrue?  [Verse 2] Selling lies, saying attraction’s just a ruse, Deceit for dollars, making souls confused. Boasting takers, proud of deceit, But what’s the cost, where does truth meet?  [Chorus] Freedom’s shadow, where did we stray? Liberty twisted, lost on the way. Respect and fraternity, fading from view, When did seduction become so untrue?  [Bridge] We need to find the way back, clear and pure, Teach kids respect, make fraternity sure. Stand for liberty, rewrite the tale, Bring back values, let truth prevail.  [Chorus] Freedom’s shadow, where did we stray? Liberty twisted, lost on the way. Respect and fraternity, fading from view, When did seduction become so untrue?  [Outro] Restore the values, end manipulation’s reign, Teach respect, embrace compassion again.",all-rights-reserved,,,,2151723279,L-284
"#3 Hold the Mic, Babe ☰ BANJOsutra Hug for Ya, Babe",https://soundcloud.com/bananasutra/3-hold-the-mic-babe,"Hold The Mic, Babe",GROWsutra,BANJO,,Hold the Mic · Babe  EP X7 | Soul Prayer Lullabies,https://soundcloud.com/bananasutra/sets/hold-the-mic-babe-soul,3,7,"BANJOsutra,GROWsutra where we be brave",2,1381,4,0,0,2:01,,,https://i1.sndcdn.com/artworks-ZzVNwSHzbhNq9mzn-vHyL4w-t500x500.png,https://wave.sndcdn.com/4Zf8eTWsuty2_m.json,Triphop,"Jazz & Blues,Religion & Spirituality,Reggae,News & Politics,Folk & Singer-Songwriter","This song is like a trip over the hop, a spell, a prayer, and a lullaby... like a timeless loving soul dreamcatcher hug, for my imaginary daughter (or yours), and anyone else out there, who may be feeling too small--too afraid to ask questions about what matters, and #speakup about what makes sense, or not, in this big mad world we all share 💌  — bananasutraLyrics™️  Hold the mic, babe, and don’t be shy, Come on now, lift your head high. Hold the mic, babe, don’t you cry no more, no more, no more, no more, Hold the mic, babe, and let your voice soar.  (Chorus) Oh babe, listen, you’ve got the sound, Stop hiding away, now stand your ground. You got the heart, don’t you know that it’s true? All that you need’s right inside of you.  Hold the mic, babe, and don’t be shy, Come on now, lift your head high. Hold the mic, babe, don’t you cry no more, no more, no more, no more, Hold the mic, babe, and let your voice soar.  —  With much love and respect for Ray Charles and Percy Mayfield, who created “Hit the Road, Jack” in 1961 <3",all-rights-reserved,,,,1955989803,L-096
[06] MASA (Make America Safe Again) • QUACKsutra Psychedelic BANJO BLUES,https://soundcloud.com/bananasutra/06-masa-make-america-safe-again-quacksutra-psychedelic-banjo-blues-6,MAWA (Make America Woke Again),BLOWsutra,"BANJO,BLUES",banjo,MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,https://soundcloud.com/bananasutra/sets/masa-make-america-safe-again-epx12-quacksutra-psychedelic-banjo,6,12,"BANJOsutra,QUACKsutra where we sing FU",2,759,5,0,0,3:34,2025-11-12 10:23,,https://i1.sndcdn.com/artworks-zGBEcizIyyXPbSgu-fuTgSg-t500x500.png,https://wave.sndcdn.com/9hvpVLOeELJ9_m.json,Soundtrack,"psychedelic,banjo,country,blues,blowsutra,masa,maga,make america safe again,make america smart again,education matters","Because in a world gone mad mean bananas, MA_A means WHAT(tf) heh?! And, so huh... I be playing psychedelic banjo hangman in ma bed, ha.  Great data-driven fact (everybody knows): accessible #education and healthcare programs are the most significant variables to create long-term physical and psychological safety across communities, and yet those are the very things under attack by the American government and its many red hats supporters... #ohboy 🧢 💨  ✮✮✮  @bananasutra #lyrics  [VERSE 1]  They cut the schools, then build more walls, Now prison’s full like study halls. Three outta four behind those bars, Never made it far in class or charts.  You want less crime? Here’s the clue: It starts with books, not boys in blue.  [CHORUS]  Make America SAFE again! (Stop the lies spinning the spin!) Make America BRIGHT again! (Education’s where we win!)  Give the kids a safer plan, Not just guns, but books in hand. Make America SAFE again, Kids need no jails, they need a pen!  [VERSE 2] They cut the funding, raise the fear, But learning is what keeps us clear. Every dollar spent on school Cuts down crime. That’s a rule! Kick out ignorance and hate, Or fail will be our nation’s fate.  [CHORUS] Make America SAFE again! (No more gaslight, no more spin!) Make America SMART again! (Read, not bleed… press start again!)  Give the youth a real chance, Not just cuffs, with no conscience! Make America SAFE again! Raise your voice, now take a stand!  [BRIDGE] Less diplomas, more despair, Is that really fair and square? Lift the kids, reduce the crime, Peace and safety take some time…  [FINAL CHORUS] Make America SAFE again! (Not by fear, but thinking men!) Make America JUST again! Books, not bars, we must defend!  With unbanned books and a pen, Let’s teach the truth and heal again? Make America SAFE again, And never go back to way back when…  ✮✮✮",all-rights-reserved,,,,2211183590,L-152
[7] MAHA • Make America Humane Again • Booya BANJOsutra,https://soundcloud.com/bananasutra/7-maha-o-make-america-human,MAHA (Make America Humane Again),BLOWsutra,BANJO,,MAxA Alphabet Series Compilation - Make America Humane · Kind · Safe · Smart · etcetera Alright?!,https://soundcloud.com/bananasutra/sets/maxa-series,6,20,"BANJOsutra,QUACKsutra where we sing FU",2,709,7,0,0,3:19,,,https://i1.sndcdn.com/artworks-1kvONAzRbkd2SdIu-RVmpoA-t500x500.png,https://wave.sndcdn.com/VIaQm7B2GFTD_m.json,Folk & Singer-Songwriter,"News & Politics,circus,burlesque,revolutionary song,Jazz & Blues,cabaret,psychedelic","Part of the FOTUS CIRCUS Series, MAHA stands for ""Make America Humane Again"" and is vol. 3 of my ""Making Alphabet Matter Already"" (MAMA) Collection (ha), following MASA (vol. 1) & MAWA (vol. 2). This 3rd Edition includes 8 tracks, and flows from BURLESQUE -> FOLK -> DUB -> BANJO BLUES, with 3 distinct songs lyrics iterations (assuming I can upload all 8 tracks at once, for once... I'm literally holding my breath right now, seriously) 🤞🏻  #MAHA lyrics, if you're curious... ARE YOU? :)   -- They said kindness is weak, that care don’t pay, Till the tide rolls in and sweeps their way. Funny how fast they start to cry, When the big bad wolf eats their piece of the pie.  They preach greed like it’s heaven’s plan, But tell me—who’s got blood on their hands? They call it strength when they kick you down, Till the tables turn, now who wears the crown?  [Chorus – The MAHA Hook!] If hate makes you great, then what’s freedom for? Ain’t justice meant to open doors? If “strong” means cruel, then count me out, It’s time to flip this thing around! So say it loud, say it plain— Make America Humane Again! (MAHA! MAHA!)  They yell ‘fake news!’ when the truth feels tight, But the facts don’t care ‘bout their spotlight. Build up walls, but the cracks run deep, House of cards ain’t built to keep.  They call love soft, but fear’s their game, Selling power wrapped in shame. But look real close at the mess they made— If that’s “winning,” I’ll take last place!  [Chorus] If hate makes you great, then what’s freedom for? Is it boots on necks or feeding the poor? Is it fear and lies, or lending a hand? C’mon now, time to take a stand! Say it loud, say it plain— Make America Humane Again! (MAHA! MAHA!)  Liberty’s more than a flag you wave, Justice ain’t real if it don’t save. If “great” means leaving the weak behind, Buddy, you’re buyin’ a hell of a lie…  [... Call to Action Outro] Let’s flip this script, set things right, Put the heart back in stars and stripes. It ain’t that hard—just start today, Make America Humane Again—HEY HEY! (MAHA! MAHA!)    --  🚨 🚧 Update re: Ongoing Soundcloud Files Uploads Fails (blocker issue) 🚧 🚨   FWIW, my last 3 EP uploads failed, with over half or all my (carefully ordered and labelled) tracks literally disappearing into the ether upon upload--with no user warning prior, no error messages after, and no response from SoundCloud customer support! I am literally unable to do the most basic thing I paid to do in this site, and cannot find any help. That sure is worrisome... Recurring (and worsening) technical blockers + no customer service is a tragic combo, and at this point, a deal breaker for me (a pro customer...).  I've tried everything, different browsers, smaller files, waiting extra-time to make sure all is ready to go--no luck #fail  I would love some insights, before I give up completely. I bet I am not alone experiencing recurring issues with playlists uploads, am I?! #HELP? Hellooo? Is anyone alive out there?...",all-rights-reserved,,,,2058528352,L-149
[07] MASA (Make America Safe Again) • QUACKsutra Psychedelic BANJO BLUES,https://soundcloud.com/bananasutra/07-masa-make-america-safe-again-quacksutra-psychedelic-banjo-blues-7,MAWA (Make America Woke Again),BLOWsutra,"BANJO,BLUES",banjo,MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,https://soundcloud.com/bananasutra/sets/masa-make-america-safe-again-epx12-quacksutra-psychedelic-banjo,7,12,"BANJOsutra,QUACKsutra where we sing FU",2,954,5,0,0,3:41,2025-11-12 10:23,,https://i1.sndcdn.com/artworks-zGBEcizIyyXPbSgu-fuTgSg-t500x500.png,https://wave.sndcdn.com/qpJJlHaGQZfZ_m.json,Soundtrack,"psychedelic,banjo,country,blues,blowsutra,masa,maga,make america safe again,make america smart again,education matters","Because in a world gone mad mean bananas, MA_A means WHAT(tf) heh?! And, so huh... I be playing psychedelic banjo hangman in ma bed, ha.  Great data-driven fact (everybody knows): accessible #education and healthcare programs are the most significant variables to create long-term physical and psychological safety across communities, and yet those are the very things under attack by the American government and its many red hats supporters... #ohboy 🧢 💨  ✮✮✮  @bananasutra #lyrics  [VERSE 1]  They cut the schools, then build more walls, Now prison’s full like study halls. Three outta four behind those bars, Never made it far in class or charts.  You want less crime? Here’s the clue: It starts with books, not boys in blue.  [CHORUS]  Make America SAFE again! (Stop the lies spinning the spin!) Make America BRIGHT again! (Education’s where we win!)  Give the kids a safer plan, Not just guns, but books in hand. Make America SAFE again, Kids need no jails, they need a pen!  [VERSE 2] They cut the funding, raise the fear, But learning is what keeps us clear. Every dollar spent on school Cuts down crime. That’s a rule! Kick out ignorance and hate, Or fail will be our nation’s fate.  [CHORUS] Make America SAFE again! (No more gaslight, no more spin!) Make America SMART again! (Read, not bleed… press start again!)  Give the youth a real chance, Not just cuffs, with no conscience! Make America SAFE again! Raise your voice, now take a stand!  [BRIDGE] Less diplomas, more despair, Is that really fair and square? Lift the kids, reduce the crime, Peace and safety take some time…  [FINAL CHORUS] Make America SAFE again! (Not by fear, but thinking men!) Make America JUST again! Books, not bars, we must defend!  With unbanned books and a pen, Let’s teach the truth and heal again? Make America SAFE again, And never go back to way back when…  ✮✮✮",all-rights-reserved,,,,2211183578,L-152
