playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,SC TRACKS
BOWsutra : (Thank) Dogs,https://soundcloud.com/bananasutra/sets/bowsutra-thank-dogs,SHOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,ROCK",10,2181,30,0:34:33,https://i1.sndcdn.com/artworks-safSzuvAHiwvn0LF-0u5a3Q-t500x500.png,[05] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK
SHOWsutra : B.J. (is for Banana Jesters),https://soundcloud.com/bananasutra/sets/showsutra-b-j-is-for-banana,SHOWsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",8,2324,27,0:25:38,https://i1.sndcdn.com/artworks-yoEMRKS82rZVyqki-15yXGg-t500x500.png,"[01] BANANA ALLELUIA — KNOWsutra Folk Waltz Ballad BURLESQUE,[03] BANANA ALLELUIA — KNOWsutra Banjo Waltz Bounce BURLESQUE,[1] Who Needs a Big D? OG BURLESQUE,[02] Synthema Sutras - SHOWsutra Banana Tzigane Conscious Soul Fusion Indie LOFI"
WORLDsutra : SPAN(k)ish,https://soundcloud.com/bananasutra/sets/worldsutra-span-k-ish,GLOWsutra,"INDIE,WORLD,DUB,JAZZ,MANTRA",4,3055,35,0:15:03,https://i1.sndcdn.com/artworks-DQAHMhBcDTcoVFfl-BTKWAA-t500x500.png,"[06] La Poesia Importa 2 (low) - Psy JAZZsutra,[03] Creo (la poesia) - Contrabass Guitar Classico,[06] Creo - Muse DUBsutra,[02] Creo (la poesia) - Arabesk Fado"
SHOWsutra: (shades of) FOOLS,https://soundcloud.com/bananasutra/sets/showsutra-shades-of-fools,SHOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,LOFI",7,4669,66,0:22:39,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,"[01] Win Win Dub ⚭ French GROWsutra Soulful Hip Hop Ragga DUB,[7] Shades of Fools • All I know is I dunno • Ragga DUBsutra High,[6] Shades of Fools • All I know is I dunno • Fastass BANJOsutra,[04] What Dissent Looks Like Now • BLOWsutra Post-Punk Piano Trip Hop Lo-Fi Burlesque JAZZ,Shady Fools • FOLKsutra"
GROWsutra : DARE (to care),https://soundcloud.com/bananasutra/sets/growsutra-dare-to-care,GROWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,LOFI,MANTRA",9,5249,53,0:28:33,https://i1.sndcdn.com/artworks-qhqHRqMMeCjATzsp-RQ8fQQ-t500x500.png,"""[05] Hereby, I Cry • Arabesk Drum MANTRA"",we remember what we remember when we feel 2,[15] This Is My Quest • GROWsutra Psychedelic Poetry Bridges the DUB,Where Hope Expires • Folk BANJOsutra"
FLOWsutra : WET (my friend),https://soundcloud.com/bananasutra/sets/flowsutra-wet-my-friend,FLOWsutra,"BLUES,BURLESQUE,DUB,JAZZ",15,5395,80,0:50:22,https://i1.sndcdn.com/artworks-lciyCEyApUx6fnqe-mWMztg-t500x500.png,"When We Duende 3 - FLOWsutra DUB,When We Duende 4 - SHOWsutra JAZZ DUB,Wet Peaches • Blues BANJOsutra,Absinthe Bliss (Kiss Me Slow) • DUBsutra,Dark (Lace) Rhythms • TANGOsutra,Prickly Peaches (one) • DUB Sutra,[01] Peel Me Kindly • FLOWsutra Gone Banana Joke Gipsy JAZZ,Let’s Do It • Public Domain Lyrics • JAZZsutra 2"
BOWsutra : DEATH (is nothing),https://soundcloud.com/bananasutra/sets/bowsutra-death-is-nothing,BOWsutra,"BLUES,DUB,INDIE,JAZZ",9,5551,62,0:27:30,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t500x500.png,"[07] Easy (Death Is Nothing At All) • BOWsutra La Poesita Peace DUB INDIE,#2 Darling - JAZZsutra,Side A [12] Oh Martine • BOWsutra La Poesita Fado World Duende INDIE,Side A [08] Oh Martine • BOWsutra French Psychedelic Cello Indie JAZZ,Side A [07] Oh Martine • BOWsutra French Psychedelic Cello Indie JAZZ"
WORLDsutra : Russian(ish),https://soundcloud.com/bananasutra/sets/worldsutra-russian-ish,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",15,5751,66,1:01:23,https://i1.sndcdn.com/artworks-acFrdgqIA6o30Zzp-mlZM9A-t500x500.png,"Who's Your Vladdy BLOWsutra Psychedelic Burlesque Punk ROCK,[08] Who's Your Vladdy • BLOWsutra Psychedelic Poetry Folk DUB,[07] Who's Your Vladdy • BLOWsutra Psychedelic Poetry Folk DUB,[04] Who's Your Vladdy • BLOWsutra Psychedelic World Soul FUSION,[03] The Echo Song - Vladimir Vysotsky Cover - Russian BLOWsutra Classic Psychedelic Banjo BLUES,[02] The Echo Song - Vladimir Vysotsky Cover - Russian BLOWsutra Gipsy Arabesk World Peace Indie Trip Pop LOFI"
GLOWsutra : POET(ry),https://soundcloud.com/bananasutra/sets/glowsutra-poet-ry,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI,MANTRA",14,6762,85,0:49:35,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,"[05] Poetry Slow Burns - Sweet DUBsutra,[01] Poetry Slow Burns  - Gold DUBsutra,[03] Poetry Duende - DUBsutra,[01] Poetry Duende - DUBsutra,[03] La Poesia Importa - Oh Lordy DUBsutra,Poetry Matters • LOFI DUBsutra,Poetry Matters (1) ☰ BANJOsutra dream,[01] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie trip Hop(e) Blues Lullaby LOFI,Poetry (Nah Lie) • GROWsutra Ragga Mantra DUB"
FLOWsutra : FLY (like water),https://soundcloud.com/bananasutra/sets/flowsutra-fly-like-water,FLOWsutra,"BLUES,DUB,LOFI",8,7176,98,0:24:01,https://i1.sndcdn.com/artworks-NrFEJYn5QiBNXnw5-RFTkHQ-t500x500.png,"[15] Jealousy (not for me) - WSWHFN DUB,[07] Fluye • Miss Cheeky DUB (1),[06] Fluye • Queen (of Authentic) DUB (2),Just Grind(ha) • Harmonica Blues Lo-fi • sutraFLOW,Just Gasp(be) • Jazzy DUB Poetry • sutraFLOW (v1),aintdoingbaddoingnothing 💨,making songs like…,""Flow like Water, My Friend"""
QUACKsutra : FOTUS Circus,https://soundcloud.com/bananasutra/sets/quacksutra-fotus-circus,BLOWsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",15,7536,68,0:45:21,https://i1.sndcdn.com/artworks-PbQdusXHHfL2vzQG-PVycmg-t500x500.png,"""[02] It's War, My Friend • QUACKsutra Tzigane Indie Fusion LOFI"",""[08] FOTUS Circus VOL. 04 • Step Right Up, Murica Freaks (paper staws) • DUB QUACKsutra"",""[09] FOTUS Circus VOL. 04 • Step Right Up, My Dearest Souls • DUB QUACKsutra"",""[06] FOTUS Circus VOL. 04 • Step Right Up, for Plastic Straws • Banjo QUACKsutra"",[01] FOTUS Circus VOL. 04 • Step Right Up my Dearest Souls • Burlesque QUACKsutra,[06] FOTUS Circus VOL. 03 • When will you be angelic (Ginzberg’s Horror Show) • BURLESQUE QUACKsutra,[06] FOTUS Circus VOL. 02 • This ain't no hollow show • QUACKsutra,The Tyranny of Ignorance : BANJOsutra (Single Duck Release)"
