ep_title,extracted_song_name,lyrics_id_guess,lyrics_title_guess,confidence,SONGBOOK,"YOUR_CONFIRMED_LYRICS_ID (OLD IDs, use new simpler IDs from lyrics refs)"
"Best Teacher Award, in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra","Best Teacher Award, in Love & Death : Indie Bliss",,,SONGBOOK EP (PLAYLIST with multiple songs),EP: Best Teacher Award,n/a
DEFY (Vol 2) - 3 Songs EPx6 - BLOWsutra Revolution Ring LoFi Jazz Fusion,DEFY (Vol 2) - 3 Songs,,,SONGBOOK EP (PLAYLIST with multiple songs),EP: DEFY,n/a
DEFY ✰ 3 Songs EPx7 ✰ BLOWsutra Jazzy Folk Lo-Fi BLUES,DEFY ✰ 3 Songs,,,SONGBOOK EP (PLAYLIST with multiple songs),EP: DEFY,n/a
FOTUS CIRCUS ★ VOL.2 EPx10 ★ BURLESQUEsutra,FOTUS CIRCUS,,,SONGBOOK EP (PLAYLIST with multiple songs),Speak: FOTUS Circus,n/a
FOTUS CIRCUS ★ VOL.3 EPx9 ★ BURLESQUEsutra,FOTUS CIRCUS,,,SONGBOOK EP (PLAYLIST with multiple songs),Speak: FOTUS Circus,n/a
FOTUS CIRCUS ★ VOL.4 EPx9 ★ BURLESQUEsutra,FOTUS CIRCUS,,,SONGBOOK EP (PLAYLIST with multiple songs),Speak: FOTUS Circus,n/a
"MAxA Alphabet Series Compilation - Make America Humane, Kind, Safe, Smart, etcetera Alright?!","MAxA Alphabet Series Compilation - Make America Humane, Kind, Safe, Smart, etcetera Alright?!",,,SONGBOOK EP (PLAYLIST with multiple songs),Speak: MAxxxA Saga,n/a
Curious Like A Kiss • FLOWsutra Cheeky Duende EPx11,Curious Like A Kiss • Cheeky Duende,,Curious Like A Kiss (Kiss a Pulse),lyrics_title_guess match added,,lookup
Daddy's a Creep ⚞  P3d0 T-Shirts ON SALE ⚟ BLOWsutra EPx4,Daddy's a Creep ⚞ P3d0 T-Shirts ON SALE ⚟,,Daddy's a Creep,lyrics_title_guess match added,,lookup
Donkeys Years - SHOWsutra Fanana Club Gratitude EPx20,Donkeys Years - Fanana Club Gratitude,,Donkeys Years,lyrics_title_guess match added,,lookup
