ep_title,ep_url,sutra,genres,genres_full,track_count,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,lyrics_id,lyrics_title,lyrics_match_conf,created_at
A Man's A Man for A' That - VOL. 01 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-for-a-that-vol-01,KNOWsutra,,,3,3,575,6,0:10:33,https://i1.sndcdn.com/artworks-YUOwZVtRKHQ7qgnV-7WlPYA-t500x500.jpg,L-005,A Man's a Man and A' That,CONFIRMED,2025-02-07 1:15:28
Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,https://soundcloud.com/bananasutra/sets/aint-doing-bad-doing-nothing-public-domain-vol-02-epx10-flowsutra-wet-jazz,FLOWsutra,"BLUES, BURLESQUE, JAZZ","BLUES, BURLESQUE, JAZZ",10,10,3844,38,0:29:52,https://i1.sndcdn.com/artworks-ywHf0D0qFVueq62i-1G6SmQ-t500x500.png,L-014,Ain't Doing Bad Doing Nothing,CONFIRMED,2025-11-04 5:33:57
All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,https://soundcloud.com/bananasutra/sets/all-i-know-shades-of-fools-its-the-why-knowsutra-epx5-vol-02,KNOWsutra,"BLUES, BURLESQUE, FOLK, INDIE, JAZZ","BLUES, BURLESQUE, FOLK, INDIE, JAZZ",5,5,2019,15,0:16:03,https://i1.sndcdn.com/artworks-jqVeUE2kfD4URweU-kKwl8A-t500x500.png,L-209,Shades of Fools (All I Know),CONFIRMED,2025-11-19 19:59:32
Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth,https://soundcloud.com/bananasutra/sets/atheist-tango-ep-x9-vol-1-waldos-burlesque-tales-of-truth,KNOWsutra,"BURLESQUE, FOLK, JAZZ","BURLESQUE, FOLK, JAZZ",9,9,1659,23,0:29:14,https://i1.sndcdn.com/artworks-zGmZBF6E6J0dpCF7-7ObUQQ-t500x500.png,L-235,The Atheist Tango,CONFIRMED,2025-04-06 5:22:33
But(t) How Can You? GROWsutra (Dare to Care) EPx10,https://soundcloud.com/bananasutra/sets/butt-how-can-you-growsutra-epx10,GROWsutra,"DUB, INDIE, LOFI","DUB, GIPSY, HIP HOP, INDIE, LOFI, PSYCHEDELIC, RAGGA",10,10,4254,16,0:19:15,https://i1.sndcdn.com/artworks-wzNXJ0kKC1UWtYRu-qF7vrw-t500x500.png,L-038,But(t) How Can You?,CONFIRMED,2026-03-06 21:23:29
But(t) How you Kids Learn Now? EPx9 VOL. 01,https://soundcloud.com/bananasutra/sets/butt-how-you-kids-learn-now-epx9-vol-01,KNOWsutra,"FOLK, INDIE, JAZZ","FOLK, INDIE, JAZZ",9,9,1951,29,0:30:18,https://i1.sndcdn.com/artworks-s7JwXEm6wQmnuT1J-ySHR0g-t500x500.png,L-100,How Do Kids Learn Now?,CONFIRMED,2025-04-14 18:55:06
Crimina/els EP,https://soundcloud.com/bananasutra/sets/crimina-els-ep,BLOWsutra,"BLUES, JAZZ","BLUES, CABARET, GIPSY, JAZZ",3,3,551,6,0:06:59,https://i1.sndcdn.com/artworks-N2bJW7Tqp3S7Ldn6-PMk8kA-t500x500.jpg,L-048,Criminals,CONFIRMED,2024-10-18 8:12:31
Darling EP,https://soundcloud.com/bananasutra/sets/arthur-darling,BOWsutra,INDIE,,4,4,1548,22,0:13:47,https://i1.sndcdn.com/artworks-sm0RyWK8U9ogWbAR-vvmBLg-t500x500.png,L-053,Darling,CONFIRMED,2024-11-20 21:30:55
Jacques Brel : French EPx9 : GLOWsutra Burlesque Indie Blues Gratitude POET(ry),https://soundcloud.com/bananasutra/sets/jacques-brel-french-epx9-glowsutra-burlesque-indie-blues-gratitude-poetry,GLOWsutra,"BANJO, BLUES, BURLESQUE, INDIE","BANJO, BLUES, BURLESQUE, INDIE, PSYCHEDELIC",9,9,3199,28,0:38:47,https://i1.sndcdn.com/artworks-e0sOW6yRL70L2ZRD-C8tirQ-t500x500.png,L-112,Jacques Brel,CONFIRMED,2025-11-29 22:24:02
Joseph Campbell's Truth Metaphors ☷ KNOWsutra EPx12,https://soundcloud.com/bananasutra/sets/joseph-campbells-truth-metaphors-knowsutra-epx12,KNOWsutra,"BLUES, BURLESQUE, DUB, INDIE, LOFI, MANTRA","BLUES, BURLESQUE, DUB, INDIE, LOFI, MANTRA",12,12,2253,22,0:41:38,https://i1.sndcdn.com/artworks-jy4Ny3sg2PSbdteq-7zc7yg-t500x500.jpg,L-153,Metaphors' Edge (Joseph Campbell's song),CONFIRMED,2025-08-24 6:22:50
