ep_title,ep_url,sutra,genres,genres_full,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,lyrics_id,created_at,playlist_names_clean,TRACKs
A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,https://soundcloud.com/bananasutra/sets/a-letter-to-my-friend-never-again-epx44-growsutra-world-peace-mantra,GROWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA","BANJO,BLUES,DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,MANTRA,RAGGA,SOUL",44,28085,224,0:00:00,https://i1.sndcdn.com/artworks-wWQhnGqz9vHL3gbU-Sx2Pvw-t500x500.png,L-3,,"BANJOsutra, GROWsutra where we be brave, INDIEsutra, KNOWsutra : PEACE (not War), LOFIsutra","[32] Letter to My Friend (Never Again) • GROWsutra She Wanna Know PsyBass Circus JAZZ, [23] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [39] Letter to My Friend (Never Again) • GROWsutra PsyDestiny Banjo BLUES, [44] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA, [29] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop BRUH LOFI, [19] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [34] Letter to My Friend (Never Again) • GROWsutra What Shall We Hope For Now Psyjazz Ragga DUB, [27] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop Storyteller LOFI 02, [38] Letter to My Friend (Never Again) • GROWsutra PsyDestiny Banjo BLUES, [36] Letter to My Friend (Never Again) • GROWsutra Wueen of Authenthic Dubby Banjo FOLK, [31] Letter to My Friend (Never Again) • GROWsutra She Wanna Know PsyBass Circus JAZZ, [41] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA, [43] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA, [30] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop BRUH LOFI, [25] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [37] Letter to My Friend (Never Again) • GROWsutra PsyDestiny Banjo BLUES, [20] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [13] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [03] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [21] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [42] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA, [24] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [18] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [33] Letter to My Friend (Never Again) • GROWsutra What Shall We Hope For Now Psyjazz Ragga DUB, [35] Letter to My Friend (Never Again) • GROWsutra What Shall We Hope For Now Psyjazz Ragga DUB, [15] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [40] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA, [05] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [28] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop Storyteller LOFI 03, [08] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [26] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [22] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [06] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [12] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [07] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [09] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [17] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [16] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [01] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [04] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [11] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [02] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [10] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [14] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE"
A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-and-a-that-a-la-bananasutra-epx3-vol-02-revolution-forever,BLOWsutra,"LOFI,MANTRA","LOFI,MANTRA,TRIP HOP",3,931,9,0:00:00,https://i1.sndcdn.com/artworks-1bqixGWYedpZR647-tZkbFA-t500x500.png,L-5,,"BLOWsutra : REVOLT (now), INDIEsutra, KNOWsutra where questions matter, LOFIsutra, MANTRAsutra","[02] A Man's a Man and A' That - VOL. 02 - A Spin on Robert Burns' Revolutionary Song - Capela MANTRA LOFI, [03] A Man's a Man for A' That - VOL. 02 - A Spin on Robert Burns' Revolutionary Song - DRUM MANTRA, [01] A Man's a Man and A' That - VOL. 02 - A Spin on Robert Burns' Revolutionary Song - TripHop LOFI"
A Man's A Man for A' That - VOL. 01 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-for-a-that-vol-01,KNOWsutra,"FOLK,INDIE","FOLK,INDIE",3,575,6,0:00:00,https://i1.sndcdn.com/artworks-YUOwZVtRKHQ7qgnV-7WlPYA-t500x500.jpg,L-5,,"BANJOsutra, BLOWsutra : REVOLT (now), KNOWsutra where questions matter, MANTRAsutra","A Man’s A Man For A’ That • Revolution BANJOsutra, A Man’s A Man For A’ That • Revolution MANTRAsutra (1), A Man’s A Man For A’ That • Revolution MANTRAsutra (2)"
A stroll down history’s lane ☆ KNOWsutra ☆ EPx6 Vol. 1,https://soundcloud.com/bananasutra/sets/a-stroll-down-historys-lane,KNOWsutra,MANTRA,MANTRA,6,1122,10,0:00:00,https://i1.sndcdn.com/artworks-9uz2GCIarSzz3CK9-yLGoGg-t500x500.jpg,L-7,,"BANJOsutra, BLOWsutra, DUBsutra, FOLKsutra, INDIEsutra, KNOWsutra : PEACE (not War), KNOWsutra where questions matter, MANTRAsutra","A stroll down history’s lane • Mantra DUBsutra, A stroll down history’s lane • DUBsutra, A stroll down history’s lane 1 • FOLKsutra, A stroll down history’s lane 2 • BANJOsutra, A stroll down history’s lane 3 • FOLKsutra, A stroll down history’s lane • PIANOsutra"
ABCs of Kindness - KNOWsutra,https://soundcloud.com/bananasutra/sets/abcs-of-kindness-knowsutra,KNOWsutra,"INDIE,BURLESQUE","INDIE,BURLESQUE",10,1956,13,0:00:00,https://i1.sndcdn.com/artworks-OJbXzv5DEM6ihALr-CtrAEg-t500x500.jpg,L-9,,"DUBsutra, GROWsutra : KIND(ness), INDIEsutra, KNOWsutra where questions matter, MANTRAsutra","ABC Of Kindness - A Is For Always Speak From Your Heart - KIDS INDIEsutra, ABC Of Kindness - A Is For Always Speak From Your Heart - DUBsutra (1), ABC Of Kindness - A Is For Always Speak From Your Heart - DUBsutra (2), ABC Of Kindness - A Is For Apologize - MANTRAsutra (1), ABC Of Kindness - A Is For Apologize - DUBsutra (2), ABC Of Kindness - A Is Ask - DUBsutra (1), ABC Of Kindness - A Is Ask - DUBsutra (2), ABC Of Kindness - A Is For Ask - DUBsutra (3), ABC Of Kindness - A Is For Ask - DUBsutra (4), ABC Of Kindness - A Is For Always Speak From Your Heart - Drum MANTRAsutra"
AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,https://soundcloud.com/bananasutra/sets/ai-fair-use-manifesto-epx3-vol1-lofi-burlesque-blues,KNOWsutra,"BLUES,BURLESQUE,LOFI","BLUES,BURLESQUE,LOFI",3,576,5,0:00:00,https://i1.sndcdn.com/artworks-8MpTLEJF8IA3pZOl-q8KlmA-t500x500.png,L-12,2025-04-10 20:36,"BANJOsutra, BLUESsutra, BURLESQUEsutra, KNOWsutra : but(t) WHY, LOFIsutra","[2] Abstracted Innuendo Tango Manifesto - GipsyJAZZ, [3] Vive la Revolution Artistique (AI Fair Use Manifesto) - banjoBLUES, [1] AI Fair Use Manifesto - psyLOFI"
Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,https://soundcloud.com/bananasutra/sets/aint-doing-bad-doing-nothing-public-domain-vol-02-epx10-flowsutra-wet-jazz,FLOWsutra,"BLUES,BURLESQUE,JAZZ","BLUES,BURLESQUE,JAZZ",10,3843,38,0:00:00,https://i1.sndcdn.com/artworks-ywHf0D0qFVueq62i-1G6SmQ-t500x500.png,L-14,,"BLUESsutra, BURLESQUEsutra, FLOWsutra where time is space, JAZZsutra","[03] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [01] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [08] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet BURLESQUE, [09] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet BLUES, [07] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [10] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet BLUES, [06] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [02] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [04] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [05] Ain't Doing Bad Doing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ"
All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,https://soundcloud.com/bananasutra/sets/all-i-know-shades-of-fools-its-the-why-knowsutra-epx5-vol-02,KNOWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ","BLUES,BURLESQUE,FOLK,INDIE,JAZZ",5,2017,15,0:00:00,https://i1.sndcdn.com/artworks-jqVeUE2kfD4URweU-kKwl8A-t500x500.png,L-209,2025-11-19 19:59,"BLUESsutra, BURLESQUEsutra, INDIEsutra, JAZZsutra, KNOWsutra where questions matter","[04] All I know - Shades of Fools • KNOWsutra Cello Burlesque INDIE, [03] All I know - Shades of Fools • KNOWsutra Piano Jazz BURLESQUE, [05] All I Know - Shades of Fools • KNOWsutra Destiny BLUES, [02] All I Know - Shades of Fools • KNOWsutra Accordion Chanson Jazz BURLESQUE, [01] All I Know - Shades of Fools • KNOWsutra All I know Upright Bass Folk JAZZ"
All the -Isms | BLOWsutra EPx7,https://soundcloud.com/bananasutra/sets/all-the-isms-blowsutra-epx7,BLOWsutra,"BANJO,BURLESQUE,FOLK,JAZZ","BANJO,BURLESQUE,FOLK,JAZZ",7,1614,14,0:00:00,https://i1.sndcdn.com/artworks-qrxklwZQpzKpzPUh-kUGDvA-t500x500.png,L-16,,"BANJOsutra, BLOWsutra, BLOWsutra : EGO (gone loco), BURLESQUEsutra, DUBsutra, FOLKsutra, JAZZsutra, KNOWsutra where questions matter, LOFIsutra","[06] All Lame-Isms (Queen of Authentic) - BLOWsutra FOLK, [02] All Lame-Isms - BLOWsutra CAT JAZZ, [01] All Lame-Isms (she wanna know) BLOWsutra JAZZ, [03] All Lame-Isms - (Miss Cheeky) DUBsutra, [07] All Lame-Isms - (Hide your Pets) BLOWsutra BANJO, [05] All Lame-Isms (oh boy) 2 - BLOWsutra BURLESQUE, [04] All Lame-Isms (oh boy) 1 - BLOWsutra BURLESQUE"
An American in Paris (Public Domain Lyrics) 🎙️ SHOWsutra Classic Retro Musical REMAKE,https://soundcloud.com/bananasutra/sets/an-american-in-paris-public-domain-lyrics-showsutra-classic-retro-musical-remake,SHOWsutra,"DUB,INDIE,JAZZ","DUB,INDIE,JAZZ",6,3563,35,0:00:00,https://i1.sndcdn.com/artworks-dOp2MsRUp5Ta2lVZ-MjIpgA-t500x500.png,L-17,,"DUBsutra, INDIEsutra, JAZZsutra, SHOWsutra where bananas play","[02] By Strauss - An American in Paris, Public Domain Lyrics - SHOWsutra Retro Piano Waltz INDIE, [03] Nice Work If You Can Get It - An American in Paris, Public Domain Lyrics - SHOWsutra Indie JAZZ, [04] Embraceable You - An American in Paris, Public Domain Lyrics - SHOWsutra Indie Jazz DUB, [01] I Got Rhythm - An American in Paris, Public Domain Lyrics - SHOWsutra Retro Musical INDIE, [06] Tra-La-La - An American in Paris, Public Domain Lyrics - SHOWsutra Indie Jazz DUB, [05] Tra-La-La - An American in Paris, Public Domain Lyrics - SHOWsutra Indie Jazz DUB"
