playlist_name,playlist_type,linked_sutra,video_count,description,playlist_id,playlist_url,thumbnail_url
Bible Gone Bananas,Collection,,379,"The complete bananasutra archive — every song, reel, and spoken word. The full cabaret of the catalog.",,,
BLOWsutra,Sutra Playlist,BLOWsutra,146,"Songs that name the rot. Political witness, systemic critique, and the blues of living in a world run by wolves.",,,
FOTUS CIRCUS (Felon Of The United States),Collection,,136,"A full circus dedicated to the FOTUS era — musical dispatches from the darkest, most absurd chapter of American democracy.",,,
PEACE CIRCUS,Collection,,134,"Songs that keep insisting on peace, even when it feels naive. Lullabies for a world at war with itself.",,,
BURLESQUEsutra,Genre,,80,"Where the carnivalesque meets the confrontational. Burlesque as political theater, sensuality as resistance.",,,
LOFIsutra,Genre,,65,"Lo-fi as philosophy: low production, high feeling. Hiss, grain, and the warmth of something unpolished.",,,
KNOWsutra,Sutra Playlist,KNOWsutra,61,"Songs that ask the inconvenient questions. Wisdom, inquiry, and the uncomfortable clarity of seeing things as they are.",,,
BLOWsutra : DUCK (Shady),Sub-Playlist,BLOWsutra,56,"The Duck Shady songbook — songs written to and about Don the Duck. Satirical, sharp, and very specifically aimed.",,,
FOLKsutra,Genre,,55,"The folk thread running through the catalog — acoustic, rooted, and built for telling the truth plainly.",,,
GROWsutra,Sutra Playlist,GROWsutra,50,"Songs about becoming: transformation, healing, the long work of growing into who you actually are.",,,
MANTRAsutra,Genre,,44,Repetition as ritual. Songs designed to loop in your head and rewire something slowly.,,,
BLOWsutra : Apes Gone Wrong,Sub-Playlist,BLOWsutra,42,"The Apes Gone Wrong songbook — songs about power, tribalism, and the primate politics hiding behind civilized behavior.",,,
SHOWsutra,Sutra Playlist,SHOWsutra,39,"Performance, spectacle, and the art of showing up. Songs about the stage we all perform on.",,,
BLOWsutra : REVOLT (Now),Sub-Playlist,BLOWsutra,38,The Revolt Now songbook — songs for when witnessing is no longer enough and action becomes the only honest response.,,,
DUBsutra,Genre,,33,"Deep dub frequencies, echoed basslines, and reggae-rooted meditation. Slow enough to feel the weight.",,,
“UNAVAILABLE” Content said YouTube Music… Who knew? Not me!,Collection,,32,Videos flagged or restricted by YouTube Music — the shadow archive. Content that exists but that the algorithm would rather you not find.,,,
