yt_title,video_id,yt_url,current_lyrics_id,canonical_title,SONGS_title_at_current_id,correct_lyrics_id,issue_type
"Good Lord, thank you for answering my prayers with a #southpark reality TV show ",lQ4uCrDkA8g,https://www.youtube.com/watch?v=lQ4uCrDkA8g,,,,,NO LYRICS_ID
Serial Blowers is a #song about killers of dreams glorified as the winners of a ,pMyIKVA8jfE,https://www.youtube.com/watch?v=pMyIKVA8jfE,L-215,Serial BLOWerrr,MISSING,,ORPHAN ID
"And now, for a brief #dystopianart interlude, in a world gone bananas… Do you kn",fqqLZnseg1E,https://www.youtube.com/watch?v=fqqLZnseg1E,,,,,NO LYRICS_ID
Can the #cacophony of cocksure bollocks ever “trickle out” of this Felon’s kingd,wkQYa8mr9zU,https://www.youtube.com/watch?v=wkQYa8mr9zU,,,,,NO LYRICS_ID
"“Have fun, enjoy the partey” #murica #rip #education #dystopian #truestory #imsa",FMQvYQhd9TU,https://www.youtube.com/watch?v=FMQvYQhd9TU,,,,,NO LYRICS_ID
“Radio Static” clip 📖🎶 chez @bananasutra (gone wild again;),89McsHGdYdg,https://www.youtube.com/watch?v=89McsHGdYdg,L-321,Radio Static,Radio Static (The Dystopian Cabaret),,WRONG ID - TITLE NOT IN SONGS
Because fairies #magicmatters and sincere wishes count 🧚🍀 note: #happiness ain’t,yBe9f_ZLf5E,https://www.youtube.com/watch?v=yBe9f_ZLf5E,,,,,NO LYRICS_ID
Can we Make Ducks not dicks Again? Blessed be Authentic Idiots wannabe President,8XcttwKuROU,https://www.youtube.com/watch?v=8XcttwKuROU,,,,,NO LYRICS_ID
Fake News Dream Machine: imagine a cruel Felon King magically turned Kind (PSA: ,R55sW_ND2xg,https://www.youtube.com/watch?v=R55sW_ND2xg,,,,,NO LYRICS_ID
God Made a Mistake... 🎭📺🍏💨,zqdyfcM4CqQ,https://www.youtube.com/watch?v=zqdyfcM4CqQ,,,,,NO LYRICS_ID
