ep_title,ep_url,sutra,ep_in_app,ep_featured,ep_description,ep_songbook_title,ep_volume,ep_rating,genres,genres_full,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,artwork_lg_url,lyrics_title,lyrics_id,created_at,playlist_names_clean
La Poesia Importa ♕ EPx7 VOL.01 ♕ Bananasutra En Español,https://soundcloud.com/bananasutra/sets/la-poesia-importa-epx7-vol01-bananasutra-en-espanol,GLOWsutra,checked,,,,1,,LOFI,"FADO,LOFI",7,2512,26,0:22:29,https://i1.sndcdn.com/artworks-DQAHMhBcDTcoVFfl-BTKWAA-t500x500.png,https://i1.sndcdn.com/artworks-DQAHMhBcDTcoVFfl-BTKWAA-t1080x1080.png,La Poesia Importa,L-133,2025-05-27 13:16,"BURLESQUEsutra,DUBsutra,GLOWsutra : POET(ry),GLOWsutra where gratitude feeds,JAZZsutra,LOFIsutra,WORLDsutra : SPAN(k)ish"
Pedo Nation ★ Felon Nation Redux ★ BLOWsutra EPx14,https://soundcloud.com/bananasutra/sets/pedo-nation-felon-nation-redux-blowsutra-epx14,QUACKsutra,checked,,,,1,,"BANJO,BLUES,DUB,LOFI,MANTRA","BANJO,BLUES,COUNTRY,DUB,LOFI,MANTRA,TRIP HOP",14,3227,24,0:50:51,https://i1.sndcdn.com/artworks-LhTksDdMzsR3b0mE-zpGPhA-t500x500.png,https://i1.sndcdn.com/artworks-LhTksDdMzsR3b0mE-zpGPhA-t1080x1080.png,Pedo Nation (Felon Nation Redux),L-184,2025-06-23 03:11,"BANJOsutra,BLUESsutra,DUBsutra,LOFIsutra,MANTRAsutra,QUACKsutra : DUCK (shady),QUACKsutra where we sing FU"
Who's Your Vladdy? EPx2 VOL.02 ☿ BLOWsutra World Peace LOFI + ROCK,https://soundcloud.com/bananasutra/sets/whos-your-vladdy-epx2-vol02-blowsutra-world-peace-lofi-rock,QUACKsutra,checked,,,,2,,"BURLESQUE,LOFI,ROCK","BURLESQUE,GIPSY,LOFI,PSYCHEDELIC,PUNK,ROCK",2,674,9,0:08:37,https://i1.sndcdn.com/artworks-301rwrEjz0M0tuZV-1dVJMg-t500x500.png,https://i1.sndcdn.com/artworks-301rwrEjz0M0tuZV-1dVJMg-t1080x1080.png,Who's Your Vladdy?,L-302,2025-09-20 18:14,"BLOWsutra,KNOWsutra where questions matter,LOFIsutra,QUACKsutra : DUCK (shady),QUACKsutra where we sing FU,ROCKsutra,WORLDsutra : Russian(ish)"
DEFY (Vol 2) - 3 Songs EPx6 - BLOWsutra Revolution Ring LoFi Jazz Fusion,https://soundcloud.com/bananasutra/sets/defy-vol-2-3-songs-epx6-blowsutra-revolution-ring-lofi-jazz-fusion,BLOWsutra,checked,,,,2,,"BURLESQUE,JAZZ,LOFI","BURLESQUE,JAZZ,LOFI,PSYCHEDELIC,TRIP HOP",7,7690,50,0:19:37,https://i1.sndcdn.com/artworks-ZOzjbG3qBNgMzOWS-9LnxjQ-t500x500.png,https://i1.sndcdn.com/artworks-ZOzjbG3qBNgMzOWS-9LnxjQ-t1080x1080.png,,"L-219,L-275,L-177",2026-01-08 07:26,"BLOWsutra,BURLESQUEsutra,JAZZsutra,JAZZsutra (Best Of),LOFIsutra,LOFIsutra (Best Of)"
Trust No One EP x3 VOL.1 ☆ BLOWsutra Alternative Indie ROCK,https://soundcloud.com/bananasutra/sets/trust-no-one-ep-x3-vol1-blowsutra-alternative-indie-rock,BLOWsutra,checked,,,,1,,"INDIE,JAZZ,ROCK","INDIE,JAZZ,ROCK",3,939,12,0:06:33,https://i1.sndcdn.com/artworks-zo2LcEgQQvZyFMXS-Hip2cg-t500x500.png,https://i1.sndcdn.com/artworks-zo2LcEgQQvZyFMXS-Hip2cg-t1080x1080.png,Trust No One,L-270,2025-04-04 03:18,"BLOWsutra,BLOWsutra : EGO (gone loco),INDIEsutra,ROCKsutra"
This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream,https://soundcloud.com/bananasutra/sets/this-is-what-dissent-looks-like-now-blowsutra-revolution-ring-jazz-indie-lofi-dream,BLOWsutra,checked,,,,1,,"BURLESQUE,INDIE,JAZZ,LOFI","BURLESQUE,CABARET,GIPSY,HIP HOP,INDIE,JAZZ,LOFI,PSYCHEDELIC,PUNK,TRIP HOP",14,17602,151,0:55:10,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t1080x1080.png,What Dissent Looks Like Now,L-286,2026-01-27 21:09,"BLOWsutra,BLOWsutra : CENSOR(ed),INDIEsutra,INDIEsutra (Best Of),JAZZsutra,JAZZsutra (Best Of),LOFIsutra,LOFIsutra (Best Of)"
Hard Core (Questions that Matter) X5,https://soundcloud.com/bananasutra/sets/hard-core-x5,KNOWsutra,checked,,,,1,,BURLESQUE,BURLESQUE,5,4663,44,0:15:20,https://i1.sndcdn.com/artworks-TawBy2TG82lsrzx3-SEV7yw-t500x500.png,https://i1.sndcdn.com/artworks-TawBy2TG82lsrzx3-SEV7yw-t1080x1080.png,Hard Core,L-93,2024-11-15 04:12,"BANJOsutra,BLUESsutra,BURLESQUEsutra,FOTUS CIRCUS Playlist An American Freaks Show,JAZZsutra,JAZZsutra (Best Of),KNOWsutra : (naked) TRUTH,KNOWsutra where questions matter,QUACKsutra where we sing FU,Questions for the (kind) POPE in the Sky"
Poetry Matters EP vol.3,https://soundcloud.com/bananasutra/sets/poetry-matters-ep-vol3,GLOWsutra,checked,,,,3,,"FOLK,LOFI,MANTRA","FOLK,LOFI,MANTRA",3,543,8,0:10:10,https://i1.sndcdn.com/artworks-2YAEhVqYbh7DwilS-Nd8dqg-t500x500.jpg,https://i1.sndcdn.com/artworks-2YAEhVqYbh7DwilS-Nd8dqg-t1080x1080.jpg,Poetry Matters,L-189,2025-01-19 05:28,"BOWsutra the last of 7 sutras · it's divine <3,DUBsutra,GLOWsutra : POET(ry),GLOWsutra where gratitude feeds,KNOWsutra where questions matter,LOFIsutra,MANTRAsutra"
Freee · La Fille • French SHOWsutra Psychedelic EPx10,https://soundcloud.com/bananasutra/sets/freee-la-fille-french-showsutra-psychedelic-epx10,FLOWsutra,checked,,,,1,,"BURLESQUE,DUB,LOFI","BURLESQUE,DUB,HIP HOP,LOFI,PSYCHEDELIC,RAGGA",10,6723,54,0:30:12,https://i1.sndcdn.com/artworks-RJT0le0yFOpGmfuI-gfY2hw-t500x500.png,https://i1.sndcdn.com/artworks-RJT0le0yFOpGmfuI-gfY2hw-t1080x1080.png,"Freee, La Fille",L-84,2025-10-02 03:17,"BLUESsutra,BURLESQUEsutra,BURLESQUEsutra (Best Of),DUBsutra,DUBsutra (Best Of),FRENCHsutra oui oui · sacrebleu,LOFIsutra,OUI OUI : Pardon (my French),SHOWsutra where bananas play"
La Force Douce EPx7 ✪ French GROWsutra World Peace Duende LoFi Indie Fusion,https://soundcloud.com/bananasutra/sets/la-force-douce-epx7-french-growsutra-world-peace-duende-lofi-indie-fusion,GROWsutra,checked,,,,1,,"INDIE,LOFI","FLAMENCO,GIPSY,INDIE,LOFI,SOUL",7,5310,39,0:23:54,https://i1.sndcdn.com/artworks-oqgzYZ3lzrGih5hj-WJ2hFQ-t500x500.png,https://i1.sndcdn.com/artworks-oqgzYZ3lzrGih5hj-WJ2hFQ-t1080x1080.png,La Force Douce,L-132,2025-10-08 00:29,"FRENCHsutra oui oui · sacrebleu,GROWsutra : KIND(ness),GROWsutra where we be brave,INDIEsutra,INDIEsutra (Best Of),LOFIsutra,OUI OUI : Pardon (my French)"
But(t) How you Kids Learn Now? EPx9 VOL. 01,https://soundcloud.com/bananasutra/sets/butt-how-you-kids-learn-now-epx9-vol-01,KNOWsutra,checked,,,,1,,"FOLK,INDIE,JAZZ","FOLK,INDIE,JAZZ",9,1951,29,0:30:18,https://i1.sndcdn.com/artworks-s7JwXEm6wQmnuT1J-ySHR0g-t500x500.png,https://i1.sndcdn.com/artworks-s7JwXEm6wQmnuT1J-ySHR0g-t1080x1080.png,How Do Kids Learn Now?,L-106,2025-04-14 18:55,"BANJOsutra,BURLESQUEsutra,FOLKsutra,GROWsutra where we be brave,JAZZsutra,KNOWsutra : (naked) TRUTH,KNOWsutra where questions matter"
FOTUS CIRCUS ★ VOL.2 EPx10 ★ BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/fotus-circus-vol2-epx10-burlesquesutra,QUACKsutra,checked,,,,2,,"BANJO,BURLESQUE,FOLK,JAZZ,LOFI,ROCK","BANJO,BURLESQUE,FOLK,JAZZ,LOFI,ROCK",10,1698,11,0:32:55,https://i1.sndcdn.com/artworks-44IaWyIDQ4KPbMKz-LMbmBg-t500x500.png,https://i1.sndcdn.com/artworks-44IaWyIDQ4KPbMKz-LMbmBg-t1080x1080.png,FOTUS Circus: Ginsberg Hollow (Horror) Show,L-82,2025-05-21 02:01,"BANJOsutra,FOTUS CIRCUS Playlist An American Freaks Show,LOFIsutra,QUACKsutra : FOTUS Circus"
Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,https://soundcloud.com/bananasutra/sets/blessed-be-the-dogs-showsutra-epx9-post-punk-burlesque-rock,BOWsutra,checked,,,,1,,"BURLESQUE,ROCK","BURLESQUE,PUNK,ROCK",9,1979,32,0:35:13,https://i1.sndcdn.com/artworks-kAEVcohylwIZch0q-ThHu4Q-t500x500.png,https://i1.sndcdn.com/artworks-kAEVcohylwIZch0q-ThHu4Q-t1080x1080.png,Blessed Be The Dogs,L-33,2025-08-15 01:39,"BOWsutra : (Thank) Dogs,ROCKsutra,SHOWsutra where bananas play"
When Did Seduction Become so Untrue? EPx16 Vol. 02 ䷶ KNOWsutra Flamenco Techno,https://soundcloud.com/bananasutra/sets/when-did-seduction-become-so-untrue-how-do-kids-learn-now-epx16-vol-02-knowsutra-flamenco-techno,KNOWsutra,checked,,,,1,,"INDIE,WORLD","FADO,FLAMENCO,GIPSY",16,3359,21,1:12:03,https://i1.sndcdn.com/artworks-vJJyHyvScNYFs8IL-ASDhig-t500x500.png,https://i1.sndcdn.com/artworks-vJJyHyvScNYFs8IL-ASDhig-t1080x1080.png,When Did Seduction Become so Untrue?,L-293,2025-08-12 02:17,"KNOWsutra : (naked) TRUTH,KNOWsutra where questions matter"
Poetry Nah Lie ☲ EPx6 Vol.01 ☲ DUBsutra,https://soundcloud.com/bananasutra/sets/poetry-nah-lie-epx6-vol01-dubsutra,GLOWsutra,checked,,,,1,,DUB,RAGGA,6,3416,39,0:21:43,https://i1.sndcdn.com/artworks-XirUpSPl2GiR23bD-IUcZyA-t500x500.png,https://i1.sndcdn.com/artworks-XirUpSPl2GiR23bD-IUcZyA-t1080x1080.png,Poetry Nah Lie,L-190,2025-05-29 04:13,"DUBsutra,GLOWsutra where gratitude feeds"
El Papito Leo Es No MAGA Show ☰ KNOWsutra EPx6,https://soundcloud.com/bananasutra/sets/el-papito-leo-es-no-maga-show-knowsutra-epx6,GROWsutra,checked,,,,1,,"DUB,INDIE,JAZZ","DUB,INDIE,JAZZ",6,3642,24,0:15:38,https://i1.sndcdn.com/artworks-pO4mbYYB5FWshxlE-Emrw6Q-t500x500.png,https://i1.sndcdn.com/artworks-pO4mbYYB5FWshxlE-Emrw6Q-t1080x1080.png,El Papito (Es No MAGA Show),L-70,2025-06-23 22:28,"DUBsutra,GROWsutra : GOD (etc),INDIEsutra,JAZZsutra"
Pro-life means what · honey?,https://soundcloud.com/bananasutra/sets/pro-life-means-what-honey,GROWsutra,checked,,,,1,,"BANJO,MANTRA","BANJO,MANTRA",6,1213,18,0:20:15,https://i1.sndcdn.com/artworks-6n9qPQKkYrr2fiIl-Ru83aw-t500x500.jpg,https://i1.sndcdn.com/artworks-6n9qPQKkYrr2fiIl-Ru83aw-t1080x1080.jpg,"Pro-life Means What, Honey?",L-196,2025-02-11 03:29,"BANJOsutra,BLUESsutra,DUBsutra,GROWsutra : GOD (etc),KNOWsutra where questions matter,QUACKsutra where we sing FU,Questions for the (kind) POPE in the Sky"
