ep_title,ep_url,ep_in_app,ep_featured,ep_description,duration_total,sutra,ep_volume,ep_total_tracks,total_plays,total_likes,genres,genres_full,ep_rating,artwork_url,artwork_lg_url,lyrics_title,lyrics_id,ep_songbook_title,created_at,playlist_names_clean
A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,https://soundcloud.com/bananasutra/sets/a-letter-to-my-friend-never-again-epx44-growsutra-world-peace-mantra,checked,,"44 tracks of unapologetic peace. When did caring for one person mean betraying another? Served in banjo, blues, and dub. The numbers speak: 28k plays, 224 hearts. The peace prayer that won't shut up.",2:26:10,KNOWsutra,1,44,28225,224,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA","BANJO,BLUES,DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,MANTRA,RAGGA,SOUL",,https://i1.sndcdn.com/artworks-wWQhnGqz9vHL3gbU-Sx2Pvw-t500x500.png,https://i1.sndcdn.com/artworks-wWQhnGqz9vHL3gbU-Sx2Pvw-t1080x1080.png,A Letter To My Friend (Never Again),L-3,Ask: PEACE (not war),2025-10-10 03:58,"BANJOsutra, BLUESsutra (Best Of), GROWsutra where we be brave, INDIEsutra, INDIEsutra (Best Of), JAZZsutra (Best Of), KNOWsutra : PEACE (not War), KNOWsutra where questions matter, LOFIsutra, LOFIsutra (Best Of), WORLDsutra (Best Of)"
A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-and-a-that-a-la-bananasutra-epx3-vol-02-revolution-forever,checked,,"3 tracks of truth with teeth. Robert Burns wrote it over 200 years ago. The crown is still a stamped disguise. Channeling Robert Burns, obviously. Vol. 2, because one wasn't enough. A cover, reborn.",0:09:42,BLOWsutra,2,3,931,9,"LOFI,MANTRA","LOFI,MANTRA,TRIP HOP",,https://i1.sndcdn.com/artworks-1bqixGWYedpZR647-tZkbFA-t500x500.png,https://i1.sndcdn.com/artworks-1bqixGWYedpZR647-tZkbFA-t1080x1080.png,A Man's a Man and A' That,L-5,Speak: REVOLT (now),2025-04-25 03:30,"BLOWsutra : REVOLT (now), INDIEsutra, KNOWsutra where questions matter, LOFIsutra, MANTRAsutra"
A Man's A Man for A' That - VOL. 01 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-for-a-that-vol-01,checked,,"3 tracks of truth with teeth. Robert Burns wrote it over 200 years ago. The crown is still a stamped disguise. A nod to Robert Burns. Borrowed lyrics, original soul. Revolution as a daily practice.",0:10:33,BLOWsutra,1,3,575,6,"FOLK,INDIE","FOLK,INDIE",,https://i1.sndcdn.com/artworks-YUOwZVtRKHQ7qgnV-7WlPYA-t500x500.jpg,https://i1.sndcdn.com/artworks-YUOwZVtRKHQ7qgnV-7WlPYA-t1080x1080.jpg,A Man's a Man and A' That,L-5,Speak: REVOLT (now),2025-04-25 01:57,"BANJOsutra, BLOWsutra : REVOLT (now), KNOWsutra where questions matter, MANTRAsutra"
A stroll down history’s lane ☆ KNOWsutra ☆ EPx6 Vol. 1,https://soundcloud.com/bananasutra/sets/a-stroll-down-historys-lane,checked,,"6 mantra tracks built on nerve and a prayer. History's timeless trick: it rhymes, but(t) nobody listens. The peace prayer that won't shut up.",0:20:21,KNOWsutra,1,6,1124,10,MANTRA,MANTRA,,https://i1.sndcdn.com/artworks-9uz2GCIarSzz3CK9-yLGoGg-t500x500.jpg,https://i1.sndcdn.com/artworks-9uz2GCIarSzz3CK9-yLGoGg-t1080x1080.jpg,A Stroll Down History’s Lane,L-7,Ask: PEACE (not war),2025-03-31 10:45,"BANJOsutra, BLOWsutra, DUBsutra, FOLKsutra, INDIEsutra, KNOWsutra : PEACE (not War), KNOWsutra where questions matter, MANTRAsutra"
ABCs of Kindness - KNOWsutra,https://soundcloud.com/bananasutra/sets/abcs-of-kindness-knowsutra,checked,,"A 10-track luminous ride that practices kindness like a contact sport. Kindness, alphabetized. Because some things deserve to be practiced A to Z. The sound: indie and burlesque. Kindness as rebellion.",0:30:28,KNOWsutra,1,10,1977,13,"INDIE,BURLESQUE","INDIE,BURLESQUE",,https://i1.sndcdn.com/artworks-OJbXzv5DEM6ihALr-CtrAEg-t500x500.jpg,https://i1.sndcdn.com/artworks-OJbXzv5DEM6ihALr-CtrAEg-t1080x1080.jpg,ABC Of Kindness,L-9,Dare: KIND(ness),2025-02-09 02:36,"DUBsutra, GROWsutra : KIND(ness), INDIEsutra, KNOWsutra where questions matter, MANTRAsutra"
AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,https://soundcloud.com/bananasutra/sets/ai-fair-use-manifesto-epx3-vol1-lofi-burlesque-blues,checked,,"3 tracks of truth with teeth. New tech, same question: what is creativity, really? Served in blues, burlesque, and lo-fi. The naked truth, served warm.",0:09:42,KNOWsutra,1,3,577,5,"BLUES,BURLESQUE,LOFI","BLUES,BURLESQUE,LOFI",,https://i1.sndcdn.com/artworks-8MpTLEJF8IA3pZOl-q8KlmA-t500x500.png,https://i1.sndcdn.com/artworks-8MpTLEJF8IA3pZOl-q8KlmA-t1080x1080.png,AI Fair Use Manifesto,L-12,Ask: (Naked) TRUTH,2025-04-10 20:36,"BANJOsutra, BLUESsutra, BURLESQUEsutra, KNOWsutra : but(t) WHY, LOFIsutra"
Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,https://soundcloud.com/bananasutra/sets/aint-doing-bad-doing-nothing-public-domain-vol-02-epx10-flowsutra-wet-jazz,checked,,"10 blues, burlesque, and jazz tracks disguised as music. The radical art of not hustling, for once. A nod to Peggy Lee. A cover, reborn. Fly like water, land like truth.",0:29:52,FLOWsutra,1,10,3911,38,"BLUES,BURLESQUE,JAZZ","BLUES,BURLESQUE,JAZZ",,https://i1.sndcdn.com/artworks-ywHf0D0qFVueq62i-1G6SmQ-t500x500.png,https://i1.sndcdn.com/artworks-ywHf0D0qFVueq62i-1G6SmQ-t1080x1080.png,Ain't Doing Bad Doing Nothing,L-14,Trust: FLY (like water),2025-11-04 05:33,"BLUESsutra, BURLESQUEsutra, FLOWsutra where time is space, JAZZsutra"
All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,https://soundcloud.com/bananasutra/sets/all-i-know-shades-of-fools-its-the-why-knowsutra-epx5-vol-02,checked,,"5 tracks of questions that won't quit. All I know is I dunno. But it's the why that tells you which shade of fool you're dealing with. Blues, burlesque, and folk grooves from end to end. The naked truth, served warm.",0:16:03,KNOWsutra,1,5,2034,15,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ","BLUES,BURLESQUE,FOLK,INDIE,JAZZ",,https://i1.sndcdn.com/artworks-jqVeUE2kfD4URweU-kKwl8A-t500x500.png,https://i1.sndcdn.com/artworks-jqVeUE2kfD4URweU-kKwl8A-t1080x1080.png,Shades of Fools (All I Know),L-217,Ask: (Naked) TRUTH,2025-11-19 19:59,"BLUESsutra, BURLESQUEsutra, INDIEsutra, JAZZsutra, KNOWsutra where questions matter"
All the -Isms | BLOWsutra EPx7,https://soundcloud.com/bananasutra/sets/all-the-isms-blowsutra-epx7,checked,,"7 tracks of fair-play defiance. What if every -ism was just one -ism wearing different hats? (Spoiler: it's narcissism, all the way down.) Served in banjo, burlesque, and folk. Ego, meet your reflection.",0:22:51,BLOWsutra,1,7,1630,14,"BANJO,BURLESQUE,FOLK,JAZZ","BANJO,BURLESQUE,FOLK,JAZZ",,https://i1.sndcdn.com/artworks-qrxklwZQpzKpzPUh-kUGDvA-t500x500.png,https://i1.sndcdn.com/artworks-qrxklwZQpzKpzPUh-kUGDvA-t1080x1080.png,All the -Isms,L-16,Speak: EGO (gone loco),2025-08-26 02:05,"BANJOsutra, BLOWsutra, BLOWsutra : EGO (gone loco), BURLESQUEsutra, DUBsutra, FOLKsutra, JAZZsutra, KNOWsutra where questions matter, LOFIsutra"
An American in Paris (Public Domain Lyrics) 🎙️ SHOWsutra Classic Retro Musical REMAKE,https://soundcloud.com/bananasutra/sets/an-american-in-paris-public-domain-lyrics-showsutra-classic-retro-musical-remake,checked,,"6 dub, indie, and jazz tracks served with no apologies. Gershwin walked into a SHOWsutra set. Five Gershwin classics, zero originals, zero apologies. Inspired by Cole Porter. Borrowed lyrics, original soul. Welcome to the Fanana club.",0:20:07,SHOWsutra,1,6,3597,35,"DUB,INDIE,JAZZ","DUB,INDIE,JAZZ",,https://i1.sndcdn.com/artworks-dOp2MsRUp5Ta2lVZ-MjIpgA-t500x500.png,https://i1.sndcdn.com/artworks-dOp2MsRUp5Ta2lVZ-MjIpgA-t1080x1080.png,An American in Paris (Public Domain),L-17,Play: FANANA (party),2026-01-16 09:39,"DUBsutra, INDIEsutra, JAZZsutra, JAZZsutra (Best Of), SHOWsutra where bananas play"
