title,lyrics_title,lyrics_id,ytvideo_in_app,format,rating,duration,topic_categories,yt_url,content_type,genre_primary,genre_secondary,instruments,sutra,mood,tempo_feel,curation_rating,has_manual_caption,manual_notes,publish_date,view_count,like_count,comment_count,thumbnail_url,description,yt_tags,series_info,language,playlist_names,playlist_count,has_captions,privacy_status,embeddable,license,made_for_kids,status,notes,video_id
Hard Core 🦆💨,,,,9:16,,3:26,"Independent music, Music",https://www.youtube.com/watch?v=92P_ius2eLs,Commentary,,,,,,,,,,2024-11-07,32,,0,https://i.ytimg.com/vi/92P_ius2eLs/sddefault.jpg,,,,English,"JAZZsutra,KNOWsutra,Bible Gone Bananas",3,,public,checked,youtube,,New,,92P_ius2eLs
"“Have fun, enjoy the partey (I'm dead inside)”",,,checked,9:16,,0:06,Entertainment,https://www.youtube.com/watch?v=FMQvYQhd9TU,Commentary,SPOKEN WORDS,,Voice,,,,,,,2025-03-21,52,,0,https://i.ytimg.com/vi/FMQvYQhd9TU/maxresdefault.jpg,#murica #rip #education #dystopian #truestory #imsad #deadinside,,,EN,"BLABLAsutra,SHORTsutra Bananas Matter",2,,public,checked,youtube,,New,,FMQvYQhd9TU
Can the #cacophony of cocksure bollocks ever “trickle out” of this Felon’s kingdom⁉️🍿,,,checked,9:16,,0:14,"Entertainment, Independent music, Performing arts, Pop music",https://www.youtube.com/watch?v=wkQYa8mr9zU,Commentary,MANTRA,,Voice,,,,,,,2025-03-13,32,,0,https://i.ytimg.com/vi/wkQYa8mr9zU/maxresdefault.jpg,"@bananasutra lyrics + #aivoice on #sunomusic 

[Verse 1]
They say, “Oh, you dress to impress, that’s clear.”
But I’m just a dreamer, dear
Feathers, ribbons, velvet lace
Spinning through life in a world I create

[Pre-Chorus]
Oh, you think I’m playing just to steal the scene?
Baby, I’m the story—call me the queen

[Chorus]
[Playful, bouncy melody, with jazzy scatting]
I’m a silly girl, funny cat, hearty queen, white rabbit—ooh la la!
Dancing through the city lights, Paris brings that je ne sais quoi
Not for love, not for show, just a spark that’s set to glow
Dressed in wonder, head to toe—darling, that’s just how I flow!

[Verse 2]
Tilt their heads, they analyze
“Who’s she tryna mesmerize?”
But I just twirl and tip my crown
Living this magic, won’t tone it down

[Pre-Chorus]
Oh, you think I’m dressing just to turn some heads?
Baby, I’m a fairytale, born and bred

[Chorus]
[Swingin’, syncopated rhythm, playful horn accents]
I’m a silly girl, funny cat, hearty queen, white rabbit—ooh la la!
Dancing through the city lights, Paris brings that je ne sais quoi
Not for love, not for show, just a spark that’s set to glow
Dressed in wonder, head to toe—darling, that’s just how I flow!

[Outro]
[Soft, teasing, spoken word over a smooth bassline]
So next time you see me all dressed to the nines…
Just know, darling—this fairytale’s mine.


[end]",,,Bilingual,"BLABLAsutra,SHOWsutra,FOTUS CIRCUS (Felon Of The United States),SHORTsutra Bananas Matter",4,,public,checked,youtube,,New,,wkQYa8mr9zU
Gratitude interlude: blessed be the sound of #banana jokes 🎤🍌🙊,,,checked,9:16,,0:08,Entertainment,https://www.youtube.com/watch?v=SiSJbGm5idc,Commentary,SPOKEN WORDS,,,,,,,,,2026-03-08,15,0,0,https://i.ytimg.com/vi/SiSJbGm5idc/maxresdefault.jpg,Blessed the sound of music 🤌,"Banana Joke,The sound of music,Mattresses Matter,Happy Saturday,Comedick",,EN,BLABLAsutra,1,,public,checked,youtube,,New,,SiSJbGm5idc
Let’s see if #copyright vampires dare claim rights on my sweet sample  #françoisehardy #cover #rip,,,checked,9:16,,1:00,"Independent music, Music, Pop music",https://www.youtube.com/watch?v=phAy4l8pExU,Short/Reel,INDIE,,Voice,,,,,,,2024-10-30,26,,0,https://i.ytimg.com/vi/phAy4l8pExU/maxresdefault.jpg,,,,EN,"FOLKsutra,LULLABIESsutra,SHORTsutra Bananas Matter",3,,public,checked,youtube,,New,,phAy4l8pExU
"Meanwhile, at the bananasutra #artgallery 🍌💨",,,checked,9:16,,0:08,Entertainment,https://www.youtube.com/watch?v=whCo0-Rcdeg,Commentary,SPOKEN WORDS,,,,,,,,,2025-04-18,241,,0,https://i.ytimg.com/vi/whCo0-Rcdeg/maxresdefault.jpg,,,,EN,"BLABLAsutra,FOTUS CIRCUS (Felon Of The United States),SHORTsutra Bananas Matter,Bible Gone Bananas",4,,public,checked,youtube,,New,,whCo0-Rcdeg
Fake News Dream Machine: imagine a cruel Felon King magically turned Kind (PSA: NEVER happenin’ ;),,,checked,16:9,2,3:13,"Electronic music, Independent music, Music",https://www.youtube.com/watch?v=R55sW_ND2xg,Commentary,SPOKEN WORDS,,Voice,,,,,,i think i ponder -- findcorrect version,2025-01-25,26,,0,https://i.ytimg.com/vi/R55sW_ND2xg/maxresdefault.jpg,"We knew the FOTUS can’t dance, and guess what… he can’t sing either ;)
@bananasutra lyrics inspired from my old OKcupid profile #funfacts",,,EN,"BLABLAsutra,PEACE CIRCUS,FOTUS CIRCUS (Felon Of The United States),Bible Gone Bananas",4,,public,checked,youtube,,New,,R55sW_ND2xg
God Made a Mistake (at the Art Gallery)... 🎭📺🍏💨,,,checked,9:16,,0:08,"Independent music, Music, Pop music, Reggae, Religion",https://www.youtube.com/watch?v=zqdyfcM4CqQ,Commentary,SPOKEN WORDS,,Voice,,,,,,,2025-09-25,121,1,0,https://i.ytimg.com/vi/zqdyfcM4CqQ/maxresdefault.jpg,"Why can’t we agree violence is insane, and greed a vile kind of creed? What makes humans so prone to egotistical deception, and so gullible? How can evil get away with evil, over and over and over and again and again? When will we ever learn that peace is necessary to collective prosperity, the true glory? 

Will the deadly spirals of imperialism ever stop spinning out of control? Not in my lifetime, I know that much 🕊️💨 #apesgonewrong

—
@bananasutra lyrics:
[Verse 1]
Oh, tell me now, my dear, what justifies the pain?
What on earth makes violence ever seem sane?
Is it the promise of a world more fair,
Or the foolish pride of those who dare
To claim the ends can cleanse the stains,
Of broken hearts and shattered reigns?

[Chorus]
From Stalin’s grip to Mao’s command,
To every inch of stolen land,
Tell me, my friends, what do you see?
Is there a truth that sets us free?
Or do we dance to the same old song,
Believing right can come from wrong?

[Verse 2]
They said the bombs on Hiroshima’s shores
Would end a war, prevent more wars.
But what of lives turned into dust,
The silent screams of broken trust?
Do numbers add up to some great peace,
When history’s wounds have yet to cease?

[Bridge]
Oh, they speak of order, speak of gain,
But what justifies the mothers’ pain?
The fathers lost, the children weep,
As history digs its grave so deep.
What on earth, my friends, justifies
The lies that blind our very eyes?

[Verse 3]
Look at apartheid’s cold divide,
Or the Inquisition’s holy pride,
They claimed a cause, they claimed a need,
But all I see is human greed.
The fools who bamboozle, fools who scheme,
Turning justice into a fevered dream.

[Chorus]
From Stalin’s grip to Mao’s command,
To every inch of stolen land,
Tell me, my friends, what do you see?
Is there a truth that sets us free?
Or do we dance to the same old song,
Believing right can come from wrong?

[Outro]
So tell me now, my dear, what justifies the pain?
Can anything make violence ever seem sane?
Or do we learn from the tales of old,
That love, not power, is what we hold?
Oh, what justifies, what justifies the pain?",,,EN,"BLABLAsutra,FOTUS CIRCUS (Felon Of The United States),SHORTsutra Bananas Matter,Bible Gone Bananas",4,,public,checked,youtube,,New,,zqdyfcM4CqQ
"And now, for a brief #dystopianart interlude, in a world gone bananas… Do you know the feeling⁉️",,,checked,9:16,,0:13,Entertainment,https://www.youtube.com/watch?v=fqqLZnseg1E,Commentary,MANTRA,,Xylophone,,,,,,,2026-02-09,174,0,0,https://i.ytimg.com/vi/fqqLZnseg1E/maxresdefault.jpg,#memelife IRL,,,EN,"BLABLAsutra,SHORTsutra Bananas Matter",2,,public,checked,youtube,,New,,fqqLZnseg1E
Because fairies #magicmatters and sincere wishes count 🧚🍀 note: #happiness ain’t about gold = true,,,checked,9:16,,0:15,Entertainment,https://www.youtube.com/watch?v=yBe9f_ZLf5E,Commentary,SPOKEN WORDS,,Piano,,,,,,,2025-03-15,31,,0,https://i.ytimg.com/vi/yBe9f_ZLf5E/maxresdefault.jpg,,,,EN,"BLABLAsutra,PEACE CIRCUS,SHORTsutra Bananas Matter",3,,public,checked,youtube,,New,,yBe9f_ZLf5E
