lyrics_id,song_title,sister_songs_before,from_field_sister_songs,sister_songs_after
L-406,,"Bloom Past Doom,This Ain't Fiction (Bloom Past Doom)",Revolution's Lit,"Bloom Past Doom,This Ain't Fiction (Bloom Past Doom),Revolution's Lit"
L-25,,,Shades of Fools (All I Know),Shades of Fools (All I Know)
L-29,,,Shades of Fools (All I Know),Shades of Fools (All I Know)
L-36,,"This Ain't Fiction (Bloom Past Doom),We Ain't Ghouls,We Must Revolt","Apes Gone Wrong (Bloom Past Doom),""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",We Ain't Ghouls,We Must Revolt,Revolution's Lit","This Ain't Fiction (Bloom Past Doom),We Ain't Ghouls,We Must Revolt,Apes Gone Wrong (Bloom Past Doom),""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",Revolution's Lit"
L-40,,,Possum Scrotum,Possum Scrotum
L-45,,,"""Freee, La Fille""","""Freee, La Fille"""
L-400,,"Fool On A Mission (No Name Game),The Sound of A Wondering Mind","Fool On A Mission (No Name Game),Making Songs Like...,The Sound of A Wondering Mind","Fool On A Mission (No Name Game),The Sound of A Wondering Mind,Making Songs Like..."
L-47,,,Silent Followers,Silent Followers
L-61,,,RUN (Now If You Can),RUN (Now If You Can)
L-358,,,Sutra of Immanence,Sutra of Immanence
L-69,,"The Narcissist's Cabaret,ABC of NPD","ABC of NPD,The Narcissist's Cabaret,Learn The Signs","The Narcissist's Cabaret,ABC of NPD,Learn The Signs"
L-401,,"Fool On A Mission (No Name Game),Like Rivers In Syncopated Times,The Sound of A Wondering Mind","Fool On A Mission (No Name Game),Like Rivers In Syncopated Times,Making Songs Like...,The Sound of A Wondering Mind","Fool On A Mission (No Name Game),Like Rivers In Syncopated Times,The Sound of A Wondering Mind,Making Songs Like..."
L-81,,,"FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks""","FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks"""
L-352,,,"FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks""","FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks"""
L-82,,,"FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks""","FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks"""
L-350,,,"FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks""","FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks"""
L-349,,,"FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks""","FOTUS Circus: Round And Round,""FOTUS Circus: Step Right Up, Murica Freaks"""
L-98,,Silent Followers,"""Hey, Creeps"",Silent Followers","Silent Followers,""Hey, Creeps"""
L-129,,,Poets Hats,Poets Hats
L-135,,Le Bal Des Salauds,"Le Bal Des Salauds,Secret De Polichinelle","Le Bal Des Salauds,Secret De Polichinelle"
L-145,,"Dead Dogs Deets,Blessed Be The Dogs,Sutra of Immanence","Blessed Be The Dogs,Dead Dogs Deets,Blessed Be The Dogs (SHOWsutra Edition)","Dead Dogs Deets,Blessed Be The Dogs,Sutra of Immanence,Blessed Be The Dogs (SHOWsutra Edition)"
L-399,,"Feel the ryhthm,Fool On A Mission (No Name Game),The Sound of A Wondering Mind","Feel the ryhthm,Fool On A Mission (No Name Game),Making Songs Like...,The Sound of A Wondering Mind","Feel the ryhthm,Fool On A Mission (No Name Game),The Sound of A Wondering Mind,Making Songs Like..."
L-194,,Why Are Kids Allowed To Die? (Why War?),"Why Are Kids Allowed To Die? (Why War?),Maslow (Bro),Wars Don’t Flow","Why Are Kids Allowed To Die? (Why War?),Maslow (Bro),Wars Don’t Flow"
L-198,,,Seminal Bollocks,Seminal Bollocks
L-199,,Reason Over Reverence,"Reason Over Reverence,Question The Nation,Planet Idiocracy","Reason Over Reverence,Question The Nation,Planet Idiocracy"
L-200,,"Question Di Kingdom,Reason Over Reverence",Planet Idiocracy,"Question Di Kingdom,Reason Over Reverence,Planet Idiocracy"
L-205,,"Question Di Kingdom,I Ain't No Christian (Like Bertrand)","I Ain't No Christian (Like Bertrand),Question Di Kingdom,Question The Nation","Question Di Kingdom,I Ain't No Christian (Like Bertrand),Question The Nation"
L-233,,"""Pro-life Means What, Honey?"",Shush (How To Help A Bible Bro Grow Up)","""Pro-life Means What, Honey?"",Shush (How To Help A Bible Bro Grow Up),Read Me Harder (BB is for Banned Books)","""Pro-life Means What, Honey?"",Shush (How To Help A Bible Bro Grow Up),Read Me Harder (BB is for Banned Books)"
L-235,,"7 Dirty Words,F*ckonomics,F-BOMB","7 Dirty Words,F-BOMB,F*ckonomics,Linguistic Weaponry","7 Dirty Words,F*ckonomics,F-BOMB,Linguistic Weaponry"
L-403,,"Peace Unseen,They Call Her Wild (But She's Just Free)","Peace Unseen,They Call Her Wild (But She's Just Free),""Out of Step, Out Of Mind""","Peace Unseen,They Call Her Wild (But She's Just Free),""Out of Step, Out Of Mind"""
L-236,,"Blessed Be The Dogs (SHOWsutra Edition),Dream A Dog","Like A Dog In The Sky,Blessed Be The Dogs (SHOWsutra Edition),Blessed Be The Dogs","Blessed Be The Dogs (SHOWsutra Edition),Dream A Dog,Like A Dog In The Sky,Blessed Be The Dogs"
L-238,,"V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby)","V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby),Tell The Truth","V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby),Tell The Truth"
L-254,,She Wears The Words,"She Wears The Words,""Poem (I wanted to be, basically)""","She Wears The Words,""Poem (I wanted to be, basically)"""
L-402,,"Like Rivers In Syncopated Times,Feel the ryhthm,Connecting Dots","Connecting Dots,Feel the ryhthm,Like Rivers In Syncopated Times,Making Songs Like...","Like Rivers In Syncopated Times,Feel the ryhthm,Connecting Dots,Making Songs Like..."
L-260,,"Peace Unseen,Suspended in Time","Peace Unseen,Suspended in Time,""Out of Step, Out Of Mind""","Peace Unseen,Suspended in Time,""Out of Step, Out Of Mind"""
L-396,,We Ain't Ghouls,"Apes Gone Wrong (Bloom Past Doom),Bloom Past Doom,""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",We Ain't Ghouls","We Ain't Ghouls,Apes Gone Wrong (Bloom Past Doom),Bloom Past Doom,""They Call It Freedom (Oh Hi, Sweet Honey Bun)"""
L-280,,The Atheist Tango,"The Atheist Tango,Waldo's Fascist Tango (Down We Go)","The Atheist Tango,Waldo's Fascist Tango (Down We Go)"
