songbook,url_slug_songbook,url_songbook_locked,status,songbook_type,songbook_in_app,songbook_featured,landr_url,sutras,secondary_sutra,topics_primary,description,songbook_id,sutra_id_rollup,songbook_art_url,sc_playlist_url,songs
Ask: BERTRAND (knows),ask-bertrand-knows,checked,OPEN,sutra,checked,,https://app.landr.com/library/folder/1a47b22e-ab07-44cc-bbcd-5601124a2442,KNOWsutra,SHOWsutra,WISDOM,"Bertrand Russell walks into a bar, orders a paradox, and starts a philosophical fight club. Songs for the ethically curious.",G-01-BERT,01-KNOW,https://i1.sndcdn.com/artworks-oJ9Fh72QQzfgiRgF-mSFydg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-bertrand-mon-cheri,"I Ain't No Christian (Like Bertrand), It's An Ethical Paradox, Question Di Kingdom, Question The Nation, The (Womp Womp) Conquestor, The Conquest of Happiness, Truth I Never Knew (Crushing on Bertrand), ""Two Things, Darling"", The Unhappiness Tango, Criminals (Bertrand Edition)"
Ask: PEACE (not war),ask-peace-not-war,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/00f366cd-196d-4488-9946-84f60301741b,KNOWsutra,BLOWsutra,PEACE,"Songs in the name of history, for the lovers, and everyone who refuses to unsee patterns of deceit and abuse. Peace is not a default. It's a practice.",G-01-PEAC,01-KNOW,https://i1.sndcdn.com/artworks-4w582El0x5oIrs8P-HzEPOQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-peace-not-war,"A Letter To My Friend (Never Again), A New Historical Era, A Stroll Down History’s Lane, Because The Fight, Blaise's Tale, Cassandra's Lullaby, ""En Vrai, On Est Tous Frères"", Everybody Knows, Foolish, Foolish Goldfish (Forever), How Do You Explain War?, Peace Matters More, Predators (Why War), The Love of A Dove, Trauma Begets Trauma, What It's About, WIN-WIN (Basic Science History), What Justifies The Pain?, A la Guerre Comme A la Guerre (To War or Not to War?), Wars Don’t Flow, What Lessons Do We Forget?, Maslow (Bro)"
Ask: (Naked) TRUTH,ask-naked-truth,checked,OPEN,sutra,checked,,https://app.landr.com/library/folder/8708b7a1-8aa6-4818-ae64-95562b304b6c,KNOWsutra,BLOWsutra,TRUTH,"The truth is agnostic. Honesty is brave, selfless. And it doesn't care if you're embarrassed. Songs asking the questions most would rather forget in the name of personal comfort, and power games.",G-01-TRUT,01-KNOW,https://i1.sndcdn.com/artworks-f66ByNzPT9uoPEaI-NO5RcQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsura-naked-truth,"AI Fair Use Manifesto, AI Manifesto, Authentic Innovation Manifesto, Banana Alleluia, Hard Core, How Do Kids Learn Now?, Metaphors' Edge (Joseph Campbell's song), New Normalcy (Planet Earth to Higher Grounds), ""Philosophy, My Dear"", Shades of Fools (All I Know), ""So, What Is Racism?"", Some Truths Are Harder to Swallow, T.R.U.T.H, Tell The Truth, Truth Don't Care, What's F-A-S-C-I-S-T?, When Did Seduction Become so Untrue?, Who Are You? (And Who Am I?), Honest Is Best"
Ask: But(t) WHY,ask-butt-why,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/7fb23bd4-9349-4e93-9d1e-3a2c29251e3e,KNOWsutra,GROWsutra,WISDOM,"One question. Socrates asked it, they killed him for it. We're still asking anyway.",G-01-WHY,01-KNOW,https://i1.sndcdn.com/artworks-ZPm3MIrvf9zymSnp-CfTzsw-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-but-t-why,"But(t) How Can You?, HashtagWHY (Sorry Not Sorry), Kids Are Asking, ""Oh My, Oh Why (Socrates Song)"", Shady Fools, There's No Prayer Like Desire, Why Are Kids Allowed To Die? (Why War?), The Sound Of Logic"
Speak: APES (gone wrong),speak-apes-gone-wrong,checked,OPEN,sutra,checked,,https://app.landr.com/library/folder/818c0334-195e-4b77-89ac-3d837bfa64f4,BLOWsutra,SHOWsutra,INJUSTICE,"Grifters, criminals, idiocrats. What happens when the apes take the wheel? Many songs on the subject... none of them wrong.",G-02-APES,02-BLOW,https://i1.sndcdn.com/artworks-5bVU3160At7As99u-kxcaPw-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-apes-gone-wrong,"Criminals, Criminels, Grifters, ""Hey, Creeps"", Planet Idiocracy, Ironic Moronic Eugenics, Le Bal Des Salauds, Le Bal Electoral, Le P'tit Jupiter, Le Système, ""Le Système, ça voulait dire"", Men-Oh-Pause, Okie Dokie (No It's Not), Rhinoceross, Serial Blowers, Trust No One, Freedom To Lie Is The New Human Right, ""It's Enshittification, Darling"", Apes Gone Wrong (Bloom Past Doom)"
Speak: CENSOR(ed),speak-censored,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/d083c5e1-0879-4a7b-a050-c9ef83cd3fa0,BLOWsutra,KNOWsutra,INJUSTICE,"What they banned, deleted, redacted, and rewrote. Songs about the inconvenient truths that survive anyway.",G-02-CENS,02-BLOW,https://i1.sndcdn.com/artworks-dthPPqfZhiyUkEwu-xSQQFA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-censor-ed,"Dear Edward (The Snowden Song), Delete My Butt, Hiding Secrets in Lies, If We Had But(t) The Truth, L’Embobinage, Mass Media Freakshow, Read Me Harder (BB is for Banned Books), Secret De Polichinelle, Supreme Words (Whoop Whoop), The Dystopian Quiz Song, Wonderland of Bias, GROCK, Silent Followers"
Quack: FOTUS Circus,quack-fotus-circus,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/5b2eec40-a948-45ef-81c4-77578edf6d53,QUACKsutra,BLOWsutra,POOLITICS,"Step right up. The FOTUS is in the ring, grotesque clowns are running the republic, and the entrance music is ubuesque. Enjoy.",G-02-CIRC,02-QUACK,https://i1.sndcdn.com/artworks-JWP4i7BJc28GfvPW-mmFU9Q-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/quacksutra-fotus-circus,"Carnival FOTUS (ctd), FOTUS Circus: Angels Eyes, FOTUS Circus: Ginsberg Hollow (Horror) Show, Like A Criminal Strong Man, The Accordion of Ignorance, Radio Static (The Dystopian Cabaret), ""FOTUS Circus: Step right up, My Dearest Souls"", ""FOTUS Circus: Step Inside, Don’t Mind The Crime"", ""FOTUS Circus: Welcome, You Fools"", ""FOTUS Circus: Come On In, You Wretched Fools"", Freakshow King, ""FOTUS Circus: Step Right Up, Murica Freaks"", FOTUS Circus: Round And Round"
Quack: DUCK (shady),quack-duck-shady,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/f4756dd1-ebf9-422c-a75b-8019e962bb54,QUACKsutra,SHOWsutra,POOLITICS,Meet Duck Shady. He's so much dumber and meaner than Slim Shady. And not funny at all.,G-02-DUC,02-QUACK,https://i1.sndcdn.com/artworks-o0qz0ucmBMzsR5UL-eS6HrA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/quacksutra-duck-shady,"Ain't No Kid, Chuck Ain't Woke, Creepy Con Meme, Daddy's a Creep, Dump Trump, Hide Your Pets, ""It's War, My Friend"", Kamala Has A Dream, L'Accordéon De l'Ignorance, Mind the Felon, Pedo Nation , Presidential Joke of The Year, Project 2025 (Honky tonk dreams in the land of the free), RUN (Now If You Can), Shining Twins, SS Means Sacred Sp3rm, Stymy Stymy Yuck, The Ducktator (Lament), The Grazed Duck Luck, The President’s Above The Law, The Tyranny of Ignorance, The Weave, Trump Derangement Syndrome ™, Who's Your Vladdy?, Why You Lie (To The People's Face)?, Woke 'em Whacks, Tweeting from the Throne, Profane Obscenities, Ignoramus Divine, Hitlus With Your Best Shot, Felon Nation, ""Shame on You Boo (Don-Be-Gone Orchestra, Duck of the Jungle)"", Chuck-A-Dick, Jingoism 101, Twatocracy (Encore et Encore), Duck OFF my back, ""Oh, WELP… The Duck."", Syndrome Nom Nom"
Speak: EGO (gone loco),speak-ego-gone-loco,checked,OPEN,sutra,checked,,https://app.landr.com/library/folder/9b69a27e-7c74-4c63-bb71-f0deeb968db3,BLOWsutra,KNOWsutra,EGO,"Narcissistic Personality Disorder in music. Songs about the people who confuse themselves with the whole universe, and the rest of us paying the tab.",G-02-EGO,02-BLOW,https://i1.sndcdn.com/artworks-2fgVK1GEubaAV6QP-rbKhfg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-ego-gone-loco,"A Liar’s Prize, ABC of NPD, All the -Isms, Arrogant Hearts (Second Hand Smoke), ""But Who Says """"Say My Name"""""", Comme Des Pions, Creeps, D.I.M.M.E.R.s, Ego Ain't Your Amigo, EGO's Masquerade, ""Hey, You (Creepers)"", How Deep Is Your Shade?, Jolly Poo, Learn The Signs, Liars, Male Fantasies, Males Fantasies (vol2), Nietzsche's Gift (Muddy Waters), Pablo's Grandeur, Relative Steve, Second Hand Smoke (Arrogant Hearts), The Narcissist's Cabaret, A Cabaret Where No One Knows, DARVO-A-GOGO, Stardom Is So Dumb, What If MeToo And BLM..., Oh The Masquerade"
Quack: MAxxxA Saga,quack-maxa-saga,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/7378a42d-7956-4d24-9252-cbc6787ac170,QUACKsutra,KNOWsutra,POOLITICS,"MAGA, MAHA, MAKA, MAMA, MASA, MAWA. Six acronyms. One burning question: make America what, exactly?",G-02-MAXA,02-QUACK,https://i1.sndcdn.com/artworks-gyBohcCG6YVAXsCO-qAFi8g-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-maxa-series,"MAHA (Make America Humane Again), MAKA (Make America Kind Again), Make Amurica Gulag Again (MAGA), MAMA (Make America Mine Achtung), MAWA (Make America Woke Again), MASA (Make America Safe Again)"
