playlist_name,playlist_type,ytplaylist_in_app,sutra,video_count,description,playlist_id,playlist_url,thumbnail_url,ytplaylist_featured,ytplaylist_featured_description
Bible Gone Bananas,collection,checked,,379,"The complete bananasutra archive: every song, reel, and spoken word. The full cabaret of the catalog.",PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_,https://www.youtube.com/playlist?list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_,https://i.ytimg.com/vi/Ry9Xlkw9cYo/maxresdefault.jpg,,
🎬🍌 Bananasutra Clips,collection,,,1,Short clips and excerpts from across the bananasutra catalog: a preview window into the full archive.,PLmBA9ODM1xHPzAZmZjy5kSC-UFxqvPoEq,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPzAZmZjy5kSC-UFxqvPoEq,https://i.ytimg.com/vi/uCoEDlpri0Q/maxresdefault.jpg,,
FRENCHsutra,collection,,,20,"Songs in French: a different tongue, a different register. The chanson tradition filtered through a bananasutra lens. Voulez-vous chanter avec moi?",PLmBA9ODM1xHNG3XU2-3MHj2_-bCisw-Ec,https://www.youtube.com/playlist?list=PLmBA9ODM1xHNG3XU2-3MHj2_-bCisw-Ec,https://i.ytimg.com/vi/jMp1OAy8drM/maxresdefault.jpg,,
FOTUS CIRCUS (Felon Of The United States),collection,,,136,"A full circus dedicated to the FOTUS era:  musical dispatches from the darkest, most absurd chapter of American democracy.",PLmBA9ODM1xHN3xHvgvok6BNwHXMpb9idM,https://www.youtube.com/playlist?list=PLmBA9ODM1xHN3xHvgvok6BNwHXMpb9idM,https://i.ytimg.com/vi/LLXP778Gt0s/maxresdefault.jpg,,
SHORTsutra Bananas Matter,collection,,,137,Under 3 minutes only.,PLmBA9ODM1xHMIj6H4E2S7bMf4cnyqgrsu,https://www.youtube.com/playlist?list=PLmBA9ODM1xHMIj6H4E2S7bMf4cnyqgrsu,https://i.ytimg.com/vi/JcoQ5JSS1M0/maxresdefault.jpg,,
REALsutras,collection,,,7,Who knows lol,PLmBA9ODM1xHM-DTus6BXI7abQd0RGy0m_,https://www.youtube.com/playlist?list=PLmBA9ODM1xHM-DTus6BXI7abQd0RGy0m_,https://i.ytimg.com/vi/bJOfsdE3ZdE/sddefault.jpg,,
“UNAVAILABLE” Content said YouTube Music… Who knew? Not me!,collection,checked,,32,Videos flagged or restricted by YouTube Music aka the shadow archive... Content that exists but that the algorithm would rather you not find.,PLmBA9ODM1xHPMp_krO2dQHNV8fA6_b1ki,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPMp_krO2dQHNV8fA6_b1ki,https://i.ytimg.com/vi/ZWMGC4_ujGo/maxresdefault.jpg,,
PEACE CIRCUS,collection,,,134,"Songs that keep insisting on peace, even when it feels naive. Lullabies for a world at war with itself.",PLmBA9ODM1xHNbFb3DHHf3I7czTN2q3mET,https://www.youtube.com/playlist?list=PLmBA9ODM1xHNbFb3DHHf3I7czTN2q3mET,https://i.ytimg.com/vi/5gVicAAKdrg/maxresdefault.jpg,,
LULLABIESsutra,collection,,,26,,PLmBA9ODM1xHPBqiTUHJuDtTeZfafWCMUG,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPBqiTUHJuDtTeZfafWCMUG,https://i.ytimg.com/vi/QMaxq0XhyRk/maxresdefault.jpg,,
BLABLAsutra,collection,,,46,,PLmBA9ODM1xHO9pKEdjD5rkrze2l2596D8,https://www.youtube.com/playlist?list=PLmBA9ODM1xHO9pKEdjD5rkrze2l2596D8,https://i.ytimg.com/vi/pSBv8kq6NnA/maxresdefault.jpg,,
