ep_title,ep_url,ep_volume,ep_rating,sutra,genres,genres_full,ep_total_tracks,track_titles,track_ids,total_plays,total_likes,duration_total,artwork_url,artwork_lg_url,lyrics_title,lyrics_id,ep_in_app,ep_featured,ep_description,ep_songbook_title,created_at,playlist_names_clean
WIN-WIN DUB EPx3 ⚭ French-English GROWsutra Fusion Soul,https://soundcloud.com/bananasutra/sets/win-win-dub-epx3-french-english-growsutra-fusion-soul,1,,GROWsutra,DUB,"DUB,HIP HOP,RAGGA,SOUL",3,"[01] Win Win Dub ⚭ French GROWsutra Soulful Hip Hop Ragga DUB, [02] Win Win Dub ⚭ French GROWsutra Soulful Hip Hop Ragga DUB, [03] Win Win Dub ⚭ French GROWsutra Soulful Hip Hop Ragga DUB",,779,9,0:08:12,https://i1.sndcdn.com/artworks-oBETDaFyMMJRa4Qg-sDo0ng-t500x500.png,https://i1.sndcdn.com/artworks-oBETDaFyMMJRa4Qg-sDo0ng-t1080x1080.png,WIN-WIN (Franglish Dub),L-307,checked,,"A quick 8-minute burst of stubborn hope, across 3 tracks. Kindness ain't weakness, it's holy steel. Win-win, c'est ma religion — en français-anglais fusion soul. The sound: dub. En français, évidemment. Kindness as rebellion.","Dare: KIND(ness),World: FRENCHsutra",2025-10-07 09:27,"DUBsutra, DUBsutra (Best Of), FRENCHsutra oui oui · sacrebleu, GROWsutra where we be brave, OUI OUI : Pardon (my French), SHOWsutra: (shades of) FOOLS"
Ego Ain't Your Amigo ⭐︎ EPx14 VOL. 01 ⭐︎ True Tales of BLUESsutra,https://soundcloud.com/bananasutra/sets/ego-aint-your-amigo-epx14-vol-01-true-tales-of-bluessutra,1,,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ","BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ",14,"[01] Ego Ain't Your Amigo (Fasho at Marlago) - oh hi salty honey bluesy JAZZ tempo, [02] Ego Ain't Your Amigo - Destiny Oh Hi Oh Hey Banjo Blues, [03] Ego Ain't Your Amigo - Destiny Folk Banjo Blues, [04] Ego Ain't Your Amigo - Piano Jazz Gal BURLESQUE, [05] Ego Ain't Your Amigo - pbgal Bassy Jazz BURLESQUE, [06] Ego Ain't Your Amigo (at Marlago) - Kindness is the depth BLUES, [07] Ego  Ain't Your Amigo - Kindness is the plucking BANJO, [08] Ego Ain't Your Amigo - Kindness is the depth banjo 1, [09] Ego Ain't Your Amigo - Miss Cheeky dubby String me Piano JAZZ, [10] Ego Ain't Your Amigo - Queen Banjo FOLK, [11] Ego Ain't Your Amigo - Fast DUB Muse Flow, [12] Ego Ain't Your Amigo - Drum me Jazzy Blues(grassy), [13] Ego Ain't Your Amigo (at Marlago) - Hide your Pets Yo BANJO, [14] Ego Ain't Your Amigo - Hide your Pets banjo",,2708,22,0:44:22,https://i1.sndcdn.com/artworks-6Al7JWcSGShXvOzO-NMakyQ-t500x500.jpg,https://i1.sndcdn.com/artworks-6Al7JWcSGShXvOzO-NMakyQ-t1080x1080.jpg,Ego Ain't Your Amigo,L-68,checked,,"Nearly an hour of ego in the mirror, across 14 tracks. Because ego just can't get over himself. So. Just quit it already. The sound: banjo, blues, and burlesque. Ego, meet your reflection.",Speak: EGO (gone loco),2025-04-16 03:50,"BANJOsutra, BLUESsutra, BURLESQUEsutra, DUBsutra, FOLKsutra, FOTUS CIRCUS Playlist An American Freaks Show, GROWsutra where we be brave, HIDDEN PEELS, JAZZsutra, KNOWsutra where questions matter, QUACKsutra : DUCK (shady), QUACKsutra where we sing FU"
Tune in the Tender ☲ #GROWsutra EPx9,https://soundcloud.com/bananasutra/sets/tune-in-the-tender-growsutra-epx9,1,,GROWsutra,"DUB,INDIE,LOFI","DUB,INDIE,LOFI",9,"[01] Tune in the Tender • LOFI BLUESsutra, [02] Tune in the Tender • LOFI JAZZsutra, [03] Tune in the Tender • Jazzy DUBsutra, [04] Tune in the Tender • Indie DUB, [05] Tune in the Tender • Jazzy DUBsutra, [06] Tune in the Tender • Jazzy DUBsutra, [07] Tune in the Tender • Cello INDIEsutra, [08] Tune in the Tender • Cello Drum Howl MANTRAsutra, [09] Tune in the Tender • Cello Indie Howl MANTRAsutra",,2875,31,0:36:05,https://i1.sndcdn.com/artworks-ayo6PDrn2o8EClWe-wyHddg-t500x500.png,https://i1.sndcdn.com/artworks-ayo6PDrn2o8EClWe-wyHddg-t1080x1080.png,Tune In The Tender,L-273,checked,,"A solid half-hour of beauty that bleeds, across 9 tracks. I still care. I still cry. That's why I'm still here. Inspired by Herman Hesse. Kindness as rebellion.",Dare: KIND(ness),2025-06-21 09:02,"BLUESsutra, BLUESsutra (Best Of), DUBsutra, DUBsutra (Best Of), GLOWsutra : RAINBOWS (in my clouds), GLOWsutra where gratitude feeds, HIDDEN PEELS, INDIEsutra, INDIEsutra (Best Of), JAZZsutra, LOFIsutra (Best Of), MANTRAsutra"
SynthemaSutra ♆ SHOWsutra Banana EPx8,https://soundcloud.com/bananasutra/sets/synthemasutra-showsutra-banana-epx8,1,,SHOWsutra,"BURLESQUE,DUB,INDIE,LOFI,ROCK","BURLESQUE,DUB,FLAMENCO,INDIE,LOFI,PSYCHEDELIC,PUNK,ROCK,SOUL",8,"[01] Synthema Sutras - SHOWsutra Banana Tzigane Cello Duende Flamenco Soul Fusion INDIE, [02] Synthema Sutras - SHOWsutra Banana Tzigane Conscious Soul Fusion Indie LOFI, [03] Synthema Sutras - SHOWsutra Banana Psy Punk Rock Burlesque LOFI, [04] Synthema Sutras - SHOWsutra Banana Jazzy Bass Indie Cello Fusion DUB, [05] Synthema Sutras - SHOWsutra Banana Oh Boy Circus Accordion Waltz BURLESQUE, [06] Synthema Sutras - SHOWsutra Banana Oh Boy Circus Accordion Waltz BURLESQUE, [07] Synthema Sutras - SHOWsutra Banana Psychedelic Punk Rock BURLESQUE, [08] Synthema Sutras - SHOWsutra Banana Psychedelic Burlesque Indie Punk ROCK",,2739,27,0:34:03,https://i1.sndcdn.com/artworks-yoEMRKS82rZVyqki-15yXGg-t500x500.png,https://i1.sndcdn.com/artworks-yoEMRKS82rZVyqki-15yXGg-t1080x1080.png,SynthemaSutra,L-237,checked,,"8 tracks of questions that won't quit. All seven sutras, as if they were good old greek synthemas. Timeless philosophy in motion. Served in burlesque, dub, and indie. Welcome to the Fanana club.",Play: FANANA (party),2025-11-25 08:59,"BURLESQUEsutra, DUBsutra, DUBsutra (Best Of), HIDDEN PEELS, INDIEsutra, LOFIsutra, LOFIsutra (Best Of), ROCKsutra, ROCKsutra (Best Of), SHOWsutra : B.J. (is for Banana Jesters), SHOWsutra : FANANA Club, SHOWsutra where bananas play"
Rainbows in the Clouds • GLOWsutra Dub LoFi Blues,https://soundcloud.com/bananasutra/sets/rainbows-in-the-clouds-glowsutra-dub-lofi-blues,1,,GLOWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI","BANJO,BLUES,COUNTRY,DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI",14,"[01] Rainbows in the Clouds • GLOWsutra Folk Poetry Dubs the DUB, [02] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI, [03] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI, [04] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI, [05] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI, [06] Rainbows in the Clouds • GLOWsutra Gipsy Tripsy Conscious Hop LOFI, [07] Rainbows in the Clouds • GLOWsutra Americana Booya Country Banjo FOLK, [08] Rainbows in the Clouds • GLOWsutra Queen of Authentic Dubby Folk Classic BLUES, [09] Rainbows in the Clouds • GLOWsutra Maya Mama Classic BLUES, [10] Rainbows in the Clouds • GLOWsutra Maya Mama Classic BLUES, [11] Rainbows in the Clouds • GLOWsutra Maya Mama Classic BLUES, [12] Rainbows in the Clouds • GLOWsutra Maya Mama Classic BLUES, [13] Rainbows in the Clouds • GLOWsutra Magic Mama-b-c Cello Lullaby INDIE, [14] Rainbows in the Clouds • GLOWsutra Magic Mama-b-c Cello Lullaby INDIE",,16679,188,0:33:40,https://i1.sndcdn.com/artworks-OuzjTqyXc8wz8Uv9-0cXu0Q-t500x500.png,https://i1.sndcdn.com/artworks-OuzjTqyXc8wz8Uv9-0cXu0Q-t1080x1080.png,Rainbows in the Clouds,L-202,checked,checked,"Fourteen tracks of gratitude with teeth. Maya Angelou said be a rainbow in someone's cloud; Banana spent an EP figuring out what that means in practice, and dedicated this version to her friend Sri, who left after a brave five-year battle and who would have laughed at every verse. Beyond labels, lines, tiers, bias, noise, and fears: a song for everyone daring not to fit the square.",Bless: RAINBOWS (in my clouds),2026-01-24 05:17,"BLUESsutra, BLUESsutra (Best Of), DUBsutra, DUBsutra (Best Of), FOLKsutra, GLOWsutra : RAINBOWS (in my clouds), GLOWsutra where gratitude feeds, INDIEsutra, LOFIsutra, LOFIsutra (Best Of)"
Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,https://soundcloud.com/bananasutra/sets/make-amurica-gulag-again-blowsutra-dub-epx25,1,,BLOWsutra,"DUB,FOLK,INDIE,LOFI","DUB,FOLK,GIPSY,INDIE,LOFI,RAGGA",25,"A [01] Make America Gulag Again - Gipsy Arabesk  LOFI, A [02] Make America Gulag Again • F-bomb Ragga DUB, A [03] Make America Gulag Again • F-bomb Ragga DUB, A [04] Make America Gulag Again • F-bomb Ragga DUB, A [05] Make America Gulag Again • F-bomb Ragga DUB, A [06] Make America Gulag Again • Bruh Ragga DUB, A [07] Make America Gulag Again • Bruh Ragga DUB, A [08] Make America Gulag Again • Muse DUB, A [09] Make America Gulag Again • Muse DUB, A [10] Make America Gulag Again • Dem Sed Ragga DUB, A [11] Make America Gulag Again • Dem Sed Ragga DUB, A [12] Make America Gulag Again • Ragga Lala DUB, A [13] Make America Gulag Again • Ragga Hope DUB, A [14] Make America Gulag Again • Di Riddim Ragga DUB, A [15] Make America Gulag Again • Di Riddim Ragga DUB, B [01] Make America B Gulag Again - Gipsy Arabesk LOFI, B [02] Make America Gulag Again • Cello Drum LOFI, B [03] Make America Gulag Again - Indie FOLK LOFI, B [04] Make America Gulag Again • Tzigane Fusion DUB, B [05] B Make America Gulag Again • Tzigane Fusion DUB, B [06]  Make America Gulag Again • Tzigane Fusion DUB, B [07] Make America Gulag Again • Tzigane Fusion DUB, B [08] Make America Gulag Again • Tzigane Fusion DUB, B [09] Make America Gulag Again • Tzigane Fusion DUB, B [10] Make America Gulag Again • PsyCello Arabesk DUB",,8413,87,1:19:51,https://i1.sndcdn.com/artworks-EtyWMtEaw4pyLtcc-MBCl2Q-t500x500.png,https://i1.sndcdn.com/artworks-EtyWMtEaw4pyLtcc-MBCl2Q-t1080x1080.png,Make Amurica Gulag Again (MAGA),L-151,checked,,"25 dub, folk, and indie tracks for the ones who still give a damn. Not an opinion. A fact. Forty-five billion for cages, not doctors. The land of the free has the most in a pen. This is not a drill. Resonated: 8k plays and 87 likes so far. Make America anything-but-this again.",Quack: MAxxxA Saga,2025-06-27 04:05,"BLOWsutra, BLOWsutra : MAxA Series, DUBsutra, DUBsutra (Best Of), FOTUS CIRCUS Playlist An American Freaks Show, LOFIsutra, MANTRAsutra (Best Of), QUACKsutra where we sing FU"
Glitter on a Turd ❯ GROWsutra Banana Cabaret EPx5,https://soundcloud.com/bananasutra/sets/glitter-on-a-turd-epx5,1,,GROWsutra,"BURLESQUE,INDIE","BURLESQUE,CABARET,INDIE",5,"[01] Glitter and Guts - Circus BURLESQUEsutra, [02] Glitter and Guts - (oh boy) Circus BURLESQUE, [03] Glitter and Guts - Arabesk Indie JAZZsutra, [04] Glitter and Guts - oh lordy DUBsutra, [05] Glitter and Guts - Bass Revolution LOFIsutra",,2515,27,0:14:49,https://i1.sndcdn.com/artworks-XYwpBnKZkAc8nA2R-sfypIw-t500x500.png,https://i1.sndcdn.com/artworks-XYwpBnKZkAc8nA2R-sfypIw-t1080x1080.png,Glitter On A Turd,L-89,checked,,5 tracks of quacking fury. Kindness without truth is just glitter on a turd. K thanks bye. Burlesque and indie grooves from end to end. Kindness as rebellion.,Dare: KIND(ness),2025-05-23 11:53,"BURLESQUEsutra, BURLESQUEsutra (Best Of), DUBsutra (Best Of), GROWsutra : KIND(ness), GROWsutra where we be brave, INDIEsutra (Best Of), JAZZsutra, LOFIsutra"
Do Panic Now ✝ GROWsutra EPx13,https://soundcloud.com/bananasutra/sets/do-panic-now-growsutra-epx13,1,,GROWsutra,"DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA","DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,MANTRA,RAGGA",13,"[01] DO PANIC NOW - Murica Galaxy Rule Number 1 - Sweet FOLK, [02] DO PANIC NOW - Murica Galaxy Rule Number 1 - Cello Folk INDIE, [03] DO PANIC NOW - Murica Galaxy Rule Number 1 - Bass Jazz INDIE, [04] DO PANIC NOW - Murica Galaxy Rule Number 1 - Bass JAZZ, [05] DO PANIC NOW - Murica Galaxy Rule Number 1 - Cello JAZZ, [06] DO PANIC NOW - Murica Galaxy Rule Number 1 - Gipsy LOFI, [07] DO PANIC NOW - 42 Flavors of Fools - Murica Galaxy Rule Number 1 - Indie LOFI, [08] DO PANIC NOW - DO PANIC NOW - 42 Flavors of Fools - Murica Galaxy Rule Number 1 - psyLOFI, [09] DO PANIC NOW - Murica Galaxy Rule Number 1 - Jazz Hop LOFI, [10] DO PANIC NOW - Murica Galaxy Rule Number 1 - DUB, [11] DO PANIC NOW - Murica Galaxy Rule Number 1 - DUB, [12] DO PANIC NOW - Murica Galaxy Rule Number 1 - Ragga DUB, [13] DO PANIC NOW - Murica Galaxy Rule Number 1 - psyLOFI MANTRA",,2560,18,0:35:43,https://i1.sndcdn.com/artworks-BsO5CMcHbZ0M93kT-isQTpA-t500x500.png,https://i1.sndcdn.com/artworks-BsO5CMcHbZ0M93kT-isQTpA-t1080x1080.png,Do Panic Now,L-61,checked,,"A 13-track shadow-walk that wears the fool's crown with pride. ""Don't Panic"" is no longer adequate advice. Space satire gospel for the glitter-turd king era, filtered through Hitchhiker's Guide and a towel that won't save you. Served in dub, folk, and indie. Revolution as a daily practice.",Speak: REVOLT (now),2025-06-29 05:49,"BLOWsutra : REVOLT (now), DUBsutra, FOLKsutra, FOLKsutra (Best Of), HIDDEN PEELS, INDIEsutra, JAZZsutra, LOFIsutra, MANTRAsutra"
Truth Don't Care ✗ EPx2 ✗ KNOWsutra Psychedelic Muse Cabaret,https://soundcloud.com/bananasutra/sets/truth-dont-care-epx2-knowsutra-psychedelic-muse-cabaret,1,,KNOWsutra,"BURLESQUE,JAZZ","BURLESQUE,CABARET,JAZZ,PSYCHEDELIC",2,"[01] Truth Don't Care ✗ KNOWsutra Bass JAZZ, [02] Truth Don't Care ✗ KNOWsutra Accordion BURLESQUE",,378,3,0:06:52,https://i1.sndcdn.com/artworks-2pO2JGvoTeCfSURr-2A3VeA-t500x500.png,https://i1.sndcdn.com/artworks-2pO2JGvoTeCfSURr-2A3VeA-t1080x1080.png,Truth Don't Care,L-271,checked,,"2 burlesque and jazz tracks asking questions that sting. Truth don't care what you believe. Doesn't bow to gold or kings. Doesn't owe history a damn thing. Channeling Eckhart Tolle, obviously. The naked truth, served warm.",Ask: (Naked) TRUTH,2025-08-24 02:48,"BURLESQUEsutra, JAZZsutra, KNOWsutra : (naked) TRUTH, KNOWsutra where questions matter"
Joseph Campbell's Truth Metaphors ☷ KNOWsutra EPx12,https://soundcloud.com/bananasutra/sets/joseph-campbells-truth-metaphors-knowsutra-epx12,1,,KNOWsutra,"BLUES,BURLESQUE,DUB,INDIE,LOFI,MANTRA","BLUES,BURLESQUE,DUB,INDIE,LOFI,MANTRA",12,"[01] Joseph Campbell - Hold the Sacred - KNOWsutra Anonymous MANTRA LOFI, [02] Joseph Campbell - Hold the Sacred - KNOWsutra Chillhop Piano Psy-LOFI, [03] Joseph Campbell's Truth Metaphors - The Song of the Universe - KNOWsutra Oh Lordy Dreamy Dubby INDIE, [04] Joseph Campbell's Truth Metaphors - The Song of the Universe - KNOWsutra Oh Lordy Dreamy Dubby INDIE, [05] Joseph Campbell's Truth Metaphors - The Song of the Universe - KNOWsutra Kindness is in the Depth BLUES, [06] Joseph Campbell's Truth Metaphors Edge - KNOWsutra Kindness is in the Depth in BLUES, [07] Joseph Campbell's Truth Metaphors - The Song of the Universe - KNOWsutra Kindness is in the Depth of BLUES, [08] Joseph Campbell's Truth Metaphors - Sacred Shadows - KNOWsutra Oh Lordy DUB, [09] Joseph Campbell's Truth Metaphors - Sacred Shadows - KNOWsutra Oh Lordy DUB, [10] Joseph Campbell - Hold the Sacred - KNOWsutra wdwhf Burlesque DUB, [11] Joseph Campbell's Truth Metaphors' Edge - KNOWsutra Accordion Chanson BURLESQUE, [12] Joseph Campbell - Hold the Sacred - KNOWsutra Oh Boy Accordion BURLESQUE",,2263,22,0:41:38,https://i1.sndcdn.com/artworks-jy4Ny3sg2PSbdteq-7zc7yg-t500x500.jpg,https://i1.sndcdn.com/artworks-jy4Ny3sg2PSbdteq-7zc7yg-t1080x1080.jpg,Metaphors' Edge (Joseph Campbell's song),L-160,checked,,"12 blues, burlesque, and dub tracks dripping with uncomfortable truths. When does a metaphor become a cage? (Joseph Campbell has thoughts.) Joseph Campbell walked in and stayed. The naked truth, served warm.",Ask: (Naked) TRUTH,2025-08-24 06:22,"BLUESsutra, BURLESQUEsutra, DUBsutra, INDIEsutra, KNOWsutra : (naked) TRUTH, KNOWsutra where questions matter, LOFIsutra, MANTRAsutra, MANTRAsutra (Best Of)"
