redirect_from,redirect_to,redirect_note,redirect_status,redirect_live
"/songs/old-slug (old path, no trailing slash)",/songs/new-slug/ (new canonical path (trailing slash on detail/index routes),"""Optional note for future-you (e.g. L-383 rename)"" no extra steps; generate-route-redirects.mjs picks it up automatically update: apps/banana-catalog-prototype/catalog-redirects.json",draft,
/songs/the-seven-sutras-of-banana,/songs/seven-sutras-gone-banana/, L-383 rename,final,checked
/songs/serial-blowers-vol2,/songs/serial-blowers,L-425 to L-216 (consolidate vols),final,
/songs/broken-whole-encore,/songs/broken-whole,L-423 to L-346 (consolidate vols),final,
/songs/like-a-criminal-strong-man/,/songs/like-a-criminal-alien,song rename,final,
/songs/stfu,/songs/shush,song rename,final,
/song/can-you-play-win-win-or-no,/songs/can-you-play-win-win-games-or-no,song rename,final,
/songs/how-do-we-find-meaning,/songs/broken-whole,redirect L-107 bc it's a dupe of broken whole,final,
/songs/i-ain-t-no-christian-like-bertrand,/songs/i-ain-t-no-christian,song rename,final,
/songs/males-fantasies-vol2,/songs/males-fantasies,L-155 to L-154 (consolidate vols) [vol2 EP updated to 154],final,
