songbook,url_slug_songbook,url_songbook_locked,status,songbook_type,songbook_in_app,songbook_featured,landr_url,sutras,secondary_sutra,topics_primary,description,songbook_rationale,songbook_id,sutra_id_rollup,songbook_art_url,sc_playlist_url,SONGS (Lyrics)
Ask: BERTRAND (knows),ask-bertrand-knows,checked,OPEN,sutra,checked,,https://app.landr.com/library/folder/1a47b22e-ab07-44cc-bbcd-5601124a2442,KNOWsutra,SHOWsutra,WISDOM,"Bertrand Russell walks into a bar, orders a paradox, and starts a philosophical fight club. Songs for the ethically curious.","Bertrand Russell walks into a bar, orders a paradox, and starts a fight club for your brain. Play this when you want the method, not just the mood: this is where KNOWsutra teaches you how to ask well.",G-01-BERT,01-KNOW,https://i1.sndcdn.com/artworks-oJ9Fh72QQzfgiRgF-mSFydg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-bertrand-mon-cheri,"I Ain't No Christian,It's An Ethical Paradox,Question Di Kingdom,The Conquest of Happiness,The Unhappiness Tango,""Two Things, Darling"",Criminals (Bertrand Edition),Truth I Never Knew (Crushing on Bertrand),The (Womp Womp) Conquestor"
Ask: PEACE (not war),ask-peace-not-war,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/00f366cd-196d-4488-9946-84f60301741b,KNOWsutra,BLOWsutra,PEACE,"Songs in the name of history, for the lovers, and everyone who refuses to unsee patterns of deceit and abuse. Peace is not a default. It's a practice.","Truth applied to history. Play this when the news feels like deja vu and you need the pattern named out loud: peace isn't a default, it's a practice.",G-01-PEAC,01-KNOW,https://i1.sndcdn.com/artworks-4w582El0x5oIrs8P-HzEPOQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-peace-not-war,"A Letter To My Friend (Never Again),A Stroll Down History’s Lane,Because The Light,Blaise's Tale,Cassandra's Lullaby,""En Vrai, On Est Tous Frères"",Foolish Goldfish (Forever),Peace Matters More,Predators (Why War),The Love of A Dove,Trauma Begets Trauma,What It's About,Maslow (Bro),What Justifies The Pain?,What Lessons Do We Forget?,A New Historical Era,WIN-WIN (Basic Science History),A la Guerre Comme A la Guerre (To War or Not to War?),Everybody Knows,How Do You Explain War?,I Wanna Know,Something In My Gut,Wars Don’t Flow,Who Knows What Goes On?"
Ask: (Naked) TRUTH,ask-naked-truth,checked,OPEN,sutra,checked,,https://app.landr.com/library/folder/8708b7a1-8aa6-4818-ae64-95562b304b6c,KNOWsutra,BLOWsutra,TRUTH,"The truth is agnostic. Honesty is brave, selfless. And it doesn't care if you're embarrassed. Songs asking the questions most would rather forget in the name of personal comfort, and power games.","Truth here is agnostic and unflattering, it doesn't negotiate with your comfort. Play this when you're ready to hear the version of the story nobody's dressing up.",G-01-TRUT,01-KNOW,https://i1.sndcdn.com/artworks-f66ByNzPT9uoPEaI-NO5RcQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsura-naked-truth,"AI Fair Use Manifesto,Banana Alleluia,How Do Kids Learn Now?,Metaphors' Edge (Joseph Campbell's song),New Normalcy (Planet Earth to Higher Grounds),Shades of Fools (All I Know),""So, What Is Racism?"",Tell The Truth,Truth Don't Care,What's F-A-S-C-I-S-T?,When Did Seduction Become so Untrue?,""Philosophy, My Dear"",Let Me Tell You (This Is My Truth),AI Manifesto,Hard Core,Some Truths Are Harder to Swallow,T-R-U-T-H,Who Are You? (And Who Am I?),Authentic Innovation Manifesto,Honest Is Best,Ideas We Can Feel"
Ask: But(t) WHY,ask-butt-why,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/7fb23bd4-9349-4e93-9d1e-3a2c29251e3e,KNOWsutra,GROWsutra,WISDOM,"One question. Socrates asked it, they killed him for it. We're still asking anyway.","One question, asked with Socratic persistence. Play this when you're done accepting ""because that's how it is"" as an answer.",G-01-WHY,01-KNOW,https://i1.sndcdn.com/artworks-ZPm3MIrvf9zymSnp-CfTzsw-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-but-t-why,"But(t) How Can You?,Kids Are Asking,""Oh My, Oh Why (Socrates Song)"",Shady Fools,The Sound Of Logic,There's No Prayer Like Desire,HashtagWHY (Sorry Not Sorry),Why Are Kids Allowed To Die? (Why War?)"
Speak: APES (gone wrong),speak-apes-gone-wrong,checked,OPEN,sutra,checked,,https://app.landr.com/library/folder/818c0334-195e-4b77-89ac-3d837bfa64f4,BLOWsutra,SHOWsutra,INJUSTICE,"Grifters, criminals, idiocrats. What happens when the apes take the wheel? Many songs on the subject... none of them wrong.","Grifters, criminals, idiocrats. Play this when you need the diagnosis stated plainly: what happens when the apes take the wheel.",G-02-APES,02-BLOW,https://i1.sndcdn.com/artworks-5bVU3160At7As99u-kxcaPw-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-apes-gone-wrong,"Apes Gone Wrong (Bloom Past Doom),Criminals,Grifters,Ironic Moronic Eugenics,Le Bal Des Salauds,Le Système,""Manu, P’tit Roi"",Men-Oh-Pause,Okie Dokie (No It's Not),Idiocracy Now,Rhinoceross,Serial Blowers,Serial Blowers Vol.2,Trust No One,Criminels,Freedom To Lie Is The New Human Right,People or Property,""It's Enshittification, Darling"",Masss ShoooTING,Le Bal Electoral,Justice Waits,Everybody Blows,Power Is Strange,Planet Idiocracy"
Speak: CENSOR(ed),speak-censored,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/d083c5e1-0879-4a7b-a050-c9ef83cd3fa0,BLOWsutra,KNOWsutra,INJUSTICE,"What they banned, deleted, redacted, and rewrote. Songs about the inconvenient truths that survive anyway.","What they banned, deleted, redacted, and rewrote. Play this when you need proof that inconvenient truths survive anyway.",G-02-CENS,02-BLOW,https://i1.sndcdn.com/artworks-dthPPqfZhiyUkEwu-xSQQFA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-censor-ed,"If We Had But(t) The Truth,L’Embobinage,Mass Media Freakshow,Read Me Harder (BB is for Banned Books),Secret De Polichinelle,The Dystopian Quiz Song,GROCK,Silent Followers,Dear Edward (The Snowden Song),Hiding Secrets in Lies,Supreme Words (Whoop Whoop),Wonderland of Bias,""Meta Rules, Mega Fools"",Skip Me Softly"
Quack: FOTUS Circus,quack-fotus-circus,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/5b2eec40-a948-45ef-81c4-77578edf6d53,QUACKsutra,BLOWsutra,POOLITICS,"Step right up. The FOTUS is in the ring, grotesque clowns are running the republic, and the entrance music is ubuesque. Enjoy.","Step right up, the freakshow king is naked. Play this when the news reads like a bad sketch and you need to say so, out loud, set to music.",G-02-CIRC,02-QUACK,https://i1.sndcdn.com/artworks-JWP4i7BJc28GfvPW-mmFU9Q-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/quacksutra-fotus-circus,"Carnival FOTUS (ctd),FOTUS Circus: Angels Eyes,FOTUS Circus: Ginsberg Hollow (Horror) Show,""FOTUS Circus: Step Right Up, Murica Freaks"",""FOTUS Circus: Step right up, My Dearest Souls"",Radio Static (The Dystopian Cabaret),The Accordion of Ignorance,Freak Show King,""FOTUS Circus: Come On In, You Wretched Fools"",""FOTUS Circus: Step Inside, Don’t Mind The Crime"",""FOTUS Circus: Welcome, You Fools"",Like A Criminal Alien,FOTUS Circus: Round And Round"
Quack: DUCK (shady),quack-duck-shady,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/f4756dd1-ebf9-422c-a75b-8019e962bb54,QUACKsutra,SHOWsutra,POOLITICS,Meet Duck Shady. He's so much dumber and meaner than Slim Shady. And not funny at all.,Meet the duck. Play this when you need to laugh at someone so dumb it almost stops being scary.,G-02-DUC,02-QUACK,https://i1.sndcdn.com/artworks-o0qz0ucmBMzsR5UL-eS6HrA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/quacksutra-duck-shady,"Creepy Con Meme,Daddy's a Creep,Dump Trump,Hide Your Pets,""It's War, My Friend"",Kamala Has A Dream,L'Accordéon De l'Ignorance,Mind the Felon,Pedo Nation,Project 2025 (Honky tonk dreams in the land of the free),RUN (Now If You Can),SS Means Sacred Sp3rm,Stymy Stymy Yuck,The Ducktator (Lament),The Grazed Duck Luck,The Tyranny of Ignorance,Who's Your Vladdy?,Why You Lie (To The People's Face)?,Woke 'em Whacks,Cruelty’s The Point (Admit It),Duck OFF my back,Ignoramus Divine,Profane Obscenities,Syndrome Nom Nom,Ain't No Kid,Presidential Joke of The Year,Bully,Chuck-A-Dick,Felon Nation,Hitlus With Your Best Shot,""Oh, WELP… The Duck."",""Shame on You Boo (Don-Be-Gone Orchestra, Duck of the Jungle)"",Trump Derangement Syndrome ™,Tweeting from the Throne,Chuck Ain't Woke,Jingoism 101,Shining Twins,The President’s Above The Law,The Weave,Twatocracy (Encore et Encore),Predators (FOTUS Edition),Laugh At The Duck"
Speak: EGO (gone loco),speak-ego-gone-loco,checked,OPEN,sutra,checked,,https://app.landr.com/library/folder/9b69a27e-7c74-4c63-bb71-f0deeb968db3,BLOWsutra,KNOWsutra,EGO,"Narcissistic Personality Disorder in music. Songs about the people who confuse themselves with the whole universe, and the rest of us paying the tab.","Narcissistic Personality Disorder, in song form. Play this when you want the root cause, not just the symptom.",G-02-EGO,02-BLOW,https://i1.sndcdn.com/artworks-2fgVK1GEubaAV6QP-rbKhfg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-ego-gone-loco,"All the -Isms,Arrogant Hearts (Second Hand Smoke),Ego Ain't Your Amigo,EGO's Masquerade,""Hey, Creeps"",""Hey, You (Creepers)"",Jolly Poo,Male Fantasies,Males Fantasies (vol2),Relative Steve,Second Hand Smoke (Arrogant Hearts),A Cabaret Where No One Knows,A Liar’s Prize,Oh The Masquerade,D.I.M.M.E.R.s,The Narcissist's Cabaret,ABC of NPD,DARVO-A-GOGO,Liars,Nietzsche's Gift (Muddy Waters),Stardom Is So Dumb,What If MeToo And BLM...,""But Who Says """"Say My Name"""""",Comme Des Pions,Creeps,How Deep Is Your Shade?,Learn The Signs (Ego’s Masquerade),Pablo's Grandeur"
Quack: MAxxxA Saga,quack-maxa-saga,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/7378a42d-7956-4d24-9252-cbc6787ac170,QUACKsutra,KNOWsutra,POOLITICS,"MAGA, MAHA, MAKA, MAMA, MASA, MAWA. Six acronyms. One burning question: make America what, exactly?","Six acronyms, one burning question. Play this when you need the whole absurd alphabet soup mocked in one sitting.",G-02-MAXA,02-QUACK,https://i1.sndcdn.com/artworks-gyBohcCG6YVAXsCO-qAFi8g-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-maxa-series,"MAHA (Make America Humane Again),MAKA (Make America Kind Again),Make Amurica Gulag Again (MAGA),MAMA (Make America Mine Achtung),MASA (Make America Safe Again),MAWA (Make America Woke Again)"
