﻿song_title,lyrics_id,url_slug,url_slug_locked,song_in_app,production_stage,landr_url,cover_art_ready,lyrics_review_needed,meta_review_needed,review_notes,ldr_trc_count,ldr_vol,lyrics_rating,fav,sutra,songbook,song_characters,muse,canonical,lyrics,lyrics_extract,lyrics_summary,sister_songs,From field: sister_songs,lang,light_shadow,topic,intention,cover,public_domain,song_muse_type,song_muse_quote,lyrics_notes,files_media,year_created,date_created,last_modified,last_edited_vintage_time,fallback_cover_art,fallback_sc_url,vid_exist,vid_yturls,vid_ytplaylists,r_rated
-tion Station,L-432,tion-station,checked,checked,SUNO,,,,,,,,2,,SHOWsutra,Play: (Be) The Fool,,,Canonical Lyrics,"[Intro]
All aboard…
Next stop: -tion Station.

[Verse 1]
Seduction… deception…
Now here comes manipulation.
Collaboration’s in recession,
truth takes a hit, indoctrination.

[Break]
Corporation runs the nation,
feeding us fabrication.
Call it charm, commodification,
but it’s just… subjugation.

[Chorus]
At the -tion Station,
where the lies take rotation,
we’re dancing in frustration,
but we still ask the questions.

[Verse 2]
Appropriation for distraction,
miscalculation gains attraction.
Justification for domination,
spin it slick, vilification.

[Final Chorus]
At the -tion Station,
where the lies take rotation,
we’re dancing in frustration,
but we still ask the questions.","Collaboration’s in recession,
truth takes a hit, indoctrination.","We’re dancing in frustration,
but we still ask the questions...","Bee The Fool (Perfection Is A Lie),Fool On A Mission (No Name Game),Shady Fools,Question The Nation,Question Di Kingdom",,EN,SHADOW,POOLITICS,beFOOL,,,Fact,,,,2025,2025-08-25,2026-07-08 08:57,,,,,,,
7 Dirty Words,L-1,7-dirty-words,checked,checked,PUBLISHED,,,,,,,,2,,SHOWsutra,Play: FANANA (party),,George Carlin,Canonical Lyrics,"Banjo strumming, a quirky tune,
George Carlin’s words, under the moon.

In ’72, Carlin took the stage,
Seven dirty words, they caused a rage.
“Shit, piss, fuck, cunt,” he said with flair,
“Cocksucker, motherfucker, tits,” laid bare.

[Chorus]
Supreme Court case in ’64,
Justice Stewart knew the score,
“I know it when I see it,” he declared,
Obscene, indecent, profane, we all stared.

Obscenity, it has three tests to meet,
Prurient interest, patently offensive, complete.
No literary, artistic, political gain,
These words, they drove the Feds insane.

[Chorus]
Supreme Court case in ’64,
Justice Stewart knew the score,
“I know it when I see it,” he declared,
Obscene, indecent, profane, we all stared.

Banjo solo, psychedelic feel,
Carlin’s spirit, keeping it real.

Indecent content, sexual, excretory,
Not quite obscene, but still a story.
Profane words, grossly offensive, they say,
A public nuisance, to the Feds, make way.

[Chorus]
Supreme Court case in ’64,
Justice Stewart knew the score,
“I know it when I see it,” he declared,
Obscene, indecent, profane, we all stared.

“Fart, turd, twat,” added to the list,
Carlin’s humor, hard to resist.
If you find it objectionable, tell the Feds,
Or add your own, let it spread.","“I know it when I see it,” he declared, / Obscene, indecent, profane, we all stared.",The seven words they couldn't say. Guess what? We're singing them.,"Supreme Words (Whoop Whoop),Linguistic Weaponry,F-BOMB,Bo Burnham Covers,I Did The Math (Everything is Stupid),Creepy Pasta (What The Hella)","Bo Burnham Covers,F-BOMB,Gladys in Sonderland,I Did The Math (Everything is Stupid),Linguistic Weaponry,SynthemaSutra,Zappa's Religion,Penguins In Shoes,Singing Heavenly In Five Steps,Supreme Words (Whoop Whoop)",EN,LIGHT,TRUTH,beSILLY,,,Quote,,"This unfinished song is about George Carlin’s “7 Dirty Words” comedy bit, back in the early 70s, when TV was a new thing, and “Freedom of Speech” already, well huh, like a joke… as many artists and news producer and broadcaster learned the hard way then, as a result of sudden, arbitrary, and brutal governmental censorship.

My (and probably George’s too) favorite quote in this story came from (Supreme) Justice Stewart who, when asked to specify what exactly characterized a “profane, offensive word”, boldly and coldly declared: “I know it when I see it” … aka #supremeshit (*)! That’s what George went on to call out in his bold and hot way: the shocking hypocrisy of Supreme Court Justices, refusing to acknowledge the (lack of) of clarity and transparency of the new laws banning “profanities” from broadcast radio and television.

What’s striking to me is that, despite major technological progress, life (the universe, and everything:) is mostly the same… because we live in a world where most men fear to live in truth, and sadly, humanity remains at the mercy of rich, entitled, mostly white men characterized by a dire, unholy need for control, and heavy duty levels of contempt for transparency and accountability, in the name of democracy and justice aka #winwin games… Men as unable to acknowledge their own shortcomings, as unashamed to defend the hypocritical logic of unclear, unfair laws—men who tend to always “muddy the waters to make it seem deep”, as Nietzsche wisely observed.

*yet another proof some “things don’t change”, and “it gets better” is a nice thing to say, but also often just cheap, shallow crap… Please pass the ironic grains of salt… and blessed be George Carlin!",,2024,2024-12-01,2026-04-10 17:56,,,,,,,checked
A Cabaret Where No One Knows,L-319,a-cabaret-where-no-one-knows,checked,checked,iCLOUD READY,https://app.landr.com/library/folder/ac11d20d-5520-41a5-b324-10ecb3e2ec21,,,,,9,1,3,,BLOWsutra,Speak: EGO (gone loco),,,Canonical Lyrics,"[verse 1]  
Painted smiles on every face,  
Behind the curtains, such disgrace.  
Lies dressed up in sparkling clothes,  
A cabaret where no one knows.

[chorus]  
Come to the show, where truth is a ghost,  
A performance for those who rule the most.  
In the cabaret, we all pretend,  
But this twisted act will never end.

[verse 2]  
Drum beats echo in the dark,  
A psychedelic spark leaves its mark.  
Puppeteers dance, pulling tight,  
Fools applaud, blind in the night.

[chorus]  
Come to the show, where truth is a ghost,  
A performance for those who rule the most.  
In the cabaret, we all pretend,  
But this twisted act will never end.

[outro]  
But this twisted act will never end...","Come to the show, where truth is a ghost, / A performance for those who rule the most.",Painted smiles. Sparkling lies. Truth is a ghost. The puppeteers never leave the stage and the twisted act will never end.,"The Narcissist's Cabaret,Stardom Is So Dumb,Radio Static (The Dystopian Cabaret),Relative Steve,EGO's Masquerade,All the -Isms","All the -Isms,""Hey, Creeps"",""Hey, You (Creepers)"",Jolly Poo,Radio Static (The Dystopian Cabaret),Relative Steve,The Narcissist's Cabaret,Stardom Is So Dumb,""But Who Says """"Say My Name"""""",Comme Des Pions,Everybody Blows",EN,SHADOW,TRUTH,seeEGO,,,Fact,,(Sister song of muddy water https://soundcloud.com/bananasutra/sets/they-muddy-the-waters-aka-nietzsches-gift-epx5-vol-04),,2025,2025-06-10,,,,,,,,
A Good Witch,L-2,a-good-witch,checked,checked,LANDR READY,https://app.landr.com/library/folder/f5cab2b0-5638-42e8-b389-e561d23c4144,,,,,13,1,4,,SHOWsutra,Play: (Be) The Fool,,,Canonical Lyrics,"[Verse 1]
A good witch knows where magic lies  
Not in the mind but in the heart’s ties  
Art’s a quest, a spell pure and true  
Joy that springs from within, only few

[Chorus]
Not for the likes, not for the fame  
In a world steeped in a superficial game  
Art’s true magic, a soul’s gentle awe  
Untouched by the gaze of others' flawed law

[Verse 2]
In quiet moments, I find my peace  
Popularity’s a dream, a shallow crease  
A dangerous lure, a fleeting light  
I seek raw joy, my own soul's delight

[Bridge]
The journey sacred, the magic flows  
In the quiet spaces, my spirit grows  
Wealth and fame, a poison's call  
I choose the magic, I choose it all

[Chorus]
Not for the likes, not for the fame  
In a world steeped in a superficial game  
Art’s true magic, a soul’s gentle awe  
Untouched by the gaze of others' flawed law",A good witch knows where magic lies / Not in the mind but in the heart’s ties.,True magic isn't made for the algorithm.,"The Fool Who Knows,Shades of Fools (All I Know),Blessed Are The Cracked,Hammy On Clyde,Hope is Do-Do-Dope,La Force Douce","Shades of Fools (All I Know),The Fool Who Knows",EN,LIGHT,WISDOM,beFOOL,,,Chat,"""Fools don't care about why"" (wrong)","Fools matter

A good witch craft exists in the heart 

I want to make 2 short, quirky, psychedelic lo-fi, minimal gipsy songs, using hypnotic, syncopated acoustic contrabass loops, and hypnotic psychedelic beats, including syncopated acoustic noises that tickle the heart and soul, and featuring clear female tenor vocals, about the following:

A good witch craft only exists in the heart 

A good witch understands that magic lives in the heart, not the mind. Art is a universal quest, a spell cast for pure, gentle, true joy—a holy, peaceful feeling that can only emerge from within, untainted by compromised, unhealthy desires for external validation—what many call ‘likes’—from a world steeped in narcissism and superficial, often egotistical measures of worth.

The true value of my art doesn’t lie in how many people see it. Instead, it resides in the quiet, gentle awe I experience while creating. Popularity, to me, is a shallow and misguided dream, a dangerous illusion, a poisonous distraction from the raw, humble joy I seek. It’s about the meaningful moments that bring true peace and happiness to my soul. The magic of art is not in its perception by others, but in its power to transform and heal me, connecting me to something deeper and infinitely more beautiful.

I cherish this journey and choose to honor the quiet, sacred space where this magic happens. I firmly believe that seeing popularity and wealth as ultimate goals invariably compromises the soul’s voice and the true music of magic. And ironically, I simply can’t afford that.",,2024,2024-03-10,2026-04-10 17:56,"December 10, 2024 11:59 AM",,,,,,
A la Guerre Comme A la Guerre (To War or Not to War?),L-340,a-la-guerre-comme-a-la-guerre-to-war-or-not-to-war,checked,checked,LANDR,https://app.landr.com/library/folder/9f0ee531-660b-41ac-a7c9-d9b9f7f25385,,,,,3,1,3,,KNOWsutra,Ask: PEACE (not war),,,Multiple Lyrics,"V1:
[Intro]
To war or not to war…
It’s like a joke, isn’t it?
But jokes cut deep sometimes.

[Verse 1]
Some like to claim there’s a “right way” to war,
A firm, undisputed sway,
But they miss the blood, the endless decay,
The madness that haunts every day.

“A la guerre comme à la guerre,” they’ll chant,
Like it’s dessert after wine, like it’s something grand.
The end justifies the means, they’ll say,
But oh, how simple they paint the gray.

[Chorus]
But war knows no rights,
No privilege, no pride, no light.
Souls torn apart,
Worlds ripped from their start.

And love, love’s still here,
Fighting through the tears, so clear.
Peace whispers softly, near,
Waiting at the future’s door…

[Verse 2]
They speak of fatherlands, sacred and pure,
But don’t they see? All lands are ours.
We share this earth, this fragile bond,
And still, we fight... How far have we gone?

Chosen by gods, or so they claim,
Grinding every day in war’s cruel game.
Alien realms hold hearts to mend,
While ours crumble… Will this ever end?

[Chorus]
But war knows no rights,
No privilege, no pride, no light.
Souls torn apart,
Worlds ripped from their start.

And love, love’s still here,
Fighting through the tears, so clear.
Peace whispers softly, near,
Waiting at the future’s door…

[Bridge]
Oh, don’t forget what’s ours,
So precious, so tender,
Not even a dream,
Just a purr of hope,
Soft, like a light unseen.

[Outro]
To war or not to war…
Is it a joke?
Or just the cruelest truth?
Peace is knocking,
Will we answer?

--
V2:
[Verse 1]
They say, “à la guerre comme à la guerre,”
But what if we learned to truly care?
Not every battle needs a fight,
Some wars are won with love and light.

[Pre-Chorus]
Oh, hearts can bend, but they don’t have to break,
The sharpest strength is the one we make.

[Chorus]
À la guerre comme à la guerre, they cry,
But maybe it’s time to question why.
Do we follow the rules, or rewrite the tale?
The smallest kindness can still prevail.
À la guerre comme à la guerre, they sigh,
But peace is waiting—just give it a try.

Verse 2
The muddy waters, the endless schemes,
They blur the truth, distort the dreams.
But clear the path, and you might see,
A better way to let hearts be free.

Pre-Chorus
Oh, souls can grow where the darkness fades,
The brightest flames are the love we’ve made.

[Chorus]
À la guerre comme à la guerre, they cry,
But maybe it’s time to question why.
Do we follow the rules, or rewrite the tale?
The smallest kindness can still prevail.
À la guerre comme à la guerre, they sigh,
But peace is waiting—just give it a try.

[Bridge]
What if the war’s not with swords or guns,
But the silent fight to love someone?
The strongest weapon is gentle grace,
A warm embrace in a cold, hard place.

[Final Chorus]
À la guerre comme à la guerre, they said,
But what if we chose hope instead?
The muddy waters would run so clear,
And hearts would heal from the weight of fear.
À la guerre comme à la guerre, no more,
Let’s build a world worth fighting for.

[Outro]
So take my hand, we’ll rewrite the air,
And let love soften “à la guerre.”

--
v3:
À la Guerre Comme à la Guerre
(To the tune of “Sympathy for the Devil”)

[Verse 1]
Please allow me to introduce myself, 
I’ve seen the wars and the despair.
A world of violence, rules and games, 
They chant, “À la guerre comme à la guerre.”

I watched as kingdoms burned to ash, 
While hearts grew colder, fears amassed.
But what if love could change the tide? 
Not every battle needs a fight.

[Pre-Chorus]
Oh, hearts can bend, but don’t have to break, 
The sharpest strength is the one we make.

[Chorus]
À la guerre comme à la guerre, they cry, 
But maybe it’s time to question why.
Do we follow the rules, or rewrite the tale? 
The smallest kindness can still prevail.

À la guerre comme à la guerre, they sigh, 
But peace is waiting... just give it a try.

[Verse 2]
I rode through trenches carved in mud, 
Where truth was buried under blood.
The schemes and lies, the twisted dreams, 
They shatter hopes with broken means.

But clear the path and you might find, 
A way to free both heart and mind.

[Pre-Chorus]
Oh, souls can grow where darkness fades, 
The brightest flames are the love we’ve made.

[Chorus]
À la guerre comme à la guerre, they cry, 
But maybe it’s time to question why.
Do we follow the rules, or rewrite the tale? 
The smallest kindness can still prevail.

À la guerre comme à la guerre, they sigh, 
But peace is waiting… just give it a try.

[Bridge]
I tell you now, the fight’s not with guns, 
But in the hearts of everyone.
The strongest weapon? A tender hand, 
To heal this fractured, wounded land.

[Chorus]
À la guerre comme à la guerre, they said, 
But what if we chose hope instead?
The muddy waters would run so clear, 
And hearts would heal from the weight of fear.

À la guerre comme à la guerre, no more, 
Let’s build a world worth fighting for.

[Outro]
So take my hand, we’ll rewrite the air, 
And let love soften “à la guerre.”
I’ve walked the wars, I’ve seen despair, 
But love can end this “à la guerre.","They speak of fatherlands, sacred and pure, / But don’t they see? All lands are ours.",À la guerre comme à la guerre — as if war ever played by rules. Love still whispers anyway.,"A Letter To My Friend (Never Again),How Do You Explain War?,Predators (Why War),What Justifies The Pain?,""En Vrai, On Est Tous Frères"",Peace Matters More","A Letter To My Friend (Never Again),Maslow (Bro),What Lessons Do We Forget?,How Do You Explain War?,La Vie Sera Belle",EN,SHADOW,PEACE,seeWAR,,,Chat,,"ART AND WAR
WAR has its field of blood—heart-breaking War—
Wherein to rule with undisputed sway
Throughout its own mad, self-exhausting day.
There, where it rashly sacrifices more
Than laboring Time may ever quite restore,
Shall it amid red welter and decay
Strive horribly; but let it not essay
To enter where Peace guards the Future's door!

War has nor right, nor privilege, nor part
In lives high-dedicate the world to bind
Through love and hope and the great dream of Art!
All Lands to such are Fatherland; they find
In alien realms love's grateful, welcoming heart—
They, chosen of the Gods to bless mankind! 
https://en.wikisource.org/wiki/Poems_(Coates_1916)/Volume_II/Art_and_War

—
Please edit my lyrics for better rhytmic, 
for a Experimental Lo-fi Hip Hop, female tenor BARITONE vocalist, acoustic, hypnotic upright bass rhythm, Crunchy drum loops, hypnotic acoustic beatboxing, atmospheric vocal chops, hip hop jazz vocals, chill vibe:

—
TO WAR OR NOT TO WAR (IS LIKE A JOKE?…)

Some like to claim there is a right way 
to war, with firm, undisputed sways—
no matter the bloody red decay, t
no matter how maddening a day,

“A la guerre comme a la guerre” they’ll say 
Like  it’s “Bon appétit å tout le monde”
And surely, the end justifies
the means… I guess they simplify…


But I know War has nor right, 
nor privilege, nor part in such plight
Of lives lost, SOULS worldS APART
AMIDST love and hope and the great dream of Art!

BUT I KNOW All Lands to such are Fatherland; they find
In alien realms love's grateful, welcoming heart, A BIND,—
They, chosen of the Gods,  DAILY GRIND, mankind

Let’s not forget what is ours
So Precious, tender darling
Not even a dream, purring
Peace, at the Future’s doors… ",,2025,2025-05-03,,,,,,,,
A Letter To My Friend (Never Again),L-3,a-letter-to-my-friend-never-again,checked,checked,PUBLISHED,,,,,,,,3,,KNOWsutra,Ask: PEACE (not war),,,Canonical Lyrics,"Hey love,

I’ve been thinkin’, the air’s gone strange.
We built a bridge, but fear made the range.
When did caring turn into crime?
Since when did heartbeats choose a side in time?

You think my tears forgot their tribe,
But pain’s one language, that’s the vibe.
If I cry for Gaza, do I leave you dry?
Or can both our ghosts learn to sigh and fly?

I’m not your enemy, babe, I’m the echo that remains.
Every love I add don’t steal your chains.
Peace ain’t a prize that one can win;
It’s a wound that heals when we let it begin.

Oh, Bananasutra sings again…

Your roots run deep in haunted clay,
I feel that tremor every day.
But if walls keep empathy out of sight,
Ain’t we just living in longer nights?

You guard your story like sacred wine,
But I sip my sorrow... it tastes like thine.
Can’t “never again” be a door, not a wall?
Must one rise so another can fall?

I’m not your rival, love, I’m the ache that understands,
Two trembling souls with open hands.
My heart don’t subtract when it starts to expand;
It multiplies truth in foreign lands.

Pain is pain; it don’t wear flags.
It needs no borders, no tags.
Fear’s a thief, babe, it steals our sight,
Makes day look wrong and wrong look right.

Would you rather win, or rather heal?
Would you rather numb, or rather feel?
If trust could hum a new refrain,
Would you hear my note through your pain?

I’m not against you, I’m just against cruel.
Love ain’t a weapon; it’s the rebel’s rule.
Let’s rewrite Never Again for all,
’Cause peace built on pride’s just another wall.

So hey, my friend, come dance instead?
We’ll sing for the living, not just the dead.
Bananasutra’s heart don’t bend,
It blooms, it breaks, it mends. ","I’m not your rival, love, I’m the ache that understands, / Two trembling souls with open hands.",When did caring for one person mean betraying another?,"The Love of A Dove,A la Guerre Comme A la Guerre (To War or Not to War?),Peace Matters More,Cassandra's Lullaby,""So, What Is Racism?"",Predators (Why War)","A Stroll Down History’s Lane,Because The Light,Cassandra's Lullaby,""En Vrai, On Est Tous Frères"",Peace Matters More,""So, What Is Racism?"",The Echo Song (Russian Edition),The Love of A Dove,HashtagWHY (Sorry Not Sorry),Maslow (Bro),The Umm Song,What Justifies The Pain?,What Lessons Do We Forget?,A la Guerre Comme A la Guerre (To War or Not to War?),How Do You Explain War?",EN,LIGHT,PEACE,seeWAR,,,Chat,,"I mourn peace and freedom. I mourn checks and balances, and the democratic consensus. I mourn every innocent victim of war—every child, every dream crushed by every tyrant. How could I not? How can you not?

Being pro-people and pro-peace isn’t being anti-anyone, it’s refusing to let pain justify cruelty. I love my Jewish friends, but I also mourn the moral consensus we once called “Never Again.” Because safety matters—yours, mine, theirs, ours. Everyone’s safety matters… That’s why my heart can’t stop singing and praying for world peace. I’m not anti-anyone. I’m anti-dehumanization. My hope is that the Jewish story can end in healing, not repetition.

I can’t help but hope… because I believe we can protect each other without inflicting new wounds. Empathy isn’t a zero-sum game; it’s what makes us human! It’s what helps us survive and thrive as one earthly, democratic tribe. In fact, empathy is the ultimate weapon against evil! That is exactly why those who cannot feel it try to divide and conquer by calling empathy weak or dangerous.

Simone Weil wrote: “Imaginary evil is romantic; real evil is gloomy, monotonous, barren.” So when I hear friends glorify revenge to justify genocide, I weep… as if trauma could explain violence because it gives despair a proud story; as if moral drama, fueled by hubris, could heal the multigenerational void of helplessness left by past and future trauma. When a pacifist says “no more heroes, no more villains, just humans,” it’s treated as a threat, as if “you’re with us or against us” were unquestionable truth.

But Nietzsche warned that those who fight monsters must be careful not to become them, and Hannah Arendt reminded us that fear of being a victim can make us accept the role of the oppressor. Real humanism doesn’t erase trauma, it transcends it! Pacifism isn’t naïve; it’s a radical commitment to ending the cycle of identification with force.

Winning means grounding ourselves in moral coherence. Life is sacred. It’s not about picking sides between nations (or parties)… it’s about choosing compassion over cruelty. Sigh.

And so well now, of course, I wrote yet another song—another “Letter to My Friend,” about Never Again. 💌",,2025,2025-10-10,2026-04-10 17:56,,,,,,,
A Liar’s Prize,L-4,a-liar-s-prize,checked,checked,iCLOUD READY,https://app.landr.com/library/folder/1119b82f-87ee-46f5-953c-cf74b5001eea,checked,checked,,,15,1,3,,BLOWsutra,Speak: EGO (gone loco),,,Canonical Lyrics,"[Intro]
Oh, they hide behind the mask,
Chasing after hollow tasks,
What they win, I just don’t know,
But where’s their heart? Where’s their soul?

[Verse 1]
They cut corners, trim the truth,
Bend the facts, deny the proof,
But darling, it’s all for show,
The prize they seek? It’s shallow, though.

[Chorus]
A liar’s prize is empty, my dear,
Built on envy, built on fear,
But the real win’s in your eyes,
When you let compassion rise.

[Verse 2]
Oh, they cheat to get ahead,
But they leave the heart for dead,
Running races just to say,
“I took it all, I had my way.”

[Chorus]
A liar’s prize is empty, my dear,
Built on envy, built on fear,
But the real win’s in your eyes,
When you let compassion rise.

[Outro]
So take their trophies, let them gloat,
We’re sailing in a bigger boat.","A liar’s prize is empty, my dear, / Built on envy, built on fear.",What do you win when the prize was never real?,"Liars,Jolly Poo,Arrogant Hearts (Second Hand Smoke),Second Hand Smoke (Arrogant Hearts),All the -Isms,EGO's Masquerade",Liars,EN,SHADOW,EGO,seeEGO,,,Question,,,,2025,2025-07-10,2026-04-10 17:56,"December 9, 2024 1:52 AM",,,,,,
A Man's a Man and A' That,L-5,a-man-s-a-man-and-a-that,checked,checked,PUBLISHED,,,,,,,,3,,BLOWsutra,Speak: REVOLT (now),,Robert Burns,Canonical Lyrics,"Is there a man who walks with pride,
Though poor and worn, and all that?
The coward bows, but we’ll abide,
We dare be free for all that.
For all that and all that,
Our toil and sweat and all that,
The crown is but a stamped disguise,
A man’s a man for all that.

What if our table’s plain and bare,
Our coats are thin, and all that?
Let fools delight in silks so rare,
A man’s a man for all that.
For all that and all that,
Their pomp and gold and all that,
An honest heart and mind so free,
Are worth far more than all that.

You see that man they call a lord,
Who struts and stares and all that?
Though many bow before his word,
He’s but a fool for all that.
For all that and all that,
His stars and stripes and all that,
A man who stands with mind unchained,
He laughs and walks past all that.

So let us hope the day will come,
(And come it will, for all that,)
When sense and worth, not birth and gold,
Shall lead the world, and all that.
For all that and all that,
It’s coming yet, for all that,
That man to man, both far and wide,
Shall brothers be for all that.

","That man to man, both far and wide, / Shall brothers be for all that.",Robert Burns wrote it over 200 years ago. The crown is still a stamped disguise.,"""Thank you, Mister Paine"",""Oh, Freedom"",Weary Blues,""Oy, We Care"",Revolution's Lit,Sidération Blues","""Oh, Freedom"",""Oy, We Care"",""Thank you, Mister Paine"",Weary Blues",EN,LIGHT,INJUSTICE,beFAIR,checked,checked,Song,,"SC EP: A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever

EPx3 - VOL. 02

Robert Burns wrote “A Man’s a Man for A’ That” over 200 years ago, and guess what… not much has changed! In fact, it is statistically fair to say that the socio—economical divide is getting worse everyday, because greedy and entitled a-holes confuse privilege with rights, and don’t even think twice about the meaning or value of equality, human dignity, and justice. Blessed be Burns for daring to say what few would: wealth and status mean nothing—what truly matters is a person’s integrity, wisdom, and kindness. Personality, aka our “true color”, is so underrated…

Why his song matters:
- In an era of rising inequality, where wealth and fame often overshadow true worth, Burns’ words remind us that status does not define a person.
- As leaders and elites gain power through privilege, not merit, his message calls us to value wisdom, honesty, and justice above empty authority.
- In a world that too often divides people by class, race, or borders, A Man’s a Man for A’ That stands as a timeless call for fairness, unity, and human dignity.

Burns saw beyond his time and envisioned a world where honor and intelligence, not gold and crowns, define greatness. That dream isn’t just history—it’s still worth singing for. Maybe now more than ever.",,2025,2025-04-25,2026-04-10 17:56,,,,,,,
A New Historical Era,L-6,a-new-historical-era,checked,checked,SUNO,,,,checked,,,,3,,KNOWsutra,Ask: PEACE (not war),,,Canonical Lyrics,"[Intro]
A new historical era...

[Verse]
We’ve entered a new historical era,
Now entitled means enlightened,
Independent follows compliant,
And I’m just afraid I’m allergic, really allergic.

[Chorus]
The president’s above the law,
Immune from crimes, no matter how flawed,
Assassinate rivals, organize a coup,
No consequences, what can we do?

[Verse 2]
The supreme court just ruled today,
Presidents immune in every way,
For any act while in office,
Even if it leads to a state of lawlessness.

[Chorus]
The president’s above the law,
Immune from crimes, no matter how flawed,
Assassinate rivals, organize a coup,
No consequences, what can we do?

[Bridge]
A king in all but name,
Power and might their claim,
Democracy falls in their reign,
Leaving justice in disdain.

[Chorus]
The president’s above the law,
Immune from crimes, no matter how flawed,
Assassinate rivals, organize a coup,
No consequences, what can we do?

[Outro]
[Instrumental Break]
Above the law, above us all,
Who will rise, who will stand tall?
For justice and freedom, we must call,
Before democracy takes its final fall.","The president’s above the law, / Immune from crimes, no matter how flawed...",When did 'enlightened' start meaning 'entitled'?,"The President’s Above The Law,Felon Nation,A Stroll Down History’s Lane,What It's About,Trauma Begets Trauma,Predators (Why War)","Felon Nation,The President’s Above The Law",EN,SHADOW,TRUTH,seeHIStory,,,Fact,,"History Matters
--
I want to write 2 short, psychedelic gipsy bluesy burlesque Balkan cabaret songs with the following statement:

🙌 In hindsight, I believe we’ll call this historical era “the rise of corporate fascism”… when those with all the power, I.e. money, those with corporate interests as discretionary as discriminatory, beyond nationality, with no morality, when those alleged leaders feed on shallow principles made of heartless bias, double standards, and voices unheard, when those can covertly manipulate mass media, ruthlessly dictate arbitrary justice, burying the super truth in false pretenses, justice be damned. when those people are legally allowed to operate with zero transparency, when so called winners believe the pursuit of happiness justifies a kind of liberty that knows no equality nor fraternity, a liberty that de facto means no accountability… I mean, like it is now… dark heavens spread freely, authoritarian demons sneak in hungry, snarking, rejoicing the certainty of their upcoming reign, and the death of democracy, in all impunity. No doubt, much to pout…  sad song strums along.
We’ve entered a new historical era,
now entitled means enlightened
Independent comes after Compliant
And I’m just afraid I’m allergic really allergic

the supreme court just ruled that the president and former presidents are immune from criminal prosecution for any ""official acts"" taken while in office.
this means that a president can assassinate a political rival and face no consequences. they can organize a coup to stay in power forever and face no consequences. the president is now a king above the law.

Happy Independence Day

Let’s celebrate a country where a 13 year old is forced to give birth but cannot read a book about gay people,
A country where women's and trans people's bodies are more regulated than guns,
A country where children are protected from rainbow flags but not from mass shootings,
A country where we can always afford war but never healthcare, never a livable minimum wage, never student loan forgiveness,
A country where being homeless gets you jailed but committing 34 felonies gets you a presidential nomination.

Let’s celebrate",,2024,2024-06-10,2026-04-10 17:56,"December 9, 2024 1:52 AM",,,,,,
A Stroll Down History’s Lane,L-7,a-stroll-down-history-s-lane,checked,checked,PUBLISHED,https://app.landr.com/library/folder/08a8e7c2-6b9a-48d5-8034-82c71a2194d2,,,checked,,,,4,,KNOWsutra,Ask: PEACE (not war),,,Canonical Lyrics,"[Verse 1]
Let’s take a stroll down history’s lane
Where power thrived but truth was slain
Look at the Inquisition’s fiery grip
Burning lives with a righteous lip

And Stalin’s purge, so cold, so cruel
Millions lost to a paranoid rule
Then there’s Hiroshima, skies set ablaze
They said it would end the war’s cruel days

[Chorus]
What don’t we get about right and wrong?
Could we learn it from a simple song?
What makes us think, what makes us trust
That means don’t matter when ends are just?

Oh, what don’t we see, what don’t we understand?
History’s lesson is close at hand

[Instrumental Interlude]
(Gypsy guitar with a soulful flair)

[Verse 2]
Apartheid’s chains in South Africa’s land
A legacy carved by a ruthless hand
They said it was for order’s sake
But left a trail of hearts that break

And the Great Leap Forward, Mao’s great plan
Left fields of famine across the land
The Salem witch trials, the innocent blamed
Hysteria stoked, and lives were maimed

[Chorus]
What don’t we get about right and wrong?
Could we learn it from a simple song?
What makes us think, what makes us trust
That means don’t matter when ends are just?

Oh, what don’t we see, what don’t we understand?
History’s lesson is close at hand

[Outro]
So here’s the truth, in verses clear
The means define the path, my dear
Let’s learn at last, let’s sing along
Maybe we’ll find the right in a simple song",What don’t we get about right and wrong? / Could we learn it from a simple song?,"History's timeless trick: it rhymes, but(t) nobody listens.","What Lessons Do We Forget?,What It's About,Trauma Begets Trauma,Predators (Why War),What Justifies The Pain?,A Letter To My Friend (Never Again)","Because The Light,Blaise's Tale,What It's About,Maslow (Bro),What Lessons Do We Forget?,A New Historical Era,WIN-WIN (Basic Science History),Everybody Knows,I Wanna Know,Who Knows What Goes On?,La Vie Sera Belle,Power Is Strange",EN,SHADOW,TRUTH,seeHIStory,,,Question,Fascist behaviors,Let's take a stroll down history lane...,,2024,2024-12-09,2026-04-10 17:56,"December 9, 2024 1:52 AM",,,,,,
