lyrics_id,url_slug
L-1,7-dirty-words
L-2,a-good-witch
L-3,a-letter-to-my-friend-never-again
L-4,a-liar-s-prize
L-5,a-man-s-a-man-and-a-that
L-6,a-new-historical-era
L-7,a-stroll-down-history-s-lane
L-8,a-toast-to-the-good-life
L-9,abc-of-kindness
L-10,abc-of-npd
L-11,acoustic-attractions
L-12,ai-fair-use-manifesto
L-13,ai-manifesto
L-14,ain-t-doing-bad-doing-nothing
L-15,ain-t-no-kid
L-16,all-the-isms
L-17,an-american-in-paris-public-domain
L-18,arrogant-hearts-second-hand-smoke
L-19,authentic-innovation-manifesto
L-20,awe-is-like
L-21,awe-is-mighty
L-22,banana-alleluia
L-23,banana-jokes-making-us-laugh
L-24,bare-your-soul-velvet
L-25,be-the-fool-embrace-the-cracks
L-26,be-the-fool-perfection-is-a-lie
L-27,because-the-fight
L-28,because-the-light
L-29,bee-the-fool-not-a-lie
L-30,berries-beaches
L-31,blaise-s-tale
L-32,blessed-are-the-cracked
L-33,blessed-be-the-dogs
L-34,blessed-be-your-voice
L-35,blessed-by-the-wiggle
L-36,bloom-past-doom
L-37,bo-burnham-covers
L-38,but-where-do-pigeons-go-to-die
L-39,but-who-says-say-my-name
L-40,but-t-how-can-you
L-41,carnival-fotus-ctd
L-42,cassandra-s-lullaby
L-43,chuck-ain-t-woke
L-44,clay-maiden
L-45,comme-des-pions
L-46,courage-care-and-coconuts
L-47,creeps
L-48,creepy-con-meme
L-49,creepy-pasta-what-the-hella
L-51,creo-la-poesia
L-52,criminals
L-53,criminels
L-54,curious-like-a-kiss
L-55,d-i-m-m-e-r-s
L-56,daddy-s-a-creep
L-57,darling
L-58,dead-dogs-deets
L-59,dear-edward-the-snowden-song
L-60,delete-my-butt
L-61,do-panic-now
L-62,do-you-ever-wonder
L-63,donkeys-years
L-64,double-standards
L-65,dressed-in-nothing-butt-wonder
L-66,dump-trump
L-67,easy-death-is-nothing-at-all
L-68,ego-ain-t-your-amigo
L-69,ego-s-masquerade
L-70,el-papito-es-no-maga-show
L-71,en-vrai-on-est-tous-freres
L-72,everybody-knows
L-73,everybody-knows-the-foolishness
L-74,f-is-for-fabulous
L-75,f-bomb-dub
L-76,flow-like-water-my-friend
L-77,fluye-como-el-mar
L-78,fool-on-a-mission-no-name-game
L-79,foolish
L-80,foolish-goldfish-forever
L-81,fotus-circus-angels-eyes
L-82,fotus-circus-ginsberg-hollow-horror-show
L-83,freedom-fries
L-84,freee-la-fille
L-85,french-poppies
L-86,genius-ep
L-87,genius-you-see
L-88,gladys-in-sonderland
L-89,glitter-on-a-turd
L-90,grifters
L-91,gunther-bbq
L-92,hammy-on-clyde
L-93,hard-core
L-94,hashtagwhy-sorry-not-sorry
L-95,hello-oh-no
L-96,hereby-i-cry
L-97,hey-creeps
L-98,hey-you-creepers
L-99,hi-my-name-is-not-celine-dion
L-100,hide-your-pets
L-101,hiding-secrets-in-lies
L-102,hold-the-mic-babe
L-103,hole-of-fire
L-104,hope-is-do-do-dope
L-105,how-deep-is-your-shade
L-106,how-do-kids-learn-now
L-107,how-do-we-find-meaning
L-108,how-do-you-explain-war
L-109,i-ain-t-no-christian-like-bertrand
L-110,i-did-the-math-everything-is-stupid-absurd-and-divine
L-111,i-know-you-didn-t-ask
L-112,i-think-i-need-a-good-spank-ng-in-madrid
L-113,idiocracy-now
L-114,if-we-had-but-t-the-truth
L-115,ironic-moronic-eugenics
L-116,it-s-an-ethical-paradox
L-117,it-s-war-my-friend
L-118,jacques-brel
L-119,jealousy-not-for-me
L-120,jolly-poo
L-121,just-be
L-122,kamala-has-a-dream
L-123,kamala-s-roots-of-resilience
L-124,kids-are-asking
L-125,kids-just-want-to-have-hope
L-126,kindness
L-127,kindness-oh-sweet-kindness
L-128,kindness-abc
