MUSE Name,First Name,Last Name,Gender / Pronoun,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA,Secondary SUTRAs,Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,Auto ID,MUSE ID,LYRICS,Count (LYRICS)
Peter Ustinov,Peter,Ustinov,He,"Actor,Playwright,Comedian",GB/RU,"Mid 20th C,Late 20th C",1921,2004,"Topkapi, Spartacus, Romanoff and Juliet","SHOWsutra,BLOWsutra,GLOWsutra",,"humor/satire,theater,wit,human nature",,,https://en.wikipedia.org/wiki/Peter_Ustinov,,Draft,142,M-142,,0
Anatole France,Anatole,France,He,Author,FR,Early 20th C,1844,1924,L'Île des Pingouins,"BLOWsutra,SHOWsutra",,"humor/satire,social criticism,literature,democracy,satire",,,https://en.wikipedia.org/wiki/Anatole_France,,Draft,54,M-54,"Penguins In Shoes,Come Waddle With Me",2
Brené Brown,Brené,Brown,She,Author,US,Contemporary,1965,,"Daring Greatly, The Gifts of Imperfection, Braving the Wilderness","GROWsutra,KNOWsutra",,"vulnerability,courage,empathy,personal growth,love/kindness",,,https://en.wikipedia.org/wiki/Bren%C3%A9_Brown,,Draft,17,M-17,,0
Don Miguel Ruiz,Don Miguel,Ruiz,He,Author,MX,Contemporary,1952,,"The Four Agreements, The Voice of Knowledge",KNOWsutra,,"spirituality/agnosticism,wisdom,personal growth,philosophy",,,https://en.wikipedia.org/wiki/Don_Miguel_Ruiz,,Draft,119,M-119,Our Best,1
Douglas Adams,Douglas,Adams,He,Author,GB,Late 20th C,1952,2001,"The Hitchhiker's Guide to the Galaxy, The Restaurant at the End of the Universe",GROWsutra,,"humor/satire,philosophy,science fiction,absurdity/joy,language",,,https://en.wikipedia.org/wiki/Douglas_Adams,,Draft,1,M-1,,0
Eckhart Tolle,Eckhart,Tolle,He,Author,GB,Contemporary,1948,,"The Power of Now, A New Earth",KNOWsutra,"FLOWsutra,BOWsutra","spirituality/agnosticism,mindfulness,presence,ego,consciousness",Tolle's core teaching IS KNOWsutra: the present moment is the only truth. He strips ego to nothing and lets silence speak.,,https://en.wikipedia.org/wiki/Eckhart_Tolle,,Draft,137,M-137,Truth Don't Care,1
Ernest Miller Hemingway,Ernest,Hemingway,He,Author,US,Mid 20th C,1899,1961,"The Old Man and the Sea, A Farewell to Arms, The Sun Also Rises","KNOWsutra,BLOWsutra",,"authenticity,war/peace,literature,truth-telling,masculinity",,"If voting mattered, they wouldn't let us do it'",https://en.wikipedia.org/wiki/Ernest_Hemingway,,Draft,67,M-67,,0
Eugene Ionesco,Eugene,Ionesco,He,Author,FR,Mid 20th C,1909,1994,Rhinoceros,BLOWsutra,,"theater,absurdity/joy,satire,conformity,surrealism",Inspired the track 'Rhinoceross' and surreal real poetry.,,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Ionesco,,Draft,73,M-73,Rhinoceross,1
Kurt Vonnegut,Kurt,Vonnegut,He,Author,US,"Mid 20th C,Late 20th C",1922,2007,"Slaughterhouse-Five, Cat's Cradle, Breakfast of Champions",BLOWsutra,,"philosophy,satire,war/peace,absurdity/joy",,,https://en.wikipedia.org/wiki/Kurt_Vonnegut,,Draft,144,M-144,Some Songs Are More Fun Than Others,1
Lewis Carroll,Lewis,Carroll,He,Author,UK,19th C,1832,1898,Alice In Wonderland,SHOWsutra,,"fantasy,wordplay,absurdity/joy,childhood,satire",Inspired the track 'Gladys in Sonderland'.,,https://en.wikipedia.org/wiki/Lewis_Carroll,,Draft,24,M-24,"Dressed In (Nothing Butt) Wonder,Gladys in Sonderland,Wonderland of Bias",3
Stephen King,Stephen,King,He,Author,US,Late 20th C,1947,,"The Shining, It, Carrie, The Stand",BLOWsutra,,"storytelling,horror,social criticism,fear,creativity",,,https://en.wikipedia.org/wiki/Stephen_King,,Draft,79,M-79,Shining Twins,1
William Shakespeare,William,Shakespeare,He,Author,GB,"16th C,17th C",1564,1616,"Hamlet, Macbeth, A Midsummer Night's Dream, The Tempest","KNOWsutra,GLOWsutra,FLOWsutra",,"poetry/language,drama,love/kindness,human nature",,,https://en.wikipedia.org/wiki/William_Shakespeare,,Draft,125,M-125,,0
Samuel Johnson,Samuel,Johnson,He,"Author,Critic",GB,18th C,1709,1784,"Dictionary of the English Language, The Lives of the Poets, The Rambler","KNOWsutra,SHOWsutra",,"literature,language,wit,criticism,truth-telling",,,https://en.wikipedia.org/wiki/Samuel_Johnson,,Draft,77,M-77,,0
Aldous Huxley,Aldous,Huxley,He,"Author,Fool",UK,Mid 20th C,1894,1963,"Brave New World, The Doors of Perception, Point Counter Point",KNOWsutra,,"dystopia,consciousness,philosophy,satire,science fiction",Inspired 'The Dystopian Quiz Song'.,,https://en.wikipedia.org/wiki/Aldous_Huxley,,Draft,72,M-72,The Dystopian Quiz Song,1
Dr Seuss,Seuss,Dr,He,"Author,Fool",US,"Mid 20th C,Late 20th C",1904,1991,"The Cat in the Hat, Green Eggs and Ham, The Lorax","BLOWsutra,SHOWsutra,GROWsutra",,"humor/satire,imagination,resistance,ecology",,,https://en.wikipedia.org/wiki/Dr._Seuss,,Draft,44,M-44,Some Songs Are More Fun Than Others,1
Edward Snowden,Edward,Snowden,He,"Author,Fool",US,Contemporary,1983,,"Permanent Record, NSA leaks/whistleblowing",BLOWsutra,,"truth-telling,resistance,privacy,whistleblowing",,,https://en.wikipedia.org/wiki/Edward_Snowden,,Draft,131,M-131,Dear Edward (The Snowden Song),1
Hans Andersen,Hans,Andersen,He,"Author,Fool",DK,19th C,1805,1875,The Emperor's New Clothes,SHOWsutra,,"storytelling,childhood,satire,fantasy,social criticism",Inspired the song 'The Great Naked King'.,,https://en.wikipedia.org/wiki/Hans_Christian_Andersen,,Draft,3,M-3,The Great Naked King,1
Herman Hesse,Herman,Hesse,He,"Author,Fool",DE/CH,Early 20th C,1877,1962,"Siddhartha, Steppenwolf, The Glass Bead Game",GROWsutra,,"philosophy,spirituality/agnosticism,personal growth,love/kindness",Inspired the track 'Tune In The Tender'.,,https://en.wikipedia.org/wiki/Hermann_Hesse,,Draft,68,M-68,"Tune In The Tender,Love from the Future (The Hesse Song)",2
Hunter S. Thompson,Hunter S.,Thompson,He,"Author,Fool",US,Late 20th C,1937,2005,"Fear and Loathing in Las Vegas, Hell's Angels, The Rum Diary",SHOWsutra,,"resistance,humor/satire,truth-telling,counterculture,democracy",,,https://en.wikipedia.org/wiki/Hunter_S._Thompson,,Draft,135,M-135,A Toast To The Good Life,1
Molière,,Molière,He,"Author,Fool",FR,17th C,1622,1673,"Tartuffe, Le Misanthrope, The Imaginary Invalid","SHOWsutra,BLOWsutra,KNOWsutra",,"humor/satire,theater,social criticism,absurdity/joy",,,https://en.wikipedia.org/wiki/Moli%C3%A8re,,Draft,97,M-97,,0
Plutarch,Plutarch,,He,"Author,Historian,Philosopher",GR,Ancient,c. 46 AD,c. 120 AD,"Parallel Lives, Moralia, Essays","KNOWsutra,GLOWsutra",,"history,philosophy,biography,wisdom",,,https://en.wikipedia.org/wiki/Plutarch,,Draft,153,M-153,,0
Antoine de Saint-Exupéry,Antoine,de Saint-Exupéry,He,"Author,Philosopher",FR,"Early 20th C,Mid 20th C",1900,1944,"The Little Prince, Wind Sand and Stars, Night Flight","GROWsutra,GLOWsutra,BLOWsutra",,"philosophy,poetry/language,love/kindness,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Antoine_de_Saint-Exup%C3%A9ry,,Draft,37,M-37,,0
Fyodor Dostoyevski,Fyodor,Dostoyevski,He,"Author,Philosopher",RU,19th C,1821,1881,"Crime and Punishment, The Brothers Karamazov, Notes from Underground","KNOWsutra,BLOWsutra,GROWsutra",,"philosophy,truth-telling,suffering/redemption,morality",,,https://en.wikipedia.org/wiki/Fyodor_Dostoyevsky,,Draft,43,M-43,,0
Henry David Thoreau,Henry David,Thoreau,He,"Author,Philosopher",US,19th C,1817,1862,"Walden, Civil Disobedience, The Maine Woods","BLOWsutra,GROWsutra,KNOWsutra",,"philosophy,resistance,nature,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Henry_David_Thoreau,,Draft,136,M-136,,0
Mark Twain,Mark,Twain,He,"Author,Philosopher",US,"19th C,Early 20th C",1835,1910,"The Adventures of Huckleberry Finn, The Adventures of Tom Sawyer","BLOWsutra,SHOWsutra,KNOWsutra",,"humor/satire,social criticism,truth-telling,absurdity/joy",,,https://en.wikipedia.org/wiki/Mark_Twain,,Draft,140,M-140,,0
Philip K Dick,Philip K,Dick,He,"Author,Philosopher",US,"Mid 20th C,Late 20th C",1928,1982,"Do Androids Dream of Electric Sheep, Ubik, The Man in the High Castle","KNOWsutra,BLOWsutra,FLOWsutra",,"philosophy,science fiction,reality/perception,consciousness",,,https://en.wikipedia.org/wiki/Philip_K._Dick,,Draft,39,M-39,,0
