﻿SONGBOOK name,Status,LANDR URL,SUTRA(s),Topics (primary),Description,ID,SUTRA ID Rollup (from SUTRA(s)),SONGs (Lyrics),# of songs
LANG: FRENCH,REVIEW,https://app.landr.com/library/folder/e505b945-061d-481e-8e37-baaded4e7e67,,,,G-00-FR,,"L’Embobinage,""En Vrai, On Est Tous Frères"",L'Accordéon De l'Ignorance,La Force Douce,""Oh, Martine"",Sous Terre (Underground),Secret De Polichinelle,Le Bal Des Salauds,Le P'tit Jupiter,Segggsting,Le Système,""Freee, La Fille"",Le Bal Electoral,Nous Sommes Le Feu,""Le Système, ça voulait dire"",Criminels,Jacques Brel,Comme Des Pions,WIN-WIN (dub),Camus Dit Oui,Maupassant",21
LANG: RUSSian,OPEN,https://app.landr.com/library/folder/3ce2febb-6b5f-4c83-98fd-8204e8b3af55,,,,G-00-RU,,,0
LANG: SPANish,OPEN,https://app.landr.com/library/folder/e6b9fd1f-a639-4c11-b2d8-a873ec46e16d,,,,G-00-ES,,"La Poesia Importa,Fluye (como el mar)",2
Ask: (Naked) TRUTH,OPEN,https://app.landr.com/library/folder/8708b7a1-8aa6-4818-ae64-95562b304b6c,KNOWsutra,TRUTH,"The truth is agnostic. Honesty is brave, selfless. And it doesn't care if you're embarrassed. Songs asking the questions most would rather forget in the name of personal comfort, and power games.",G-01-TRUT,01-KNOW,"Metaphors' Edge (Joseph Campbell's song),Some Truths Are Harder to Swallow,""Philosophy, My Dear"",When Did Seduction Become so Untrue?,Open The Window,""So, What Is Racism?"",Authentic Innovation Manifesto,Kindness ABC,T.R.U.T.H,Genius EP,How Do Kids Learn Now?,AI Manifesto,Shades of Fools (All I Know),AI Fair Use Manifesto,Truth Don't Care,Banana Alleluia,New Normalcy (Planet Earth to Higher Grounds),Hard Core,Who Are You? (And Who Am I?),Tell The Truth,What's F-A-S-C-I-S-T?,Honest Is Best",22
Ask: BERTRAND (knows),OPEN,https://app.landr.com/library/folder/1a47b22e-ab07-44cc-bbcd-5601124a2442,KNOWsutra,WISDOM,"Bertrand Russell walks into a bar, orders a paradox, and starts a philosophical fight club. Songs for the ethically curious.",G-01-BERT,01-KNOW,"Question Di Kingdom,It's An Ethical Paradox,The (Womp Womp) Conquestor,""Two Things, Darling"",The Conquest of Happiness,Question The Nation,Truth I Never Knew (Crushing on Bertrand),I Ain't No Christian (Like Bertrand),Criminals (Bertrand Edition)",9
Ask: But(t) WHY,REVIEW,https://app.landr.com/library/folder/7fb23bd4-9349-4e93-9d1e-3a2c29251e3e,KNOWsutra,WISDOM,"One question. Socrates asked it, they killed him for it. We're still asking anyway.",G-01-WHY,01-KNOW,"HashtagWHY (Sorry Not Sorry),""Oh My, Oh Why (Socrates Song)"",Shady Fools,But(t) How Can You?,Kids Are Asking,There's No Prayer Like Desire,Why Are Kids Allowed To Die? (Why War?),The Sound Of Logic",8
Ask: PEACE (not war),REVIEW,https://app.landr.com/library/folder/00f366cd-196d-4488-9946-84f60301741b,KNOWsutra,PEACE,"Songs in the name of history, for the lovers, and everyone who refuses to unsee patterns of deceit and abuse. Peace is not a default. It's a practice.",G-01-PEAC,01-KNOW,"What Justifies The Pain?,The Love of A Dove,""En Vrai, On Est Tous Frères"",A New Historical Era,What It's About,Predators (Why War),WIN-WIN (Basic Science History),Blaise's Tale,Everybody Knows (The Foolishness),A Letter To My Friend (Never Again),A Stroll Down History’s Lane,""Genius, You See"",Peace Matters More,How Do You Explain War?,Foolish,Cassandra's Lullaby,Everybody Knows,Trauma Begets Trauma,Foolish Goldfish (Forever),A la Guerre Comme A la Guerre (To War or Not to War?),Hole Of Fire,Because The Fight,Wars Don’t Flow,What Lessons Do We Forget?",24
EP: Criminals,LIVE,,BLOWsutra,INJUSTICE,"When the rules shift, who decides who the criminal is? A bilingual meditation, in English and French, on the question that keeps getting more relevant.",G-02-CRIM,02-BLOW,"Criminals,Criminels,Criminals (Bertrand Edition)",3
EP: DEFY,LIVE,,BLOWsutra,POOLITICS,"A playlist built for the days you'd rather not comply. Loud, principled, and stubbornly here.",G-02-DEFY,02-BLOW,"Optics Of Cruelty (DEFY),Shameless (DEFY),Universal Currency",3
EP: Sidération,LIVE,,BLOWsutra,INJUSTICE,"A four-part series named for the French word for the freeze-in-the-marrow... like, when something is so wrong your soul slips on a banana peel. Volumes 1–4, in ascending disbelief.",G-02-SIDE,02-BLOW,"Sidération's Calling,Sidération,Sidération (The Sky Stood Still),Sidération Blues",4
Speak: APES (gone wrong),OPEN,https://app.landr.com/library/folder/818c0334-195e-4b77-89ac-3d837bfa64f4,BLOWsutra,INJUSTICE,"Grifters, criminals, idiocrats. What happens when the apes take the wheel? Many songs on the subject... none of them wrong.",G-02-APES,02-BLOW,"Le Système,Serial Blowers,""Hey, Creeps"",""Le Système, ça voulait dire"",Ironic Moronic Eugenics,Le P'tit Jupiter,Rhinoceross,Le Bal Electoral,Grifters,Freedom To Lie Is The New Human Right,Trust No One,Idiocracy Now,Okie Dokie (No It's Not),Le Bal Des Salauds,Men-Oh-Pause,Criminals,Criminels",17
Speak: CENSOR(ed),REVIEW,https://app.landr.com/library/folder/d083c5e1-0879-4a7b-a050-c9ef83cd3fa0,BLOWsutra,INJUSTICE,"What they banned, deleted, redacted, and rewrote. Songs about the inconvenient truths that survive anyway.",G-02-CENS,02-BLOW,"Delete My Butt,Mass Media Freakshow,Hiding Secrets in Lies,Supreme Words (Whoop Whoop),Secret De Polichinelle,Wonderland of Bias,The Dystopian Quiz Song,If We Had But(t) The Truth,Dear Edward (The Snowden Song),Read Me Harder (BB is for Banned Books),L’Embobinage,Silent Followers,GROCK",13
Speak: EGO (gone loco),OPEN,https://app.landr.com/library/folder/9b69a27e-7c74-4c63-bb71-f0deeb968db3,BLOWsutra,EGO,"Narcissistic Personality Disorder in music. Songs about the people who confuse themselves with the whole universe, and the rest of us paying the tab.",G-02-EGO,02-BLOW,"Jolly Poo,Ego Ain't Your Amigo,Second Hand Smoke (Arrogant Hearts),Males Fantasies (vol2),The Cabaret Where No One Knows,A Liar’s Prize,All the -Isms,Arrogant Hearts (Second hand Smoke),""But Who Says """"Say My Name"""""",Comme Des Pions,EGO's Masquerade,Nietzsche's Gift (Muddy Waters),Pablo's Grandeur,ABC of NPD,How Deep Is Your Shade?,""Hey, You (Creepers)"",Liars,Learn The Signs,D.I.M.M.E.R.s,Male Fantasies,Relative Steve,The Narcissist's Cabaret,Creeps,DARVO-A-GOGO",24
Speak: REVOLT (now),REVIEW,https://app.landr.com/library/folder/f323efc0-0c2f-4a95-9d28-236633fb0c4e,BLOWsutra,INJUSTICE,From Robert Burns to Victor Hugo to right now. The long arc of justice has always needed a banjo. So many songs. Don't wait...,G-02-REVO,02-BLOW,"Do Panic Now,Kamala's Roots of Resilience,The Echo Song,What If -Ism,Time For Rebel Romance,Revolution's Lit,""Oh, Freedom"",A Man's a Man and A' That,""No Fear, My Dear"",Bloom Past Doom,Liberty,What Dissent Looks Like Now,Spit Back the Lies,""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",""Thank you, Mister Paine"",""Rise Up, You Naked Peoples (Freedom Rings)"",""Oy, We Care"",Win-Win In Unity,Weary Blues,Optics Of Cruelty (DEFY),Shameless (DEFY),Universal Currency,Sidération's Calling,Sidération,Sidération (The Sky Stood Still),Sidération Blues,We Must Revolt,Rebellion à L'Unisson",28
Speak: DUCK (shady),REVIEW,https://app.landr.com/library/folder/f4756dd1-ebf9-422c-a75b-8019e962bb54,QUACKsutra,POOLITICS,Meet Duck Shady. He's so much dumber and meaner than Slim Shady. And not funny at all. ,G-02-DUC,02-QUACK,"The Grazed Duck Luck,Kamala Has A Dream,Daddy's a Creep,The President’s Above The Law,Ignoramus Divine,The Ducktator (Lament),Pedo Nation (Felon Nation Redux),Hide Your Pets,SS Means Sacred Sp3rm,Stymy Stymy Yuck,Creepy Con Meme,Tweeting from the Throne,Presidential Joke of The Year,Woke 'em Whacks,RUN (Now If You Can),Dump Trump,Ain't No Kid,Trump Derangement Syndrome ™,""It's War, My Friend"",Project 2025 (Honky tonk dreams in the land of the free),Shining Twins,Mind the Felon,The Weave,L'Accordéon De l'Ignorance,Chuck Ain't Woke,Why You Lie (To The People's Face)?,Who's Your Vladdy?,Duck OFF my back,""Oh, WELP… The Duck."",Chuck-A-Dick,Felon Nation,Profane Obscenities,The Tyranny of Ignorance,Twatocracy (Encore et Encore),Jingoism 101,""Shame on You Boo (Don-Be-Gone Orchestra, Duck of the Jungle)"",Hitlus With Your Best Shot,Syndrome Nom Nom",38
Speak: FOTUS Circus,REVIEW,https://app.landr.com/library/folder/5b2eec40-a948-45ef-81c4-77578edf6d53,QUACKsutra,POOLITICS,"Step right up. The FOTUS is in the ring, grotesque clowns are running the republic, and the entrance music is ubuesque. Enjoy.",G-02-CIRC,02-QUACK,"Carnival FOTUS (ctd),FOTUS Circus: Ginsberg Hollow (Horror) Show,The Accordion of Ignorance,FOTUS Circus: Angels Eyes,Like A Criminal Strong Man,""FOTUS Circus: Step right up, My Dearest Souls"",""FOTUS Circus: Step Inside, Don’t Mind The Crime"",""FOTUS Circus: Welcome, You Fools"",""FOTUS Circus: Come On In, You Wretched Fools"",Radio Static (The Dystopian Cabaret),Freakshow King",11
Speak: MAxxxA Saga,REVIEW,https://app.landr.com/library/folder/7378a42d-7956-4d24-9252-cbc6787ac170,QUACKsutra,POOLITICS,"MAGA, MAHA, MAKA, MAMA, MAWA. Six acronyms. One burning question: make America what, exactly?",G-02-MAXA,02-QUACK,"MAMA (Make America Mine Achtung),MAWA (Make America Woke Again),MAHA (Make America Humane Again),MAKA (Make America Kind Again),MASA (Make America Safe Again),Make Amurica Gulag Again (MAGA)",6
