MUSE Name,First Name,Last Name,Gender / Pronoun,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA,Secondary SUTRAs,Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,autoID,museID,SONGS (Lyrics)
Cicero,Cicero,,He,"Philosopher,Orator,Author",ROM,Ancient,106 BC,43 BC,"Catilinarian Orations, Philosophical Treatises, Letters",BLOWsutra,KNOWsutra,"oratory,philosophy,truth-telling,republic",,,https://en.wikipedia.org/wiki/Cicero,,Draft,1,M-1,
Plutarch,Plutarch,,He,"Author,Historian,Philosopher",GR,Ancient,c. 46 AD,c. 120 AD,"Parallel Lives, Moralia, Essays",KNOWsutra,GLOWsutra,"history,philosophy,biography,wisdom",,,https://en.wikipedia.org/wiki/Plutarch,,Draft,2,M-2,
Douglas Adams,Douglas,Adams,He,Author,GB,Late 20th C,1952,2001,"The Hitchhiker's Guide to the Galaxy, The Restaurant at the End of the Universe",GROWsutra,,"humor/satire,philosophy,science fiction,absurdity/joy,language",,,https://en.wikipedia.org/wiki/Douglas_Adams,,Draft,3,M-3,
Aesop,,Aesop,He,"Fabulist,Fool",GR,Ancient,c. 620 BC,c. 564 BC,Aesop's Fables,KNOWsutra,SHOWsutra,"wisdom,poetry/language,humor/satire,philosophy",,,https://en.wikipedia.org/wiki/Aesop,,Draft,4,M-4,
Hans Andersen,Hans,Andersen,He,"Author,Fool",DK,19th C,1805,1875,The Emperor's New Clothes,SHOWsutra,,"storytelling,childhood,satire,fantasy,social criticism",Inspired the song 'The Great Naked King'.,,https://en.wikipedia.org/wiki/Hans_Christian_Andersen,,Draft,5,M-5,The Great Naked King
Maya Angelou,Maya,Angelou,She,"Author,Poet",US,Late 20th C,1928,2014,Rainbows in my clouds,GLOWsutra,,"gratitude,hope",Originally inspired 'Rainbows in the Clouds' and 'Rainbows in My Clouds (Merci)'. Dedicated to Sri.,,https://en.wikipedia.org/wiki/Maya_Angelou,,Draft,6,M-6,Rainbows in the Clouds
Anonymous Anonymous,Anonymous,Anonymous,They,Fool,,Contemporary,,,,KNOWsutra,"BLOWsutra,SHOWsutra,GROWsutra,FLOWsutra,GLOWsutra,BOWsutra","universality,humor/satire,wisdom,mystery,collective",,,,,Draft,7,M-7,"Frogs in the Cogs,Hiding Secrets in Lies,How Deep Is Your Shade?,""Just Be You, Oooh! (A Birthday Sing-Along)"",Possum Scrotum,Real Winners Dance,A New Historical Era,A Stroll Down History’s Lane,ABC of NPD,Acoustic Attraction,Acousticophilia,Authentic Innovation Manifesto,Bare Your Soul (Velvet),Be The Fool (Embrace The Cracks),Be The Fool (Perfection Is A Lie),Berries & Beaches,Broken Whole,Dream A Dog,Fool On A Mission (No Name Game),Freedom Fries,Honest Is Best,How Do We Find Meaning?,How Do You Explain War?,Le Bal Electoral,Learn The Signs,Let’s Play A Game Where We All Win! (If The Game Is Absurd),Liars,Lolita In Pensacola,""Not Bad, Friendo"",Peace Unseen,A Good Witch,Blessed By The Wiggle,But Where Do Pigeons Go To Die?,Clay Maiden,D.I.M.M.E.R.s,F is for Fabulous,Gunther BBQ,I Know You Didn’t Ask,Win-Win After Midnight,A la Guerre Comme A la Guerre (To War or Not to War?),A Liar’s Prize,""But Who Says """"Say My Name"""""",Buuuuurn!,Can You Play Win-Win Or No?,DARVO-A-GOGO,Do you ever Wonder?,Enshittification (Word of the Year),Feral Fandango,Grateful For The Weird,Hard Core,Hitlus With Your Best Shot,Open The Meow,Open The Window,Oxytocin,Radio Static (The Dystopian Cabaret),Silent Followers,Skanking Pickles,The Courage To Care,Who Knows What Goes On?,Freedom To Lie Is The New Human Right,HashtagWHY (Sorry Not Sorry),Life's A Song,""Philosophy, My Dear"",Rebellion à L'Unisson,Serial Blowers,The Cabaret Where No One Knows,The Umm Song,""Out of Step, Out Of Mind"",We Must Revolt,What Justifies The Pain?,What Lessons Do We Forget?,Why Are Kids Allowed To Die? (Why War?),A Letter To My Friend (Never Again),ABC Of Kindness,All the -Isms,Arrogant Hearts (Second hand Smoke),Banana joke making us laugh,Blessed Be The Dogs,Bloom Past Doom,Comme Des Pions,Creeps,Creepy Pasta (What The Hella),Creo (La Poesia),Curious Like A Kiss (Kiss a Pulse),Darling,Dead Dogs Deets,Do Panic Now,Donkeys Years,EGO's Masquerade,""En Vrai, On Est Tous Frères"",Foolish,Foolish Goldfish (Forever),""Freee, La Fille"",French Poppies,Glitter On A Turd,Grifters,Hammy On Clyde,""Hello, Oh No"",""Hereby, I Cry"",""Hi, My Name Is (Not Celine Dion)"",""Hold The Mic, Babe"",Hope is Do-Do-Dope,How Do Kids Learn Now?,I Think I Need a Good Spank!ng (in Madrid),Idiocracy Now,If We Had But(t) The Truth,Ironic Moronic Eugenics,Jealousy (Not For Me),Jolly Poo,Just Be,Kids Are Asking,Kiss A Pulse,La Force Douce,La Poesia Importa,MAHA (Make America Humane Again),MAKA (Make America Kind Again),Make Amurica Gulag Again (MAGA),Making Songs Like,MAMA (Make America Mine Achtung),MASA (Make America Safe Again),MAWA (Make America Woke Again),Men-Oh-Pause,""No, I'm Not Being Political (CIRCA 2025)"",""No, I'm Not Being Political (CIRCA 2026)"",Nous Sommes Le Feu,""Oh, Freedom"",""Oh, Martine"",Okie Dokie (No It's Not),One Percent Rising,Optics Of Cruelty (DEFY),Peace Matters More,Poetry Matters,Poetry Nah Lie,Poetry Slow Burns,Predators (Why War),Read Me Harder (BB is for Banned Books),Relative Steve,Revolution's Lit,Second Hand Smoke (Arrogant Hearts),Secret De Polichinelle,Shades of Fools (All I Know),Shady Fools,Shameless (DEFY),Shush (How To Help A Bible Bro Grow Up),Sidération,Sidération (The Sky Stood Still),Sidération Blues,Sidération's Calling,""So, What Is Racism?"",SS Means Sacred Sp3rm,Sutra of Immanence,Tell The Truth,The Fool Who Knows,The Love of A Dove,The Narcissist's Cabaret,They Call Her Wild (But She's Just Free),""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",Thrifting Memories,Trauma Begets Trauma,Trust No One,Universal Currency,We Remember What (We Remember What) We Feel☉,Wet (Prickly) Peaches vol.2,What Dissent Looks Like Now,What If -Ism,What It's About,What the Mirror Said (Reste Lucide),What’s Behind Every Door?,When We Duende (All Night),When We Duende (Encore),Where We Begin (Preakly Peaches),Who Are You? (And Who Am I?),Who Knows Where How Happiness Truly Grows,Who Needs A Big D?,Why We Can't Be Brave?,Why You Lie (To The People's Face)?,WIN-WIN (Basic Science History),WIN-WIN (dub),Zero Sum (Zero Sean),Maslow (Bro)"
Guillaume Apollinaire,Guillaume,Apollinaire,He,Poet,FR,Early 20th C,1880,1918,"Alcools, Calligrammes, Zone",FLOWsutra,"GLOWsutra,BLOWsutra","poetry/language,creativity,love/kindness,modernism",,,https://en.wikipedia.org/wiki/Guillaume_Apollinaire,,Draft,8,M-8,
Hannah Arendt,Hannah,Arendt,She,Philosopher,DE,Mid 20th C,1906,1975,"The Origins of Totalitarianism, The Human Condition, Eichmann in Jerusalem",KNOWsutra,"BLOWsutra,GROWsutra","authoritarianism,truth-telling,philosophy,democracy,resistance",One of my deepest intellectual touchstones. The banality of evil is the lens I use to understand how ordinary people enable catastrophic harm — and why silence is complicity. Her work haunts every BLOWsutra song I write.,The banality of evil.' | 'Under conditions of tyranny it is far easier to act than to think.' | 'The most radical revolutionary will become a conservative the day after the revolution.',https://en.wikipedia.org/wiki/Hannah_Arendt,,Draft,9,M-9,Question The Nation
Margaret Atwood,Margaret,Atwood,She,"Author,Poet",CA,Contemporary,1939,,The Handmaid's Tale,KNOWsutra,"BLOWsutra,SHOWsutra","authoritarianism,feminism,resistance,democracy",Male Fantasies' is a direct Atwood lyric quote-turned-song. Her work on how democracies slide into theocracies is the blueprint for everything happening right now. The 'Which Dystopia Are You Living In?' quiz includes her as a distinct archetype axis.,"Male fantasies, male fantasies, is everything run by male fantasies?' | 'Nolite te bastardes carborundorum.' | 'A word after a word after a word is power.'",https://en.wikipedia.org/wiki/Margaret_Atwood,,Draft,10,M-10,"Male Fantasies,Males Fantasies (vol2)"
Charles Aznavour,Charles,Aznavour,He,"Musician,Fool",FR,Mid 20th C,1924,2018,"La Bohème, She, Je m'voyais déjà",BLOWsutra,,"music,nostalgia,love/kindness,French chanson,performance",Inspired my tracks like 'Le Système'. 'La Bohème' captures the bittersweet nostalgia of a shared past that no longer exists.,,https://en.wikipedia.org/wiki/Charles_Aznavour,,Draft,11,M-11,"""Le Système, ça voulait dire"""
James Baldwin,James,Baldwin,He,Poet,US,Mid 20th C,1947,1985,"Go Tell It on the Mountain (1953)
Notes of a Native Son (1955), Giovanni's Room (1956)",GLOWsutra,,"poetry/language,truth-telling",,,https://en.wikipedia.org/wiki/James_Baldwin,,Draft,12,M-12,
Charles Baudelaire,Charles,Baudelaire,He,Poet,FR,19th C,1821,1867,"Les Fleurs du Mal, Paris Spleen, Intimate Journals",BLOWsutra,"SHOWsutra,GLOWsutra","poetry/language,death/grief,love/kindness,beauty/aesthetics",,,https://en.wikipedia.org/wiki/Charles_Baudelaire,,Draft,13,M-13,
William Blake,William,Blake,He,"Poet,Painter,Visionary",GB,18th C,1757,1827,"Songs of Innocence, Songs of Experience, The Marriage of Heaven and Hell",FLOWsutra,"GLOWsutra,BLOWsutra","poetry/language,spirituality/agnosticism,resistance,creativity",,,https://en.wikipedia.org/wiki/William_Blake,,Draft,14,M-14,
