playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url
BLOWsutra,https://soundcloud.com/bananasutra/sets/sutrablow,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",380,217160,2019,21:19:30,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png
DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",313,173013,1739,16:52:29,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png
GROWsutra where we be brave,https://soundcloud.com/bananasutra/sets/sutragrow,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",282,167574,1624,15:24:50,https://i1.sndcdn.com/artworks-EIMomqQ3VHc9dl93-DvcAsA-t500x500.png
LOFIsutra,https://soundcloud.com/bananasutra/sets/lofisutra,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",277,154347,1439,14:20:50,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png
JAZZsutra,https://soundcloud.com/bananasutra/sets/jazzsutra,BLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",218,123421,1370,12:25:16,https://i1.sndcdn.com/artworks-QRaUbtlHanDIuOON-8Hr9pg-t500x500.png
KNOWsutra where questions matter,https://soundcloud.com/bananasutra/sets/sutraknow,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",246,118874,1360,13:42:31,https://i1.sndcdn.com/artworks-NK0wy8xSKMBP4LSI-DlE3WA-t500x500.png
BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/burlesquesutra,SHOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",295,114794,1044,16:10:25,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png
INDIEsutra,https://soundcloud.com/bananasutra/sets/indiesutra-2,GROWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",252,114697,1092,14:36:13,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png
QUACKsutra where we sing FU,https://soundcloud.com/bananasutra/sets/ducksutra-where-we-sing-fu,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",282,95881,881,15:22:45,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png
BLUESsutra,https://soundcloud.com/bananasutra/sets/bluessutra,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",183,86409,975,10:26:02,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png
