songbook,status,landr_url,sutras,secondary_sutra,topics_primary,description,songbook_id,songs,sutra_id_rollup
LANG: FRENCH,REVIEW,https://app.landr.com/library/folder/e505b945-061d-481e-8e37-baaded4e7e67,,,,,G-00-FR,"Le Bal Electoral,Le Système,""Le Système, ça voulait dire"",Camus Dit Oui,Maupassant,Criminels,Comme Des Pions,""En Vrai, On Est Tous Frères"",""Freee, La Fille"",Jacques Brel,L'Accordéon De l'Ignorance,L’Embobinage,La Force Douce,Le Bal Des Salauds,Le P'tit Jupiter,Nous Sommes Le Feu,""Oh, Martine"",Secret De Polichinelle,Segggsting,Sous Terre (Underground),WIN-WIN (dub)",
LANG: RUSSian,OPEN,https://app.landr.com/library/folder/3ce2febb-6b5f-4c83-98fd-8204e8b3af55,,,,,G-00-RU,,
LANG: SPANish,OPEN,https://app.landr.com/library/folder/e6b9fd1f-a639-4c11-b2d8-a873ec46e16d,,,,,G-00-ES,"Fluye (como el mar),La Poesia Importa",
Ask: (Naked) TRUTH,OPEN,https://app.landr.com/library/folder/8708b7a1-8aa6-4818-ae64-95562b304b6c,KNOWsutra,BLOWsutra,TRUTH,"The truth is agnostic. Honesty is brave, selfless. And it doesn't care if you're embarrassed. Songs asking the questions most would rather forget in the name of personal comfort, and power games.",G-01-TRUT,"AI Fair Use Manifesto,Authentic Innovation Manifesto,Honest Is Best,Hard Core,Open The Window,Some Truths Are Harder to Swallow,""Philosophy, My Dear"",AI Manifesto,Banana Alleluia,Genius EP,How Do Kids Learn Now?,Kindness ABC,Metaphors' Edge (Joseph Campbell's song),New Normalcy (Planet Earth to Higher Grounds),Shades of Fools (All I Know),""So, What Is Racism?"",T.R.U.T.H,Tell The Truth,Truth Don't Care,What's F-A-S-C-I-S-T?,When Did Seduction Become so Untrue?,Who Are You? (And Who Am I?)",01-KNOW
Ask: BERTRAND (knows),OPEN,https://app.landr.com/library/folder/1a47b22e-ab07-44cc-bbcd-5601124a2442,KNOWsutra,SHOWsutra,WISDOM,"Bertrand Russell walks into a bar, orders a paradox, and starts a philosophical fight club. Songs for the ethically curious.",G-01-BERT,"Criminals (Bertrand Edition),Truth I Never Knew (Crushing on Bertrand),I Ain't No Christian (Like Bertrand),It's An Ethical Paradox,Question Di Kingdom,Question The Nation,The (Womp Womp) Conquestor,The Conquest of Happiness,""Two Things, Darling""",01-KNOW
Ask: But(t) WHY,REVIEW,https://app.landr.com/library/folder/7fb23bd4-9349-4e93-9d1e-3a2c29251e3e,KNOWsutra,GROWsutra,WISDOM,"One question. Socrates asked it, they killed him for it. We're still asking anyway.",G-01-WHY,"The Sound Of Logic,HashtagWHY (Sorry Not Sorry),Why Are Kids Allowed To Die? (Why War?),But(t) How Can You?,Kids Are Asking,""Oh My, Oh Why (Socrates Song)"",Shady Fools,There's No Prayer Like Desire",01-KNOW
Ask: PEACE (not war),REVIEW,https://app.landr.com/library/folder/00f366cd-196d-4488-9946-84f60301741b,KNOWsutra,BLOWsutra,PEACE,"Songs in the name of history, for the lovers, and everyone who refuses to unsee patterns of deceit and abuse. Peace is not a default. It's a practice.",G-01-PEAC,"A New Historical Era,A Stroll Down History’s Lane,Because The Fight,How Do You Explain War?,A la Guerre Comme A la Guerre (To War or Not to War?),Wars Don’t Flow,What Justifies The Pain?,What Lessons Do We Forget?,A Letter To My Friend (Never Again),Blaise's Tale,Cassandra's Lullaby,""En Vrai, On Est Tous Frères"",Everybody Knows,Everybody Knows (The Foolishness),Foolish,Foolish Goldfish (Forever),""Genius, You See"",Hole Of Fire,Peace Matters More,Predators (Why War),The Love of A Dove,Trauma Begets Trauma,What It's About,WIN-WIN (Basic Science History),Maslow (Bro)",01-KNOW
EP: Criminals,LIVE,,BLOWsutra,KNOWsutra,INJUSTICE,"When the rules shift, who decides who the criminal is? A bilingual meditation, in English and French, on the question that keeps getting more relevant.",G-02-CRIM,"Criminals (Bertrand Edition),Criminels,Criminals",02-BLOW
EP: DEFY,LIVE,,BLOWsutra,GROWsutra,POOLITICS,"A playlist built for the days you'd rather not comply. Loud, principled, and stubbornly here.",G-02-DEFY,"Optics Of Cruelty (DEFY),Shameless (DEFY),Universal Currency",02-BLOW
EP: Sidération,LIVE,,BLOWsutra,BOWsutra,INJUSTICE,"A four-part series named for the French word for the freeze-in-the-marrow... like, when something is so wrong your soul slips on a banana peel. Volumes 1–4, in ascending disbelief.",G-02-SIDE,"Sidération,Sidération (The Sky Stood Still),Sidération Blues,Sidération's Calling",02-BLOW
