ep_title,ep_url,ep_rating,ep_volume,sutra,genres,genres_full,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,lyrics_title,lyrics_id,created_at,playlist_names_clean,ep_in_app
A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,https://soundcloud.com/bananasutra/sets/a-letter-to-my-friend-never-again-epx44-growsutra-world-peace-mantra,,1,KNOWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA","BANJO,BLUES,DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,MANTRA,RAGGA,SOUL",44,28161,224,2:26:10,https://i1.sndcdn.com/artworks-wWQhnGqz9vHL3gbU-Sx2Pvw-t500x500.png,A Letter To My Friend (Never Again),L-3,2025-10-10 03:58,"BANJOsutra,GROWsutra where we be brave,INDIEsutra,KNOWsutra : PEACE (not War),KNOWsutra where questions matter,LOFIsutra",checked
A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-and-a-that-a-la-bananasutra-epx3-vol-02-revolution-forever,,2,BLOWsutra,"LOFI,MANTRA","LOFI,MANTRA,TRIP HOP",3,931,9,9:42,https://i1.sndcdn.com/artworks-1bqixGWYedpZR647-tZkbFA-t500x500.png,A Man's a Man and A' That,L-5,2025-04-25 03:30,"BLOWsutra : REVOLT (now),INDIEsutra,KNOWsutra where questions matter,LOFIsutra,MANTRAsutra",checked
A Man's A Man for A' That - VOL. 01 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-for-a-that-vol-01,,1,KNOWsutra,"FOLK,INDIE","FOLK,INDIE",3,575,6,10:33,https://i1.sndcdn.com/artworks-YUOwZVtRKHQ7qgnV-7WlPYA-t500x500.jpg,A Man's a Man and A' That,L-5,2025-04-25 01:57,"BANJOsutra,BLOWsutra : REVOLT (now),KNOWsutra where questions matter,MANTRAsutra",checked
A stroll down history’s lane ☆ KNOWsutra ☆ EPx6 Vol. 1,https://soundcloud.com/bananasutra/sets/a-stroll-down-historys-lane,,1,KNOWsutra,MANTRA,MANTRA,6,1123,10,20:21,https://i1.sndcdn.com/artworks-9uz2GCIarSzz3CK9-yLGoGg-t500x500.jpg,A Stroll Down History’s Lane,L-7,2025-03-31 10:45,"BANJOsutra,BLOWsutra,DUBsutra,FOLKsutra,INDIEsutra,KNOWsutra : PEACE (not War),KNOWsutra where questions matter,MANTRAsutra",checked
ABCs of Kindness - KNOWsutra,https://soundcloud.com/bananasutra/sets/abcs-of-kindness-knowsutra,,1,GROWsutra,"INDIE,BURLESQUE","INDIE,BURLESQUE",10,1957,13,30:28,https://i1.sndcdn.com/artworks-OJbXzv5DEM6ihALr-CtrAEg-t500x500.jpg,ABC Of Kindness,L-9,2025-02-09 02:36,"DUBsutra,GROWsutra : KIND(ness),INDIEsutra,KNOWsutra where questions matter,MANTRAsutra",checked
AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,https://soundcloud.com/bananasutra/sets/ai-fair-use-manifesto-epx3-vol1-lofi-burlesque-blues,,1,KNOWsutra,"BLUES,BURLESQUE,LOFI","BLUES,BURLESQUE,LOFI",3,577,5,9:42,https://i1.sndcdn.com/artworks-8MpTLEJF8IA3pZOl-q8KlmA-t500x500.png,AI Fair Use Manifesto,L-12,2025-04-10 20:36,"BANJOsutra,BLUESsutra,BURLESQUEsutra,KNOWsutra : but(t) WHY,LOFIsutra",checked
Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,https://soundcloud.com/bananasutra/sets/aint-doing-bad-doing-nothing-public-domain-vol-02-epx10-flowsutra-wet-jazz,,1,FLOWsutra,"BLUES,BURLESQUE,JAZZ","BLUES,BURLESQUE,JAZZ",10,3877,38,29:52,https://i1.sndcdn.com/artworks-ywHf0D0qFVueq62i-1G6SmQ-t500x500.png,Ain't Doing Bad Doing Nothing,L-14,2025-11-04 05:33,"BLUESsutra,BURLESQUEsutra,FLOWsutra where time is space,JAZZsutra",checked
All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,https://soundcloud.com/bananasutra/sets/all-i-know-shades-of-fools-its-the-why-knowsutra-epx5-vol-02,,1,KNOWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ","BLUES,BURLESQUE,FOLK,INDIE,JAZZ",5,2024,15,16:03,https://i1.sndcdn.com/artworks-jqVeUE2kfD4URweU-kKwl8A-t500x500.png,Shades of Fools (All I Know),L-217,2025-11-19 19:59,"BLUESsutra,BURLESQUEsutra,INDIEsutra,JAZZsutra,KNOWsutra where questions matter",checked
All the -Isms | BLOWsutra EPx7,https://soundcloud.com/bananasutra/sets/all-the-isms-blowsutra-epx7,,1,BLOWsutra,"BANJO,BURLESQUE,FOLK,JAZZ","BANJO,BURLESQUE,FOLK,JAZZ",7,1614,14,22:51,https://i1.sndcdn.com/artworks-qrxklwZQpzKpzPUh-kUGDvA-t500x500.png,All the -Isms,L-16,2025-08-26 02:05,"BANJOsutra,BLOWsutra,BLOWsutra : EGO (gone loco),BURLESQUEsutra,DUBsutra,FOLKsutra,JAZZsutra,KNOWsutra where questions matter,LOFIsutra",checked
An American in Paris (Public Domain Lyrics) 🎙️ SHOWsutra Classic Retro Musical REMAKE,https://soundcloud.com/bananasutra/sets/an-american-in-paris-public-domain-lyrics-showsutra-classic-retro-musical-remake,,1,SHOWsutra,"DUB,INDIE,JAZZ","DUB,INDIE,JAZZ",6,3583,35,20:07,https://i1.sndcdn.com/artworks-dOp2MsRUp5Ta2lVZ-MjIpgA-t500x500.png,An American in Paris (Public Domain),L-17,2026-01-16 09:39,"DUBsutra,INDIEsutra,JAZZsutra,SHOWsutra where bananas play",checked
