playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,sc_playlist_type,scplaylist_in_app,songbook_id,sc_eps_link
BANJOsutra,https://soundcloud.com/bananasutra/sets/banjosutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",146,49331,421,7:38:00,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,genre (all),,,"A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,A Man's A Man for A' That - VOL. 01 - Revolution Forever,A stroll down history’s lane ☆ KNOWsutra ☆ EPx6 Vol. 1,AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,All the -Isms | BLOWsutra EPx7,Because the Light ☉ EPx4 VOL.01,Bee the Fool EP x2 : BANJOsutra,Blaise's Tale ⭐︎ EPx3 ⭐︎ KNOWsutra Folk Cabaret,But(t) How you Kids Learn Now? EPx9 VOL. 01,Courage · Care · and Coconuts © GROWsutra EPx4,CREEPYPASTA (what the hella) ♅ SHOWsutra ♅ EPx23 Side A+B,Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas,Ego Ain't Your Amigo ⭐︎ EPx14 VOL. 01 ⭐︎ True Tales of BLUESsutra,En Vrai · On Est Tous Frères ䷁ FRENCH BLUESsutra EPx5,FOTUS CIRCUS ★ VOL.2 EPx10 ★ BURLESQUEsutra,FOTUS CIRCUS ★ VOL.3 EPx9 ★ BURLESQUEsutra,FOTUS CIRCUS ★ VOL.4 EPx9 ★ BURLESQUEsutra,Gladys in Sonderland EPx14 • SHOWsutra Psychedelic Gipsy Dream,Grifters • BLOWsutra (Apes Gone Wrong) EPx14,Hammy On Clyde ✪ SHOWsutra EPx8,Hard Core (Questions that Matter) X5,HashtagWHY (to be ctd...),Hi · My Name Is (Not Celine Dion) - Vol02 EPx11 - SHOWsutra Dubby Grass Burlesque Edition,Hold the Mic · Babe  EP X7 | Soul Prayer Lullabies,How to Help a Bible Bro Grow Up · In the name of Religious Freedom,Idiocracy Now ✪ QUACKsutra EPx10,Ironic Moronic Eugenics ☤ What Happens When KNOWsutra & BLOWsutra Make a Baby,Jolly Poo - EPx15 VOL. 01 - Banjo Blues BLOWsutra,Just Be EP X7 | Vocal Honey Audio Ideals,Kindness Matters - Human Life Soundtrack EP,Lightly · My Darling ✦ FLOWsutra (Fly Like Water) BANJO EPx5,MAKA MAKA EPx7 ⭐︎ MAxA Series · Vol. 4,Male Fantasies • CheekySUTRA EPx6 VOL. 02,MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,MAxA Alphabet Series Compilation - Make America Humane · Kind · Safe · Smart · etcetera Alright?!,New Normalcy (Planet Earth to Higher Grounds) EP x7,Nietzsche's Gift (They Muddy the Water to Make it Look Deep) - KNOWsutra EPx13 Vol. 5,Oh · Freedom EP x10 ♛ BLUESsutra (Public Domain Lyrics),Okey Dokey · No It's Not Ξ EPx5 Ξ LOFIsutra,Pedo Nation ★ Felon Nation Redux ★ BLOWsutra EPx14,Poem (I wanted to be · basically) ℘ EPx14 VOL.01,Poetry Matters ☰ BANJOsutra EPx2,Pro-life means what · honey?,Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02,Question di Kingdom ✰ Ragga DUBsutra EPx10,Reason over Reverence (No need for God) ☷ KNOWsutra EPx6,RUN (now · if you can),Second Hand Smoke (of) Arrogant Hearts - BLOWsutra EGO Therapy EPx6,Segggsting • SHOWsutra EPx6 • French Burlesque Jazz Cabaret,Shades of Fools EPx9,Tell the Truth EP x4 BLUESsutra,The Dystopian Quiz Song ★ EPx15 ★ Acoustic SOULsutra,They Muddy the Waters (aka Nietzsche's Gift) EPx5 VOL. 04,Trump Derangement Syndrome ™ EPx7,Untamed EP X3,Wet (Prickly) Peaches vol.2,Who's Your Vladdy? EPx10 ☿ BLOWsutra World Peace Fusion Indie,Why Trust an Old · Mean Religion? EPx9 VOL. 01"
BLOWsutra,https://soundcloud.com/bananasutra/sets/sutrablow,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",416,237670,2237,23:31:26,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,sutra (all),,,"A stroll down history’s lane ☆ KNOWsutra ☆ EPx6 Vol. 1,All the -Isms | BLOWsutra EPx7,Because the Light ☉ EPx4 VOL.01,Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,Bloom Past Doom - Vol. 2 · 2 songs EPx7 - BLOWsutra (Revolution Ring Series) Fusion Jazz,Crimina/els EP,DEFY (Vol 2) - 3 Songs EPx6 - BLOWsutra Revolution Ring LoFi Jazz Fusion,DEFY ✰ 3 Songs EPx7 ✰ BLOWsutra Jazzy Folk Lo-Fi BLUES,Double Standards EPx3 VOL. 1 • BURLESQUEsutra,Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,EGO's Masquerade • EPx4 • BLOWsutra Tzigane Trip Hop Lo-Fi INDIE,Ethical Paradox (Bertrand Undone),Grifters • BLOWsutra (Apes Gone Wrong) EPx14,Hereby · I Cry ☠ BLOWsutra EPx5,Hey · Creeps • EPx20 • BLOWsutra Ego Gone Loco,Hey · You ✖ EPx8 ✖ BLOWsutra Indie Punk ROCK,If We Had But(t) The Truth • Vol. 2 EPx22 • BLOWsutra (Censored) Epstein Etcetera Soundtrack,Ironic Moronic Eugenics ☤ What Happens When KNOWsutra & BLOWsutra Make a Baby,Jolly Poo - EPx15 VOL. 01 - Banjo Blues BLOWsutra,L'Accordéon de l'Ignorance EP X9,Le Système EP MIX X16 | Bluesy French Jazz,MAHA (Make America Humane Again) ☆ VOL.2 EPx6 ☆ BLOWsutra (MAxA Series) Psychedelic Trip Hop,Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,Male Fantasies - bananasutra EPx2 Vol. 03,MAMA-B-C (Make America Mine Achtung Encore) • BLOWsutra MAxA Series EPx3,MAMA-B-C (Make America Mine Achtung) • BLOWsutra MAxA Series EPx8,MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,MAxA Alphabet Series Compilation - Make America Humane · Kind · Safe · Smart · etcetera Alright?!,Mind the Felon EP X5 | JAZZ LOFI : Psychedelic Paradox Soul Chanson,No Fear · My Dear ❢ BLOWsutra Revolution Ring Jazz EPx19,Oh · Freedom EP x10 ♛ BLUESsutra (Public Domain Lyrics),Okey Dokey · No It's Not Ξ EPx5 Ξ LOFIsutra,Project 2-0-2-5 (Explicit Fascism Advisory) • Pray for Murica SOULsutra EPx7,Question the Nation • EPx10 • BLOWsutra Psychedelic Dub Revolution,RHINOCEROSS ♦ EPx7 ♦ BLOWsutra Surreal Real Poetry,Rise Up · You Naked Peoples (Freedom Rings) ☆ BLOWsutra Victor Hugo Revolution Song,RUN (now · if you can),Second Hand Smoke (of) Arrogant Hearts - BLOWsutra EGO Therapy EPx6,Serial BLOWerrr ✰ RAGGA DUBsutra,Shady Fools (Oh Can’t You See?) • Vol. 2 EPx9 • BLOWsutra Ego Gone Loco LoFi Burlesque,Sidération - The Sky Stood Still - EPx6 VOL. 2 of 4,Spit Back The Lies • BLOWsutra (Revolution Ring) EPx20,SS Means Sacred Sp3rm ☠ BLOWsutra EPx19,Stymied Felon goes Stymy Stymy Yuck Encore - Freee Bonus EPx2 VOL.02,Stymy Stymy Yuck : A Story of Old Bastards - EPx5 VOL.1 - DUBsutra,The Accordion of Ignorance EP X4,The Echo Song Song ☭ Vladimir Vysotsky - EPx6  English Cover ☭ BLOWsutra Gipsy Trip Hop Trip,They Call It Freedom (Oh Hi · Sweet Honey Bun) ✯ BLOWsutra (Revolt Now) EPx11,They Muddy the Waters (aka Nietzsche's Gift) EPx5 VOL. 04,This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream,Time for Rebel Romance ☆ EPx6 ☆ BLOWsutra (Revolt Now) Cabaret,Trust No One EP x3 VOL.1 ☆ BLOWsutra Alternative Indie ROCK,What It's About - Blues Dub Murica Mantra EPx7,What It's About • Vol. 02 EPx6 • BLOWsutra Revolution Ring,What's F-A-S-C-I-S-T? EPx8 VOL. 1 ☆ BLOWsutra JAZZ FOLK Fusion,Where Hope Expires ℧ EPx8 VOL.02,Who's Your Vladdy? EPx10 ☿ BLOWsutra World Peace Fusion Indie,Who's Your Vladdy? EPx2 VOL.02 ☿ BLOWsutra World Peace LOFI + ROCK,Woke 'em Whacks EPx4 : BLUES & DUBsutra (Music Therapy)"
BLOWsutra : APES (gone wrong),https://soundcloud.com/bananasutra/sets/blowsutra-apes-gone-wrong,BLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,MANTRA,ROCK",25,12028,109,1:24:53,https://i1.sndcdn.com/artworks-tJXDrinLqIXiRhrv-9pyIzQ-t500x500.jpg,sutra,checked,G-02-APES,"Crimina/els EP,Double Standards EPx3 VOL. 1 • BURLESQUEsutra,If We Had But(t) The Truth ☲ Easterican Profanities EPx5 ☲ QUACKsutra,Mass Media Freakshow EPx13 VOL.02 ⭐︎ Terrence MCKenna KNOWs ⭐︎ Burlesque or Snooze?,New Normalcy (Planet Earth to Higher Grounds) EP x7,No · I'm Not Being Political 🇺🇸 KNOWsutra Indie Dub EPx15,Okey Dokey · No It's Not Ξ EPx5 Ξ LOFIsutra,Ordo Amoris in Decay ♡ GROWsutra EPx6,RHINOCEROSS ♦ EPx7 ♦ BLOWsutra Surreal Real Poetry,Serial BLOWerrr ✰ RAGGA DUBsutra,The Accordion of Ignorance EP X4,The Dystopian Quiz Song ★ EPx15 ★ Acoustic SOULsutra,Waldo's Fascist Tango EPx3 VOL. 1 • Burlesque JAZZ"
BLOWsutra : CENSOR(ed),https://soundcloud.com/bananasutra/sets/blowsutra-censor-ed,BLOWsutra,"BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",18,16770,179,55:38,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,sutra,checked,G-02-CENS,"If We Had But(t) The Truth • Vol. 2 EPx22 • BLOWsutra (Censored) Epstein Etcetera Soundtrack,Le Système EP MIX X16 | Bluesy French Jazz,Men-Oh-Pause 🩸 KNOWsutra EPx14,Read Me Harder (BB is for Banned Books) ☆ SHOWsutra Side A+B EPx19,Some Truths (Are Harder to Swallow) EPx7,SS Means Sacred Sp3rm ☠ BLOWsutra EPx19,This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream,What's F-A-S-C-I-S-T? EPx8 VOL. 1 ☆ BLOWsutra JAZZ FOLK Fusion,Why We Can't Be Brave? ☷ GROWsutra (Censored) Cello EPx8"
BLOWsutra : EGO (gone loco),https://soundcloud.com/bananasutra/sets/knowsutra-ego-gone-loco,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",36,30817,343,2:01:22,https://i1.sndcdn.com/artworks-qfOVhmHG1WJJqjc9-k1w2VA-t500x500.png,sutra,checked,G-02-EGO,"All the -Isms | BLOWsutra EPx7,Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,EGO's Masquerade • EPx4 • BLOWsutra Tzigane Trip Hop Lo-Fi INDIE,Hey · Creeps • EPx20 • BLOWsutra Ego Gone Loco,Hey · You ✖ EPx8 ✖ BLOWsutra Indie Punk ROCK,Ironic Moronic Eugenics ☤ What Happens When KNOWsutra & BLOWsutra Make a Baby,Jolly Poo - EPx15 VOL. 01 - Banjo Blues BLOWsutra,Male Fantasies - bananasutra EPx2 Vol. 03,Muddy Waters EP,Nietzsche's Gift (They Muddy the Water to Make it Look Deep) - KNOWsutra EPx13 Vol. 5,Second Hand Smoke (of) Arrogant Hearts - BLOWsutra EGO Therapy EPx6,They Muddy the Waters (aka Nietzsche's Gift) EPx5 VOL. 04,Trust No One EP x3 VOL.1 ☆ BLOWsutra Alternative Indie ROCK,Where Hope Expires ℧ EPx8 VOL.02"
BLOWsutra : MAxA Series,https://soundcloud.com/bananasutra/sets/blowsutra-maxa-series,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE",14,12191,114,49:16,https://i1.sndcdn.com/artworks-uDzqzbtn80lOeo3H-hV475g-t500x500.png,sutra,checked,G-02-MAXA,"MAKA MAKA EPx7 ⭐︎ MAxA Series · Vol. 4,Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,MAMA-B-C (Make America Mine Achtung) • BLOWsutra MAxA Series EPx8,MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,MAxA Alphabet Series Compilation - Make America Humane · Kind · Safe · Smart · etcetera Alright?!"
BLOWsutra : REVOLT (now),https://soundcloud.com/bananasutra/sets/blowsutra-revolt-now,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",36,22719,256,1:59:19,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png,sutra,checked,G-02-REVO,"A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever,A Man's A Man for A' That - VOL. 01 - Revolution Forever,Because the Light ☉ EPx4 VOL.01,Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,DEFY ✰ 3 Songs EPx7 ✰ BLOWsutra Jazzy Folk Lo-Fi BLUES,Do Panic Now ✝ GROWsutra EPx13,No Fear · My Dear ❢ BLOWsutra Revolution Ring Jazz EPx19,Oh · Freedom EP x10 ♛ BLUESsutra (Public Domain Lyrics),Oy · We Care 🦆 QUACKsutra Psychedelic Punk Rock Mantra EPx4,RUN (now · if you can),Sidération - Spoken Words Intro - EPx3 VOL. 1 of 4,Sidération - The Sky Stood Still - EPx6 VOL. 2 of 4,Sidération's Calling - White House's Burning - EPx13 Vol 4 of 4,Thank you · Mister Paine - American Accountability Revolution Blues EPx3,The Echo Song Song ☭ Vladimir Vysotsky - EPx6  English Cover ☭ BLOWsutra Gipsy Trip Hop Trip,The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover),They Call It Freedom (Oh Hi · Sweet Honey Bun) ✯ BLOWsutra (Revolt Now) EPx11,Time for Rebel Romance ☆ EPx6 ☆ BLOWsutra (Revolt Now) Cabaret,We Live Not By Lies ⚬ EPx12 ⚬ GROWsutra Revolution Ring"
BLUESsutra,https://soundcloud.com/bananasutra/sets/bluessutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",187,91015,1022,10:39:02,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,genre (all),,G-00-BLUES,"AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,Best Teacher Award · in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra,Bloom Past Doom - Vol. 2 · 2 songs EPx7 - BLOWsutra (Revolution Ring Series) Fusion Jazz,Cassandra’s Lullaby • KNOWsutra EPx11 World,Daddy's a Creep ⚞  P3d0 T-Shirts ON SALE ⚟ BLOWsutra EPx4,DEFY ✰ 3 Songs EPx7 ✰ BLOWsutra Jazzy Folk Lo-Fi BLUES,Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas,Easy (Death Is Nothing At All) ❣ BOWsutra EPx9,Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,Ego Ain't Your Amigo ⭐︎ EPx14 VOL. 01 ⭐︎ True Tales of BLUESsutra,En Vrai · On Est Tous Frères ䷁ FRENCH BLUESsutra EPx5,Everybody Knows ✔ Vol. 03 - EPx7 ✔ KNOWsutra Gipsy Trip Hop Truth Prayer Dream,Foolish Goldfish (Forever) ❃ Vol. 02 EPx15 ❃ KNOWsutra Peace (Not War),Freee · La Fille • French SHOWsutra Psychedelic EPx10,Gladys in Sonderland EPx14 • SHOWsutra Psychedelic Gipsy Dream,Grifters • BLOWsutra (Apes Gone Wrong) EPx14,Hammy On Clyde ✪ SHOWsutra EPx8,Hard Core (Questions that Matter) X5,Hello · Oh No • EPx16 • GROWsutra Psychedelic Logic Harmonics,I Ain't No Christian (No Holy Fool) ♥ EPx4 VOL.02,If We Had But(t) The Truth • Vol. 2 EPx22 • BLOWsutra (Censored) Epstein Etcetera Soundtrack,If We Had But(t) The Truth ☲ Easterican Profanities EPx5 ☲ QUACKsutra,Ironic Moronic Eugenics ☤ What Happens When KNOWsutra & BLOWsutra Make a Baby,It's War · My Friend ☳ QUACKsutra EPx15,Jacques Brel : French EPx9 : GLOWsutra Burlesque Indie Blues Gratitude POET(ry),Jealousy (not for me) ♡ GROWsutra EPx22,Jolly Poo - EPx15 VOL. 01 - Banjo Blues BLOWsutra,Joseph Campbell's Truth Metaphors ☷ KNOWsutra EPx12,Kindness Matters - Human Life Soundtrack EP,Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,MAHA (Make America Humane Again) ☆ VOL.2 EPx6 ☆ BLOWsutra (MAxA Series) Psychedelic Trip Hop,MAKA MAKA EPx7 ⭐︎ MAxA Series · Vol. 4,MAMA-B-C (Make America Mine Achtung Encore) • BLOWsutra MAxA Series EPx3,MAMA-B-C (Make America Mine Achtung) • BLOWsutra MAxA Series EPx8,MAxA Alphabet Series Compilation - Make America Humane · Kind · Safe · Smart · etcetera Alright?!,Men-Oh-Pause 🩸 KNOWsutra EPx14,My Quest • EPx6 Vol. 2 • GLOWsutra Jacques Brel Dream,No Fear · My Dear ❢ BLOWsutra Revolution Ring Jazz EPx19,Oh · Freedom EP x10 ♛ BLUESsutra (Public Domain Lyrics),Oh · Martine ❃ French GLOW+BOWsutra ❃ Side A+B EPx28,Pedo Nation ★ Felon Nation Redux ★ BLOWsutra EPx14,Poem (I wanted to be · basically) ℘ EPx14 VOL.01,Pro-life means what · honey?,Project 2-0-2-5 (Explicit Fascism Advisory) • Pray for Murica SOULsutra EPx7,Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02,Question the Nation • EPx10 • BLOWsutra Psychedelic Dub Revolution,Rainbows in the Clouds • GLOWsutra Dub LoFi Blues,Read Me Harder (BB is for Banned Books) ☆ SHOWsutra Side A+B EPx19,Reason over Reverence (No need for God) ☷ KNOWsutra EPx6,RHINOCEROSS ♦ EPx7 ♦ BLOWsutra Surreal Real Poetry,RUN (now · if you can),Second Hand Smoke (of) Arrogant Hearts - BLOWsutra EGO Therapy EPx6,Shades of Fools EPx9,Sidération - The Sky Stood Still - EPx6 VOL. 2 of 4,Sidération Blues - A Song of Wrong - EPx7 Vol 3 of 4,Sing Your Own Gospel • Vol. 2 EPx7 • GROWsutra (God · Etc) Revolutionary Gipsy JAZZ,So · What Is Racism? KNOWsutra Gone Banana EPx17,Spit Back The Lies • BLOWsutra (Revolution Ring) EPx20,SS Means Sacred Sp3rm ☠ BLOWsutra EPx19,Tell The Truth (encore) KNOWsutra EPx9 Vol. 04,Tell the Truth EP x4 BLUESsutra,Thank you · Mister Paine - American Accountability Revolution Blues EPx3,The Accordion of Ignorance EP X4,The Dystopian Quiz Song ★ EPx15 ★ Acoustic SOULsutra,The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover),The Great Naked King • SHOWsutra Psychedelick Fools Cabaret EPx30,The Invisible Man in the Sky (a song inspired by George Carlin) EPx8 VOL.01,The Love of a Dove ☩ EPx18 ☩ GROWsutra Peace Fusion Prayer,There's No Prayer Like Desire • KNOWsutra But(t) Why EPx4,They Call It Freedom (Oh Hi · Sweet Honey Bun) ✯ BLOWsutra (Revolt Now) EPx11,Trump Derangement Syndrome ™ EPx7,Tune in the Tender ☲ #GROWsutra EPx9,Two Things · Darling • EPx11 • KNOWsutra (Bertrand) Conscious Gipsy LoFi Blues INDIE,Untamed EP X3,Wet (Prickly) Peaches vol.2,What It's About - Blues Dub Murica Mantra EPx7,Why Trust an Old · Mean Religion? EPx9 VOL. 01,Why You Lie (to the People's Face) EP x7 ☠ QUACKsutra,Woke 'em Whacks EPx4 : BLUES & DUBsutra (Music Therapy)"
BOWsutra : (Thank) Dogs,https://soundcloud.com/bananasutra/sets/bowsutra-thank-dogs,SHOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,ROCK",10,2193,30,34:33,https://i1.sndcdn.com/artworks-safSzuvAHiwvn0LF-0u5a3Q-t500x500.png,sutra,checked,G-07-DOGS,"Best Teacher Award · in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra,Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,Hammy On Clyde ✪ SHOWsutra EPx8,Sutra of Immanence - FLOWsutra Dog Poetry - Jazz & Dub EPx3"
BOWsutra : DEATH (is nothing),https://soundcloud.com/bananasutra/sets/bowsutra-death-is-nothing,BOWsutra,"BLUES,DUB,INDIE,JAZZ",9,5588,63,27:30,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t500x500.png,sutra,checked,G-07-DEAT,"Best Teacher Award · in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra,Darling EP,Easy (Death Is Nothing At All) ❣ BOWsutra EPx9,Oh · Martine ❃ French GLOW+BOWsutra ❃ Side A+B EPx28"
