songbook,url_slug_songbook,url_songbook_locked,status,songbook_type,songbook_in_app,landr_url,sutras,secondary_sutra,topics_primary,description,songbook_id,sutra_id_rollup,songbook_art_url,sc_playlist_url
Ask: BERTRAND (knows),ask-bertrand-knows,checked,OPEN,sutra,checked,https://app.landr.com/library/folder/1a47b22e-ab07-44cc-bbcd-5601124a2442,KNOWsutra,SHOWsutra,WISDOM,"Bertrand Russell walks into a bar, orders a paradox, and starts a philosophical fight club. Songs for the ethically curious.",G-01-BERT,01-KNOW,https://i1.sndcdn.com/artworks-oJ9Fh72QQzfgiRgF-mSFydg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-bertrand-mon-cheri
Ask: PEACE (not war),ask-peace-not-war,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/00f366cd-196d-4488-9946-84f60301741b,KNOWsutra,BLOWsutra,PEACE,"Songs in the name of history, for the lovers, and everyone who refuses to unsee patterns of deceit and abuse. Peace is not a default. It's a practice.",G-01-PEAC,01-KNOW,https://i1.sndcdn.com/artworks-4w582El0x5oIrs8P-HzEPOQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-peace-not-war
Ask: (Naked) TRUTH,ask-naked-truth,checked,OPEN,sutra,checked,https://app.landr.com/library/folder/8708b7a1-8aa6-4818-ae64-95562b304b6c,KNOWsutra,BLOWsutra,TRUTH,"The truth is agnostic. Honesty is brave, selfless. And it doesn't care if you're embarrassed. Songs asking the questions most would rather forget in the name of personal comfort, and power games.",G-01-TRUT,01-KNOW,https://i1.sndcdn.com/artworks-f66ByNzPT9uoPEaI-NO5RcQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsura-naked-truth
Ask: But(t) WHY,ask-butt-why,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/7fb23bd4-9349-4e93-9d1e-3a2c29251e3e,KNOWsutra,GROWsutra,WISDOM,"One question. Socrates asked it, they killed him for it. We're still asking anyway.",G-01-WHY,01-KNOW,https://i1.sndcdn.com/artworks-ZPm3MIrvf9zymSnp-CfTzsw-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-but-t-why
Speak: APES (gone wrong),speak-apes-gone-wrong,checked,OPEN,sutra,checked,https://app.landr.com/library/folder/818c0334-195e-4b77-89ac-3d837bfa64f4,BLOWsutra,SHOWsutra,INJUSTICE,"Grifters, criminals, idiocrats. What happens when the apes take the wheel? Many songs on the subject... none of them wrong.",G-02-APES,02-BLOW,https://i1.sndcdn.com/artworks-5bVU3160At7As99u-kxcaPw-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-apes-gone-wrong
Speak: CENSOR(ed),speak-censored,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/d083c5e1-0879-4a7b-a050-c9ef83cd3fa0,BLOWsutra,KNOWsutra,INJUSTICE,"What they banned, deleted, redacted, and rewrote. Songs about the inconvenient truths that survive anyway.",G-02-CENS,02-BLOW,https://i1.sndcdn.com/artworks-dthPPqfZhiyUkEwu-xSQQFA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-censor-ed
Quack: FOTUS Circus,quack-fotus-circus,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/5b2eec40-a948-45ef-81c4-77578edf6d53,QUACKsutra,BLOWsutra,POOLITICS,"Step right up. The FOTUS is in the ring, grotesque clowns are running the republic, and the entrance music is ubuesque. Enjoy.",G-02-CIRC,02-QUACK,https://i1.sndcdn.com/artworks-JWP4i7BJc28GfvPW-mmFU9Q-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/quacksutra-fotus-circus
Quack: DUCK (shady),quack-duck-shady,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/f4756dd1-ebf9-422c-a75b-8019e962bb54,QUACKsutra,SHOWsutra,POOLITICS,Meet Duck Shady. He's so much dumber and meaner than Slim Shady. And not funny at all.,G-02-DUC,02-QUACK,https://i1.sndcdn.com/artworks-o0qz0ucmBMzsR5UL-eS6HrA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/quacksutra-duck-shady
Speak: EGO (gone loco),speak-ego-gone-loco,checked,OPEN,sutra,checked,https://app.landr.com/library/folder/9b69a27e-7c74-4c63-bb71-f0deeb968db3,BLOWsutra,KNOWsutra,EGO,"Narcissistic Personality Disorder in music. Songs about the people who confuse themselves with the whole universe, and the rest of us paying the tab.",G-02-EGO,02-BLOW,https://i1.sndcdn.com/artworks-2fgVK1GEubaAV6QP-rbKhfg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/knowsutra-ego-gone-loco
Quack: MAxxxA Saga,quack-maxa-saga,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/7378a42d-7956-4d24-9252-cbc6787ac170,QUACKsutra,KNOWsutra,POOLITICS,"MAGA, MAHA, MAKA, MAMA, MASA, MAWA. Six acronyms. One burning question: make America what, exactly?",G-02-MAXA,02-QUACK,https://i1.sndcdn.com/artworks-gyBohcCG6YVAXsCO-qAFi8g-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-maxa-series
Speak: REVOLT (now),speak-revolt-now,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/f323efc0-0c2f-4a95-9d28-236633fb0c4e,BLOWsutra,GROWsutra,INJUSTICE,From Robert Burns to Victor Hugo to right now. The long arc of justice has always needed a banjo. So many songs. Don't wait...,G-02-REVO,02-BLOW,https://i1.sndcdn.com/artworks-DQz78hEwZB0tJMxO-l4I40Q-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-revolt-now
Play: B.J. (is for banana jokes),play-b-j,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/86cd4b13-2e96-4f63-a913-f19e0cf63c0e,SHOWsutra,KNOWsutra,FOOLERY,Two songs walk into a bar. One's a banana joke. The other's wearing a mask. Still better than most political discourse.,G-03-BJ,03-SHOW,https://i1.sndcdn.com/artworks-zvxXEnN1nhEehvpK-ABzMFA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/showsutra-b-j-is-for-banana
Play: FANANA (party),play-fanana-club,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/5371e7c6-75fa-40ab-adbb-0da70af825c9,SHOWsutra,GLOWsutra,FOOLERY,"Many songs, one invitation: come dressed as your most hilarious self. Featuring: dirty words, creepypastas, Bo Burnham covers, and feathers. Lots of feathers.",G-03-FANA,03-SHOW,https://i1.sndcdn.com/artworks-SjuzUkSUCZpiPoz4-LnprBQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/showsutra-fanana-club
Play: (Be) The Fool,play-be-the-fool,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/2faa814c-2b3e-4a57-9408-417ca3a79913,SHOWsutra,GROWsutra,FOOLERY,"The fool is not stupid. The fool is free. Songs in praise of cracked things, wiggling things, and the holy comedy of being human.",G-03-FOOL,03-SHOW,https://i1.sndcdn.com/artworks-GXTKcXAuyMmSbOsd-dz5iYQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/showsutra-shades-of-fools
Dare: DARE (to care),dare-dare-to-care,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/f1f05f7a-043b-4815-87d0-0cd66f201610,GROWsutra,GLOWsutra,WISDOM,Songs about the one muscle nobody trains: the courage to actually give a damn. About truth. About others. About yourself.,G-04-DARE,04-GROW,https://i1.sndcdn.com/artworks-pWOrhsGFerHV4tjv-qenNsg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/growsutra-dare-to-care
Dare: GOD (etc.),dare-god-etc,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/77d1539c-ec9b-4bb6-9c0f-a574a8dd5719,GROWsutra,KNOWsutra,RELIGION,"Honest, curious, and chronically unimpressed by official doctrine. Songs asking God (etc.) and his sheeples the questions the pew wouldn't permit.",G-04-GOD,04-GROW,https://i1.sndcdn.com/artworks-GR9JyL5n8yqk0dDg-rUqw1g-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/growsutra-god-etc
Dare: KIND(ness),dare-kindness,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/66ebc85f-45e2-4b68-ad63-d8410315420b,GROWsutra,GLOWsutra,BEAUTY,"Kindness: it's not about being nice, the soft kind with a bow on it kind of kind, it's about being clear, aka playing fair. Songs for the brave loving ones. Blessed be infinite players.",G-04-KIND,04-GROW,https://i1.sndcdn.com/artworks-b1Fx0OuFqdHgE7WF-fVAj1Q-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/growsutra-kind-ness
Trust: FLY (like water),trust-fly-like-water,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/452dce76-2d5a-4d6d-9b32-9693e3e6d0bc,FLOWsutra,BOWsutra,PEACE,"Bruce Lee, Tao, and a lot of trusting the river. Songs about the radical art of trust, the flow of letting go, without disappearing.",G-05-FLY,05-FLOW,https://i1.sndcdn.com/artworks-2pHqakX9GOVp97hp-EU7MrQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/flowsutra-fly-like-water
Trust: WET (my friend),trust-wet-my-friend,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/0d50fbc2-a1b6-4c6c-aa7e-fae84bf363ea,FLOWsutra,GLOWsutra,BEAUTY,"Songs where the pulse fasten, slowly but(t) surely. Sensual, tender, unapologetically honest. #pleasepardonmyfrench",G-05-WET,05-FLOW,https://i1.sndcdn.com/artworks-lcLXcYSTLwU1vVWx-8umDBA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/flowsutra-wet-my-friend
Bless: RAINBOWS (in my clouds),bless-rainbows-in-my-cloud,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/c06a0d3d-fd9e-40a8-840a-ad6501720903,GLOWsutra,BOWsutra,BEAUTY,"Because gratitude is the best! All the good things: toast, poppies, Jacques Brel, and the audacity to be delighted by all of it.",G-06-CLOU,06-GLOW,https://i1.sndcdn.com/artworks-57vIPCGJ4OIaDUaa-UFslNg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/glowsutra-rainbows-in-my
Bless: POET(ry),bless-poetry,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/6e0ccb1a-6fea-45ab-a6c4-50e375a72d9d,GLOWsutra,FLOWsutra,BEAUTY,Songs for the ones who believe words have wonderful meaning. Poetry isn't decoration. It's the thing that makes us human.,G-06-POET,06-GLOW,https://i1.sndcdn.com/artworks-UVBWmXWPLc9H0Ov3-HwlYIg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/glowsutra-poet-ry
Bow: Death (is nothing),bow-death-is-nothing,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/fb1be50e-3ed1-4ddd-bde6-91f334d61900,BOWsutra,GLOWsutra,PEACE,"Death is nothing at all. Henry Scott Holland said so... gently, without lying, without rushing.",G-07-DEAT,07-BOW,https://i1.sndcdn.com/artworks-pJs7anXy4aAFCFrv-isxj5A-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/bowsutra-death-is-nothing
