rank,genre,track_title,sutra,duration,play_count,like_count,playlist_count,score,secondary_genres,ep_title,sc_url
1,DUB,[06] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Bridge Poetry Folk DUB,BLOWsutra,4:44,3403,53,3,6353,,Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,https://soundcloud.com/bananasutra/06-ego-aint-your-amigo-blowsutra-ego-gone-loco-psychedelic-bridge-poetry-folk-dub-6
2,DUB,[02] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) La Poesita Psychedelic Indie Flamenco DUB,BLOWsutra,4:00,3092,42,3,5492,,Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,https://soundcloud.com/bananasutra/02-ego-aint-your-amigo-blowsutra-ego-gone-loco-la-poesita-psychedelic-indie-flamenco-dub-2
3,DUB,[05] Time for Rebel Romance ☆ BLOWsutra (Revolt Now) Accordion Ragga Burlesque DUB,BLOWsutra,3:05,2925,38,3,5125,"RAGGA,BURLESQUE",Time for Rebel Romance ☆ EPx6 ☆ BLOWsutra (Revolt Now) Cabaret,https://soundcloud.com/bananasutra/05-time-for-rebel-romance-blowsutra-revolt-now-accordion-ragga-burlesque-dub-5
4,DUB,"[11] Hello, Oh No • GROWsutra Psychedelic Queen of Authentic Dubby Folk Banjo BLUES",GROWsutra,3:28,2989,36,3,5089,"FOLK,BLUES",Hello · Oh No • EPx16 • GROWsutra Psychedelic Logic Harmonics,https://soundcloud.com/bananasutra/11-hello-oh-no-growsutra-psychedelic-queen-of-authentic-dubby-folk-banjo-blues-11
5,DUB,"[07] Two Things, Darling • KNOWsutra Bertrand (Knows) La Poesita Gipsy Flamenco Dub INDIE",KNOWsutra,3:41,3018,32,3,4918,INDIE,Two Things · Darling • EPx11 • KNOWsutra (Bertrand) Conscious Gipsy LoFi Blues INDIE,https://soundcloud.com/bananasutra/07-two-things-darling-knowsutra-bertrand-knows-la-poesita-gipsy-flamenco-dub-indie-7
6,DUB,[10] Zero Sum • GROWsutra Psychedelick Gipsy Flamenco  Ragga Circus DUB,GROWsutra,2:42,2771,37,2,4821,RAGGA,Zero Sum (Zero Sean) • GROWsutra (Dare to Care) EPx22,https://soundcloud.com/bananasutra/10-zero-sum-growsutra-psychedelick-gipsy-flamenco-ragga-circus-dub-10
7,DUB,[05] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Bridge Poetry Folk DUB,BLOWsutra,4:39,2747,33,3,4697,,Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,https://soundcloud.com/bananasutra/05-ego-aint-your-amigo-blowsutra-ego-gone-loco-psychedelic-bridge-poetry-folk-dub-5
8,DUB,[08] Zero Sum • GROWsutra Psychedelick Folk Poetry Bridges The DUB,GROWsutra,4:48,2775,34,2,4675,,Zero Sum (Zero Sean) • GROWsutra (Dare to Care) EPx22,https://soundcloud.com/bananasutra/08-zero-sum-growsutra-psychedelick-folk-poetry-bridges-the-dub-8
9,DUB,[04] Reason over Reverence - They said bow down but we rise 2 - DUBsutra,KNOWsutra,2:49,2506,35,4,4656,,Question Di Kingdom EPx4 VOL.02,https://soundcloud.com/bananasutra/04-reason-over-reverence-they-said-bow-down-but-we-rise-2-dubsutra-4
10,DUB,[09] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,FLOWsutra,1:58,2689,28,2,4289,FOLK,Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,https://soundcloud.com/bananasutra/09-kiss-a-pulse-glowsutra-lucille-clifton-poetry-psychedelic-folk-bridges-the-dub-9
11,DUB,[07] Zero Sum • GROWsutra Psychedelick Folk Poetry Bridges The DUB,GROWsutra,4:17,2710,27,2,4260,,Zero Sum (Zero Sean) • GROWsutra (Dare to Care) EPx22,https://soundcloud.com/bananasutra/07-zero-sum-growsutra-psychedelick-folk-poetry-bridges-the-dub-7
12,DUB,[15] This Is My Quest • GROWsutra Psychedelic Poetry Bridges the DUB,GLOWsutra,4:12,2479,25,3,4029,,This Is My Quest • GROWsutra (Dare to Care) Dream EPx19,https://soundcloud.com/bananasutra/15-this-is-my-quest-growsutra-psychedelic-poetry-bridges-the-dub-15
13,DUB,Side A [08] If We Had But(t) The Truth • BLOWsutra (Censored) Folk Poetry on the Bridge DUB,BLOWsutra,3:09,2821,16,4,4021,,If We Had But(t) The Truth • Vol. 2 EPx22 • BLOWsutra (Censored) Epstein Etcetera Soundtrack,https://soundcloud.com/bananasutra/side-a-08-if-we-had-butt-the-truth-blowsutra-censored-folk-poetry-on-the-bridge-dub-8
14,DUB,[07] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,FLOWsutra,2:48,2541,24,2,3941,,Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,https://soundcloud.com/bananasutra/07-kiss-a-pulse-glowsutra-lucille-clifton-poetry-psychedelic-folk-bridges-the-dub-7
15,DUB,[06] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,FLOWsutra,4:19,2555,23,2,3905,FOLK,Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,https://soundcloud.com/bananasutra/06-kiss-a-pulse-glowsutra-lucille-clifton-poetry-psychedelic-folk-bridges-the-dub-6
16,DUB,"[01] So, What Is Racism? KNOWsutra She Wanna Know Jazzy LoFi DUB",KNOWsutra,3:17,2045,30,3,3845,,So · What Is Racism? KNOWsutra Gone Banana EPx17,https://soundcloud.com/bananasutra/01-so-what-is-racism-knowsutra-she-wanna-know-jazzy-lofi-dub-1
17,DUB,[13] Spit Back The Lies • BLOWsutra (Revolution Ring) Psychedelic Bruh Hip Hop Dub LOFI,BLOWsutra,2:34,2467,23,2,3817,LOFI,Spit Back The Lies • BLOWsutra (Revolution Ring) EPx20,https://soundcloud.com/bananasutra/13-spit-back-the-lies-blowsutra-revolution-ring-psychedelic-bruh-hip-hop-dub-lofi-13
18,DUB,[01] We Live Not By Lies - GROWsutra Gipsy Poetry DUB,GROWsutra,2:51,2313,25,2,3763,,We Live Not By Lies ⚬ EPx12 ⚬ GROWsutra Revolution Ring,https://soundcloud.com/bananasutra/01-we-live-not-by-lies-growsutra-gipsy-poetry-dub-1
