playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,artwork_lg_url,sc_playlist_type,scplaylist_in_app,songbook_id
BANJOsutra,https://soundcloud.com/bananasutra/sets/banjosutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",146,50593,426,7:38:00,https://i1.sndcdn.com/artworks-ROFUH45CVmzoeu8W-wCnnMA-t500x500.jpg,https://i1.sndcdn.com/artworks-ROFUH45CVmzoeu8W-wCnnMA-t1080x1080.jpg,genre (all),,
BLOWsutra,https://soundcloud.com/bananasutra/sets/sutrablow,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",416,239684,2252,23:31:26,https://i1.sndcdn.com/artworks-8VrcsratgHRdvlWi-DctPQQ-t500x500.jpg,https://i1.sndcdn.com/artworks-8VrcsratgHRdvlWi-DctPQQ-t1080x1080.jpg,sutra (all),,
BLOWsutra : APES (gone wrong),https://soundcloud.com/bananasutra/sets/blowsutra-apes-gone-wrong,BLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,MANTRA,ROCK",25,12057,109,1:24:53,https://i1.sndcdn.com/artworks-5bVU3160At7As99u-kxcaPw-t500x500.jpg,https://i1.sndcdn.com/artworks-5bVU3160At7As99u-kxcaPw-t1080x1080.jpg,sutra,checked,G-02-APES
BLOWsutra : CENSOR(ed),https://soundcloud.com/bananasutra/sets/blowsutra-censor-ed,BLOWsutra,"BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",18,16853,184,0:55:38,https://i1.sndcdn.com/artworks-dthPPqfZhiyUkEwu-xSQQFA-t500x500.jpg,https://i1.sndcdn.com/artworks-dthPPqfZhiyUkEwu-xSQQFA-t1080x1080.jpg,sutra,checked,G-02-CENS
BLOWsutra : EGO (gone loco),https://soundcloud.com/bananasutra/sets/knowsutra-ego-gone-loco,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",36,31162,346,2:01:22,https://i1.sndcdn.com/artworks-2fgVK1GEubaAV6QP-rbKhfg-t500x500.jpg,https://i1.sndcdn.com/artworks-2fgVK1GEubaAV6QP-rbKhfg-t1080x1080.jpg,sutra,checked,G-02-EGO
BLOWsutra : MAxA Series,https://soundcloud.com/bananasutra/sets/blowsutra-maxa-series,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE",14,12222,114,0:49:16,https://i1.sndcdn.com/artworks-gyBohcCG6YVAXsCO-qAFi8g-t500x500.jpg,https://i1.sndcdn.com/artworks-gyBohcCG6YVAXsCO-qAFi8g-t1080x1080.jpg,sutra,checked,G-02-MAXA
BLOWsutra : REVOLT (now),https://soundcloud.com/bananasutra/sets/blowsutra-revolt-now,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",36,22805,256,1:59:19,https://i1.sndcdn.com/artworks-DQz78hEwZB0tJMxO-l4I40Q-t500x500.jpg,https://i1.sndcdn.com/artworks-DQz78hEwZB0tJMxO-l4I40Q-t1080x1080.jpg,sutra,checked,G-02-REVO
BLUESsutra,https://soundcloud.com/bananasutra/sets/bluessutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",187,91531,1021,10:39:02,https://i1.sndcdn.com/artworks-YONCbgZm1q7Yv278-GdFhyQ-t500x500.jpg,https://i1.sndcdn.com/artworks-YONCbgZm1q7Yv278-GdFhyQ-t1080x1080.jpg,genre (all),,
BLUESsutra (Best Of),https://soundcloud.com/bananasutra/sets/bluessutra-best-of,,,18,40101,503,1:06:24,https://i1.sndcdn.com/artworks-cIB0NEtml8oty1Vy-wRu1Gw-t500x500.jpg,https://i1.sndcdn.com/artworks-cIB0NEtml8oty1Vy-wRu1Gw-t1080x1080.jpg,genre (best of),,G-00-BLUES
BOWsutra : (Thank) Dogs,https://soundcloud.com/bananasutra/sets/bowsutra-thank-dogs,SHOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,ROCK",10,2195,30,0:34:33,https://i1.sndcdn.com/artworks-Y8QjM6vfVoY5XyEi-axwodQ-t500x500.jpg,https://i1.sndcdn.com/artworks-Y8QjM6vfVoY5XyEi-axwodQ-t1080x1080.jpg,sutra,checked,G-07-DOGS
BOWsutra : DEATH (is nothing),https://soundcloud.com/bananasutra/sets/bowsutra-death-is-nothing,BOWsutra,"BLUES,DUB,INDIE,JAZZ",9,5593,63,0:27:30,https://i1.sndcdn.com/artworks-pJs7anXy4aAFCFrv-isxj5A-t500x500.jpg,https://i1.sndcdn.com/artworks-pJs7anXy4aAFCFrv-isxj5A-t1080x1080.jpg,sutra,checked,G-07-DEAT
BOWsutra the last of 7 sutras · it's divine <3,https://soundcloud.com/bananasutra/sets/bowsutra,BOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",67,25046,282,2:59:08,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t500x500.png,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t1080x1080.png,sutra (all),,
BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/burlesquesutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",296,121159,1103,16:13:00,https://i1.sndcdn.com/artworks-qf8LWHFrU1aA0x9C-4Ziiag-t500x500.jpg,https://i1.sndcdn.com/artworks-qf8LWHFrU1aA0x9C-4Ziiag-t1080x1080.jpg,genre (all),,
BURLESQUEsutra (Best Of),https://soundcloud.com/bananasutra/sets/burlesquesutra-best-of,,,22,46193,448,1:18:48,https://i1.sndcdn.com/artworks-n4WmFJexVLsKUShK-WpEC4A-t500x500.jpg,https://i1.sndcdn.com/artworks-n4WmFJexVLsKUShK-WpEC4A-t1080x1080.jpg,genre (best of),,G-00-BURL
