Track Title,Track Link,In Catalog?,Playlist Title,Playlist Link,Owner,Owner Profile,Owner Followers,Playlist Track Count,Playlist Duration (min),Playlist Likes,Playlist Reposts,Playlist Published,Playlist Last Updated,Scrape Date,Tier
[24] So Woken • GROWsutra (Kindness) Psychedelic Destiny Banjo BLUES,open,No,hot🔥,open,Даша Квитка,profile,0,17,48,0,0,2026-02-10,2026-07-08,2026-07-11,Niche/Emerging Curator
[16] So Woken • GROWsutra (Kindness) Poetry Bridges The DUB,open,No,Reggae,open,061Florian,profile,7,11,104,0,0,2025-06-26,2026-07-08,2026-07-11,Niche/Emerging Curator
[20] So Woken • GROWsutra (Kindness) Queen Of Authentic Dubby Banjo Folk BLUES,open,No,reggae 🇯🇲🍃,open,lindo,profile,0,10,43,0,0,2025-12-30,2026-07-08,2026-07-11,Niche/Emerging Curator
[20] So Woken • GROWsutra (Kindness) Queen Of Authentic Dubby Banjo Folk BLUES,open,No,santee,open,Harvey Tupamahu,profile,5,10,33,0,0,2026-07-08,2026-07-08,2026-07-11,Niche/Emerging Curator
[25] So Woken • GROWsutra (Kindness) Psychedelic Destiny Banjo BLUES,open,No,chèr rais,open,Ayman ElSherbini,profile,14,22,661,0,0,2026-06-07,2026-07-11,2026-07-11,Niche/Emerging Curator (Repeat)
[04] So Woken • GROWsutra (Kindness) Acoustic Gipsy Dream World JAZZ,open,No,🍷🚬✨,open,PUNZ,profile,108,11,42,1,0,2026-05-16,2026-07-11,2026-07-11,Priority Curator
[06] So Woken • GROWsutra (Kindness) Acoustic NeoSoul Piano Blues Indie JAZZ,open,No,☮️🌙,open,Olivia Houghton,profile,7,7,86,0,0,2026-07-08,2026-07-10,2026-07-11,Niche/Emerging Curator
[06] So Woken • GROWsutra (Kindness) Acoustic NeoSoul Piano Blues Indie JAZZ,open,No,Kafe,open,Amir Jfrii,profile,8,36,236,0,0,2025-08-18,2026-07-08,2026-07-11,Mid-size Playlist
[06] Can You Play Win-Win Games Or No • GROWsutra (Kindness Matters) Dubby Dub DUB,open,No,Revo,open,Josef,profile,173,157,827,0,0,2022-05-21,2026-07-08,2026-07-11,Mid-size Playlist (Repeat)
[04] But(t) Where Do Pigeons Go To Die • BOWsutra (Death Is Nothing) Queen Of Authentic Dubby FOLK,open,No,Spiritual Godo,open,Josef,profile,173,79,476,0,0,2024-01-17,2026-07-08,2026-07-11,Mid-size Playlist (Repeat)
[04] But(t) Where Do Pigeons Go To Die • BOWsutra (Death Is Nothing) Queen Of Authentic Dubby FOLK,open,No,Wiesen,open,Josef,profile,173,400,1492,0,0,2024-07-04,2026-07-08,2026-07-11,Generic Dump (low signal)
[04] But(t) Where Do Pigeons Go To Die • BOWsutra (Death Is Nothing) Queen Of Authentic Dubby FOLK,open,No,Präsentation Intro,open,Josef,profile,173,37,116,0,0,2022-03-12,2026-07-08,2026-07-11,Mid-size Playlist (Repeat)
[02] But(t) Where Do Pigeons Go To Die • BOWsutra (Death Is Nothing) Poetry Bridges the DUB,open,No,Plane,open,Fidgef8,profile,0,14,59,0,0,2026-07-06,2026-07-06,2026-07-11,Niche/Emerging Curator
[15] I Wanna Know • KNOWsutra (Peace Not War) Oh My Oh Why Accordion Cello INDIE,open,Yes,Low n Flow v2 (6/5/24 - 6/17/26),open,user788044104,profile,6,496,1685,1,0,2024-06-05,2026-07-09,2026-07-11,Generic Dump (low signal)
[15] I Wanna Know • KNOWsutra (Peace Not War) Oh My Oh Why Accordion Cello INDIE,open,Yes,bbq lounge,open,Prank Punk,profile,2,10,36,0,0,2026-07-09,2026-07-09,2026-07-11,Niche/Emerging Curator
[09] I Wanna Know • KNOWsutra (Peace Not War) NeoSoul R&B Piano Gospel INDIE,open,No,🎵,open,Sahar Karimpoor,profile,1,30,188,0,0,2026-07-09,2026-07-10,2026-07-11,Niche/Emerging Curator
[08] I Wanna Know • KNOWsutra (Peace Not War) NeoSoul R&B Piano Gospel INDIE,open,No,집합,open,bosang,profile,0,319,1654,0,0,2026-01-28,2026-07-10,2026-07-11,Generic Dump (low signal)
[05] I Wanna Know • KNOWsutra (Peace Not War) Avant-Garde Piano Cello Cabaret BURLESQUE,open,No,Summer 26,open,SuMo,profile,1,2,7,0,0,2026-07-03,2026-07-05,2026-07-11,Niche/Emerging Curator
