ep_title,lyrics_title,lyrics_id,sutra,ep_songbook_title,ep_total_tracks,total_plays,total_likes,plays_per_track,likes_per_track,ep_engagement_rate
Time for Rebel Romance ☆ EPx6 ☆ BLOWsutra (Revolt Now) Cabaret,Time For Rebel Romance,L-265,BLOWsutra,Speak: REVOLT (now),6,10867,94,1811.2,15.67,0.865
It's an Ethical Paradox • Vol. 2 EPx15 • KNOWsutra (Bertrand Knows) Gipsy Burlesque Jazz,It's An Ethical Paradox,L-116,KNOWsutra,Ask: BERTRAND (knows),15,22670,276,1511.3,18.4,1.2175
MAHA (Make America Humane Again) ☆ VOL.2 EPx6 ☆ BLOWsutra (MAxA Series) Psychedelic Trip Hop,MAHA (Make America Humane Again),L-149,QUACKsutra,Quack: MAxxxA Saga,6,9011,59,1501.8,9.83,0.6548
Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,Ego Ain't Your Amigo,L-68,BLOWsutra,Speak: EGO (gone loco),21,30504,320,1452.6,15.24,1.049
Win-Win After Midnight ⭐︎ FLOWsutra (Wet My Friend) Indie Folk EPx4,Win-Win After Midnight,L-345,FLOWsutra,Trust: WET (my friend),4,5635,76,1408.8,19.0,1.3487
No · I'm Not Being Political (circa 2026) ⚉ Vol. 2 EPx10 ⚉ BLOWsutra Quacks Gone Wrong,"No, I'm Not Being Political (CIRCA 2026)",L-169,GROWsutra,"Speak: APES (gone wrong),EP: Criminals · EP: Criminals,Ask: BERTRAND (knows) · Speak: APES (gone wrong),EP: Criminals,World: FRENCHsutra",10,13850,125,1385.0,12.5,0.9025
Okey Dokey · No It's Not Ξ EPx5 Ξ LOFIsutra,Okie Dokie (No It's Not),L-174,BLOWsutra,Speak: APES (gone wrong),5,6796,49,1359.2,9.8,0.721
This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream,What Dissent Looks Like Now,L-286,BLOWsutra,Speak: REVOLT (now),14,18043,153,1288.8,10.93,0.848
Tell The Truth (encore) KNOWsutra EPx9 Vol. 04,Tell The Truth,L-239,KNOWsutra,Ask: (Naked) TRUTH,9,11566,190,1285.1,21.11,1.6427
Camus Dit Oui • French GROWsutra Indie Jazz LoFi Dub EPx13,Camus Dit Oui,L-369,GROWsutra,Dare: KIND(ness),13,16350,149,1257.7,11.46,0.9113
Peace Matters More (The Only Wish Worth Making) 🪽 GROWsutra Birthday Wish Song,Peace Matters More,L-182,KNOWsutra,Ask: PEACE (not war),7,8617,78,1231.0,11.14,0.9052
Question Di Kingdom EPx4 VOL.02,Question Di Kingdom,L-199,KNOWsutra,Ask: BERTRAND (knows),4,4820,47,1205.0,11.75,0.9751
The Atheist Tango • Vol. 2 EPx12  •  GROWsutra (God · Etc) Conscious Gipsy LoFi Burlesque Jazz,The Atheist Tango,L-243,GROWsutra,Dare: GOD (etc.),12,14425,153,1202.1,12.75,1.0607
Rainbows in the Clouds • GLOWsutra Dub LoFi Blues,Rainbows in the Clouds,L-202,GLOWsutra,Bless: RAINBOWS (in my clouds),14,16783,188,1198.8,13.43,1.1202
Drop Di Baggage • FLOWsutra (Fly Like Water) Psychedelick Ragga Mama Ambient DUB EPx7,Drop Di Baggage,L-397,FLOWsutra,Trust: FLY (like water),7,8336,86,1190.9,12.29,1.0317
Zero Sum (Zero Sean) • GROWsutra (Dare to Care) EPx22,Zero Sum (Zero Sean),L-312,GROWsutra,Dare: DARE (to care),23,26290,270,1143.0,11.74,1.027
DEFY (Vol 2) - 3 Songs EPx6 - BLOWsutra Revolution Ring LoFi Jazz Fusion,,"L-219,L-275,L-177",BLOWsutra,"Speak: REVOLT (now),EP: DEFY",7,7833,52,1119.0,7.43,0.6639
Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,Kiss A Pulse,L-129,GLOWsutra,Trust: WET (my friend),16,17290,189,1080.6,11.81,1.0931
Please Pardon My French • SHOWsutra (Be The Fool) Vaudeville EPx12,Please Pardon My French,L-187,SHOWsutra,Play: (Be) The Fool,12,12702,100,1058.5,8.33,0.7873
The Sound Of Logic • KNOWsutra Psychedelick LoFi DUB EPx27,The Sound Of Logic,L-380,KNOWsutra,Ask: But(t) WHY,27,28543,263,1057.1,9.74,0.9214
This Is My Quest • GROWsutra (Dare to Care) Dream EPx19,This Is My Quest,L-263,GLOWsutra,Bless: RAINBOWS (in my clouds),19,19220,144,1011.6,7.58,0.7492
So · What Is Racism? KNOWsutra Gone Banana EPx17,"So, What Is Racism?",L-228,KNOWsutra,Ask: (Naked) TRUTH,17,16883,174,993.1,10.24,1.0306
Broken Whole (Vol. 02) • EPx16 • GROWsutra Psychedelick Banjo BLUES + FOLK + DUB,Broken Whole,L-346,GROWsutra,Dare: DARE (to care),16,15682,137,980.1,8.56,0.8736
Le Bal Des Salauds - French BLOWsutra Indie Gipsy Burlesque EPx9,Le Bal Des Salauds,L-134,BLOWsutra,"Speak: APES (gone wrong),World: FRENCHsutra",9,8795,90,977.2,10.0,1.0233
I Did the Math · and Everything is Stupid • SHOWsutra Snoopy Fanana Club EPx11,I Did The Math (Everything is Stupid),L-110,SHOWsutra,Play: FANANA (party),11,10735,109,975.9,9.91,1.0154
The Great Naked King • SHOWsutra Psychedelick Fools Cabaret EPx30,The Great Naked King,L-250,SHOWsutra,Play: (Be) The Fool,30,28897,333,963.2,11.1,1.1524
The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover),The Echo Song (Russian Edition),L-392,BLOWsutra,"World: RUSSIANsutra,Speak: REVOLT (now)",3,2886,34,962.0,11.33,1.1781
Sing Your Own Gospel • Vol. 2 EPx7 • GROWsutra (God · Etc) Revolutionary Gipsy JAZZ,Sing Your Own Gospel,L-227,GROWsutra,Dare: GOD (etc.),7,6708,96,958.3,13.71,1.4311
Seminal Bollocks - Merry Psychedelic GROWsutra (God Etc.) EPx10,Seminal Bollocks,L-214,GROWsutra,Dare: GOD (etc.),10,9478,78,947.8,7.8,0.823
Hard Core (Questions that Matter) X5,Hard Core,L-93,KNOWsutra,Ask: (Naked) TRUTH,5,4733,45,946.6,9.0,0.9508
We Live Not By Lies ⚬ EPx12 ⚬ GROWsutra Revolution Ring,We Live Not By Lies,L-282,GROWsutra,Dare: DARE (to care),12,11207,106,933.9,8.83,0.9458
So · What Is Racism • EPx9 Vol. 2 • KNOWsutra Gipsy Jazz + LoFi,"So, What Is Racism?",L-228,KNOWsutra,Ask: (Naked) TRUTH,9,8403,78,933.7,8.67,0.9282
MAMA-B-C (Make America Mine Achtung) • BLOWsutra MAxA Series EPx8,MAMA (Make America Mine Achtung),L-156,QUACKsutra,Quack: MAxxxA Saga,8,7225,41,903.1,5.12,0.5675
We're Tiny Specks · Right • BOWsutra,"We’re Tiny Specks, Right?",L-359,BOWsutra,Bow: Cosmic Bananas,11,9545,116,867.7,10.55,1.2153
Trauma Begets Trauma - KNOWsutra Peace (not War) Piano Kitten Truth EPx5,Trauma Begets Trauma,L-268,KNOWsutra,Ask: PEACE (not war),5,4332,34,866.4,6.8,0.7849
Bloom Past Doom - Vol. 2 · 2 songs EPx7 - BLOWsutra (Revolution Ring Series) Fusion Jazz,Bloom Past Doom,L-36,BLOWsutra,Speak: REVOLT (now),7,5979,70,854.1,10.0,1.1708
Lightly · My Darling ✦ FLOWsutra (Fly Like Water) BANJO EPx5,"Lightly, My Darling",L-390,FLOWsutra,Trust: FLY (like water),5,4160,38,832.0,7.6,0.9135
What It's About • Vol. 02 EPx6 • BLOWsutra Revolution Ring,What It's About,L-288,KNOWsutra,Ask: PEACE (not war),6,4992,75,832.0,12.5,1.5024
Male Fantasies - bananasutra EPx2 Vol. 03,Male Fantasies,L-154,BLOWsutra,Speak: EGO (gone loco),2,1651,12,825.5,6.0,0.7268
Muddy Waters EP,Nietzsche's Gift (Muddy Waters),L-165,BLOWsutra,Speak: EGO (gone loco),3,2461,34,820.3,11.33,1.3816
Just Be EP X7 | Vocal Honey Audio Ideals,Just Be,L-121,FLOWsutra,Trust: FLY (like water),7,5736,46,819.4,6.57,0.802
Curious Like A Kiss • FLOWsutra Cheeky Duende EPx11,Curious Like A Kiss,L-54,FLOWsutra,Trust: WET (my friend),11,8991,71,817.4,6.45,0.7897
Poetry Slow Burns ☲ EPx5 Vol.01 ☲ DUBsutra,Poetry Slow Burns,L-191,GLOWsutra,Bless: POET(ry),5,4068,37,813.6,7.4,0.9095
Radio Static ⭐︎ QUACKsutra (FOTUS Circus) Piano Cabaret EPx4,Radio Static (The Dystopian Cabaret),L-321,QUACKsutra,Quack: DUCK (shady),4,3242,34,810.5,8.5,1.0487
Ordo Amoris in Decay ♡ GROWsutra EPx6,Ordo Amoris in Decay (All I Want Is To Believe),L-178,GROWsutra,Dare: GOD (etc.),6,4863,43,810.5,7.17,0.8842
La Force Douce EPx7 ✪ French GROWsutra World Peace Duende LoFi Indie Fusion,La Force Douce,L-132,GROWsutra,"Dare: KIND(ness),World: FRENCHsutra",7,5601,39,800.1,5.57,0.6963
Second Hand Smoke (of) Arrogant Hearts - BLOWsutra EGO Therapy EPx6,Arrogant Hearts (Second Hand Smoke),L-18,BLOWsutra,Speak: EGO (gone loco),6,4780,51,796.7,8.5,1.0669
No Fear · My Dear ❢ BLOWsutra Revolution Ring Jazz EPx19,"No Fear, My Dear",L-166,BLOWsutra,Speak: REVOLT (now),19,14827,143,780.4,7.53,0.9645
Why We Can't Be Brave? ☷ GROWsutra (Censored) Cello EPx8,Why We Can't Be Brave?,L-304,GROWsutra,Dare: DARE (to care),8,6220,63,777.5,7.88,1.0129
The Love of a Dove ☩ EPx18 ☩ GROWsutra Peace Fusion Prayer,The Love of A Dove,L-252,GROWsutra,Ask: PEACE (not war),18,13866,164,770.3,9.11,1.1827
Spit Back The Lies • BLOWsutra (Revolution Ring) EPx20,Spit Back the Lies,L-232,BLOWsutra,Speak: REVOLT (now),20,15355,152,767.8,7.6,0.9899
Poetry Matters ☲ EPx3 Vol.05 ☲ DUBsutra,Poetry Matters,L-189,GLOWsutra,Bless: POET(ry),3,2294,22,764.7,7.33,0.959
Two Things · Darling • EPx11 • KNOWsutra (Bertrand) Conscious Gipsy LoFi Blues INDIE,"Two Things, Darling",L-274,KNOWsutra,Ask: BERTRAND (knows),11,8407,74,764.3,6.73,0.8802
Hello · Oh No • EPx16 • GROWsutra Psychedelic Logic Harmonics,"Hello, Oh No",L-95,GROWsutra,Dare: DARE (to care),16,12218,125,763.6,7.81,1.0231
Peel Me Kindly 🍌 SHOWsutra Gone Banana à la Gipsy JAZZ EPx7,Peel Me Kindly,L-185,GROWsutra,Dare: KIND(ness),7,5221,60,745.9,8.57,1.1492
Hold the Mic · Babe  EP X7 | Soul Prayer Lullabies,"Hold The Mic, Babe",L-102,GROWsutra,Dare: DARE (to care),7,5203,23,743.3,3.29,0.4421
Seven Sutras Gone Bananas • SHOWsutra Psychedelick Gospel EPx13,Seven Sutras Gone Banana,L-383,SHOWsutra,Play: B.J. (is for banana jokes),13,9533,82,733.3,6.31,0.8602
Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,Bloom Past Doom,L-36,BLOWsutra,Speak: REVOLT (now),5,3607,39,721.4,7.8,1.0812
To Dream EP X8 | Jacques Brel Chanson Reimagined : Psychedelic French Poetry JAZZsutra X5,To Dream,L-266,GLOWsutra,Bless: POET(ry),8,5704,61,713.0,7.62,1.0694
L'Embobinage (d'après Carl Sagan) • French GROWsutra EPx17,L’Embobinage,L-131,BLOWsutra,"Speak: CENSOR(ed),World: FRENCHsutra",17,12067,114,709.8,6.71,0.9447
Freee · La Fille • French SHOWsutra Psychedelic EPx10,"Freee, La Fille",L-84,FLOWsutra,"Trust: FLY (like water),World: FRENCHsutra",10,6817,53,681.7,5.3,0.7775
There's No Prayer Like Desire • KNOWsutra But(t) Why EPx4,There's No Prayer Like Desire,L-259,KNOWsutra,Ask: But(t) WHY,3,2043,20,681.0,6.67,0.979
Everybody Knows ✔ Vol. 03 - EPx7 ✔ KNOWsutra Gipsy Trip Hop Truth Prayer Dream,Everybody Knows,L-72,KNOWsutra,Ask: PEACE (not war),7,4573,57,653.3,8.14,1.2464
A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,A Letter To My Friend (Never Again),L-3,KNOWsutra,Ask: PEACE (not war),44,28511,224,648.0,5.09,0.7857
Mind the Felon EP X5 | JAZZ LOFI : Psychedelic Paradox Soul Chanson,Mind the Felon,L-161,QUACKsutra,Quack: DUCK (shady),5,3215,29,643.0,5.8,0.902
If We Had But(t) The Truth • Vol. 2 EPx22 • BLOWsutra (Censored) Epstein Etcetera Soundtrack,If We Had But(t) The Truth,L-114,BLOWsutra,Speak: CENSOR(ed),22,13978,96,635.4,4.36,0.6868
Grateful For The Weird ☺︎ GLOWsutra (Rainbows In The Clouds) EPx9,Grateful For The Weird,L-344,GLOWsutra,Bless: RAINBOWS (in my clouds),9,5580,66,620.0,7.33,1.1828
El Papito Leo Es No MAGA Show ☰ KNOWsutra EPx6,El Papito (Es No MAGA Show),L-70,GROWsutra,Dare: GOD (etc.),6,3684,24,614.0,4.0,0.6515
They Call It Freedom (Oh Hi · Sweet Honey Bun) ✯ BLOWsutra (Revolt Now) EPx11,"They Call It Freedom (Oh Hi, Sweet Honey Bun)",L-262,BLOWsutra,Speak: REVOLT (now),11,6740,79,612.7,7.18,1.1721
An American in Paris (Public Domain Lyrics) 🎙️ SHOWsutra Classic Retro Musical REMAKE,An American in Paris (Public Domain),L-17,SHOWsutra,Play: FANANA (party),6,3633,35,605.5,5.83,0.9634
Foolish Goldfish (Forever) ❃ Vol. 02 EPx15 ❃ KNOWsutra Peace (Not War),Foolish Goldfish (Forever),L-80,KNOWsutra,Ask: PEACE (not war),15,9014,63,600.9,4.2,0.6989
The Echo Song Song ☭ Vladimir Vysotsky - EPx6  English Cover ☭ BLOWsutra Gipsy Trip Hop Trip,The Echo Song,L-247,BLOWsutra,Speak: REVOLT (now),6,3568,29,594.7,4.83,0.8128
