lyrics_id,lyrics_title,url_slug,lyrics_title_blank,slug_share_count
L-338,Can You Play Win-Win Or No?,can-you-play-win-win-or-no,0,1
L-38,But(t) Where Do Pigeons Go To Die?,but-where-do-pigeons-go-to-die,0,1
L-431,Ideas We Can Feel,ideas-we-can-feel,0,1
L-429,La Vie Sera Belle,la-vie-sera-belle,0,1
L-424,I Wanna Know,i-wanna-know,0,1
L-426,So Woken,so-woken,0,1
L-34,Blessed Be Your Voice,blessed-be-your-voice,0,1
L-391,"It's Enshittification, Darling",it-s-enshittification-darling,0,1
L-397,Drop Di Baggage,drop-di-baggage,0,1
L-216,Serial Blowers,serial-blowers,0,1
L-383,Seven Sutras Gone Banana,seven-sutras-gone-banana,0,1
L-187,Please Pardon My French,please-pardon-my-french,0,1
L-321,Radio Static (The Dystopian Cabaret),radio-static-the-dystopian-cabaret,0,1
L-346,Broken Whole,broken-whole,0,1
L-318,The Courage To Care,the-courage-to-care,0,1
L-369,Camus Dit Oui,camus-dit-oui,0,1
L-344,Grateful For The Weird,grateful-for-the-weird,0,1
L-169,"No, I'm Not Being Political (CIRCA 2026)",no-i-m-not-being-political-circa-2026,0,1
L-380,The Sound Of Logic,the-sound-of-logic,0,1
L-345,Win-Win After Midnight,win-win-after-midnight,0,1
L-390,"Lightly, My Darling",lightly-my-darling,0,1
L-267,"Too Hard, My Friend",too-hard-my-friend,0,1
L-359,"We’re Tiny Specks, Right?",we-re-tiny-specks-right,0,1
L-90,Grifters,grifters,0,1
L-360,Lyrics Matter (FOOsutra) EDIT,lyrics-matter-foosutra-edit,0,1
L-250,The Great Naked King,the-great-naked-king,0,1
L-228,"So, What Is Racism?",so-what-is-racism,0,1
L-312,Zero Sum (Zero Sean),zero-sum-zero-sean,0,1
L-263,This Is My Quest,this-is-my-quest,0,1
L-163,My Quest,my-quest,0,1
L-54,Curious Like A Kiss,curious-like-a-kiss,0,1
L-324,Oxytocin,oxytocin,0,1
L-37,Bo Burnham Covers,bo-burnham-covers,0,1
L-40,But(t) How Can You?,but-t-how-can-you,0,1
L-232,Spit Back the Lies,spit-back-the-lies,0,1
L-129,Kiss A Pulse,kiss-a-pulse,0,1
L-95,"Hello, Oh No",hello-oh-no,0,1
L-175,One Percent Rising,one-percent-rising,0,1
L-68,Ego Ain't Your Amigo,ego-ain-t-your-amigo,0,1
L-265,Time For Rebel Romance,time-for-rebel-romance,0,1
L-209,"Rise Up, You Naked Peoples (Freedom Rings)",rise-up-you-naked-peoples-freedom-rings,0,1
L-200,Question The Nation,question-the-nation,0,1
L-156,MAMA (Make America Mine Achtung),mama-make-america-mine-achtung,0,1
L-149,MAHA (Make America Humane Again),maha-make-america-humane-again,0,1
L-186,"Philosophy, My Dear",philosophy-my-dear,0,1
L-323,Penguins In Shoes,penguins-in-shoes,0,1
L-325,"Not Bad, Friendo",not-bad-friendo,0,1
L-286,What Dissent Looks Like Now,what-dissent-looks-like-now,0,1
L-114,If We Had But(t) The Truth,if-we-had-but-t-the-truth,0,1
L-202,Rainbows in the Clouds,rainbows-in-the-clouds,0,1
L-335,Come Waddle With Me,come-waddle-with-me,0,1
L-17,An American in Paris (Public Domain),an-american-in-paris-public-domain,0,1
L-36,Bloom Past Doom,bloom-past-doom,0,1
L-375,Syndrome Nom Nom,syndrome-nom-nom,0,1
L-193,Possum Scrotum,possum-scrotum,0,1
L-243,The Atheist Tango,the-atheist-tango,0,1
L-177,Optics Of Cruelty (DEFY),optics-of-cruelty-defy,0,1
L-219,Shameless (DEFY),shameless-defy,0,1
L-275,Universal Currency,universal-currency,0,1
L-420,Beautiful Things Don't Ask For Attention,beautiful-things-dont-ask-for-attention,0,1
L-116,It's An Ethical Paradox,it-s-an-ethical-paradox,0,1
L-227,Sing Your Own Gospel,sing-your-own-gospel,0,1
L-274,"Two Things, Darling",two-things-darling,0,1
L-21,Awe Is Mighty,awe-is-mighty,0,1
L-214,Seminal Bollocks,seminal-bollocks,0,1
L-110,I Did The Math (Everything is Stupid),i-did-the-math-everything-is-stupid-absurd-and-divine,0,1
L-368,Feral Fandango,feral-fandango,0,1
L-259,There's No Prayer Like Desire,there-s-no-prayer-like-desire,0,1
L-148,Lyrics Matter (FOOsutra),lyrics-matter-foosutra,0,1
L-63,Donkeys Years,donkeys-years,0,1
L-185,Peel Me Kindly,peel-me-kindly,0,1
L-395,We Ain't Ghouls,we-aint-ghouls,0,1
L-396,This Ain't Fiction (Bloom Past Doom),this-aint-fiction-bloom-past-doom,0,1
L-262,"They Call It Freedom (Oh Hi, Sweet Honey Bun)",they-call-it-freedom-oh-hi-sweet-honey-bun,0,1
L-124,Kids Are Asking,kids-are-asking,0,1
L-304,Why We Can't Be Brave?,why-we-can-t-be-brave,0,1
L-118,Jacques Brel,jacques-brel,0,1
L-166,"No Fear, My Dear",no-fear-my-dear,0,1
L-80,Foolish Goldfish (Forever),foolish-goldfish-forever,0,1
L-237,SynthemaSutra,synthemasutra,0,1
L-365,DARVO-A-GOGO,darvo-a-gogo,0,1
L-97,"Hey, Creeps",hey-creeps,0,1
L-218,Shady Fools,shady-fools,0,1
L-288,What It's About,what-it-s-about,0,1
L-241,The (Womp Womp) Conquestor,the-womp-womp-conquestor,0,1
L-419,Do Panic Now (What A Shit Show) Vol.3,do-panic-now-what-a-shit-show,0,1
L-217,Shades of Fools (All I Know),shades-of-fools-all-i-know,0,1
L-244,The Conquest of Happiness,the-conquest-of-happiness,0,1
L-393,The Unhappiness Tango,the-unhappiness-tango,0,1
L-282,We Live Not By Lies,we-live-not-by-lies,0,1
L-326,MASA (Make America Safe Again),masa-make-america-safe-again,0,1
L-212,Secret De Polichinelle,secret-de-polichinelle,0,1
L-101,Hiding Secrets in Lies,hiding-secrets-in-lies,0,1
L-268,Trauma Begets Trauma,trauma-begets-trauma,0,1
L-182,Peace Matters More,peace-matters-more,0,1
L-18,Arrogant Hearts (Second Hand Smoke),arrogant-hearts-second-hand-smoke,0,1
L-14,Ain't Doing Bad Doing Nothing,ain-t-doing-bad-doing-nothing,0,1
L-72,Everybody Knows,everybody-knows,0,1
L-239,Tell The Truth,tell-the-truth,0,1
L-134,Le Bal Des Salauds,le-bal-des-salauds,0,1
L-88,Gladys in Sonderland,gladys-in-sonderland,0,1
L-247,The Echo Song,the-echo-song,0,1
L-417,Masss ShoooTING,masss-shoooting,0,1
L-392,The Echo Song (Russian Edition),the-echo-song-russian-edition,0,1
L-428,Predators (FOTUS Edition),predators-fotus-edition,0,1
L-430,Let's Sing,let-s-sing,0,1
L-173,"Oh, Martine",oh-martine,0,1
L-49,Creepy Pasta (What The Hella),creepy-pasta-what-the-hella,0,1
L-203,Read Me Harder (BB is for Banned Books),read-me-harder-bb-is-for-banned-books,0,1
L-99,"Hi, My Name Is (Not Celine Dion)",hi-my-name-is-not-celine-dion,0,1
L-92,Hammy On Clyde,hammy-on-clyde,0,1
L-332,Freedom To Lie Is The New Human Right,freedom-to-lie-is-the-new-human-right,0,1
L-376,Maupassant,maupassant,0,1
L-207,Revolution's Lit,revolution-s-lit,0,1
L-3,A Letter To My Friend (Never Again),a-letter-to-my-friend-never-again,0,1
L-132,La Force Douce,la-force-douce,0,1
L-307,WIN-WIN (Franglish Dub),win-win-dub,0,1
L-252,The Love of A Dove,the-love-of-a-dove,0,1
L-329,Ignoramus Divine,ignoramus-divine,0,1
L-180,"Oy, We Care",oy-we-care,0,1
L-406,Apes Gone Wrong (Bloom Past Doom),apes-gone-wrong,0,1
L-84,"Freee, La Fille",freee-la-fille,0,1
L-113,Planet Idiocracy,planet-idiocracy,0,1
L-131,L’Embobinage,l-embobinage,0,1
L-67,Easy (Death Is Nothing At All),easy-death-is-nothing-at-all,0,1
L-104,Hope is Do-Do-Dope,hope-is-do-do-dope,0,1
L-208,Rhinoceross,rhinoceross,0,1
L-115,Ironic Moronic Eugenics,ironic-moronic-eugenics,0,1
L-302,Who's Your Vladdy?,who-s-your-vladdy,0,1
L-159,Men-Oh-Pause,men-oh-pause,0,1
L-317,The Umm Song,the-umm-song,0,1
L-170,Nous Sommes Le Feu,nous-sommes-le-feu,0,1
L-117,"It's War, My Friend",it-s-war-my-friend,0,1
L-330,Hitlus With Your Best Shot,hitlus-with-your-best-shot,0,1
L-416,Something In My Gut,something-in-my-gut,0,1
L-66,Dump Trump,dump-trump,0,1
L-165,Nietzsche's Gift (Muddy Waters),nietzsche-s-gift-muddy-waters,0,1
L-411,Dudu Duende Murió,dud-duende-murio,0,1
L-379,Rebellion à L'Unisson,rebellion-a-l-unisson,0,1
L-339,Buuuuurn!,buuuuurn,0,1
L-190,Poetry Nah Lie,poetry-nah-lie,0,1
L-69,EGO's Masquerade,ego-s-masquerade,0,1
L-16,All the -Isms,all-the-isms,0,1
L-211,Second Hand Smoke (Arrogant Hearts),second-hand-smoke-arrogant-hearts,0,1
L-20,Awe Is Like...,awe-is-like,0,1
L-160,Metaphors' Edge (Joseph Campbell's song),metaphors-edge-joseph-campbell-s-song,0,1
L-271,Truth Don't Care,truth-don-t-care,0,1
L-31,Blaise's Tale,blaise-s-tale,0,1
L-287,What If -Ism,what-if-ism,0,1
L-146,Blessed Be The Dogs (SHOWsutra Edition),blessed-be-the-dogs-showsutra-edition,0,1
L-382,Skanking Pickles,skanking-pickles,0,1
L-293,When Did Seduction Become so Untrue?,when-did-seduction-become-so-untrue,0,1
L-22,Banana Alleluia,banana-alleluia,0,1
L-413,Cruelty’s The Point (Admit It),cruelty-s-the-point-admit-it,0,1
L-171,"Oh My, Oh Why (Socrates Song)",oh-my-oh-why-socrates-song,0,1
L-206,Relative Steve,relative-steve,0,1
L-168,"No, I'm Not Being Political (CIRCA 2025)",no-i-m-not-being-political-circa-2025,0,1
L-98,"Hey, You (Creepers)",hey-you-creepers,0,1
L-290,What the Mirror Said (Reste Lucide),what-the-mirror-said-reste-lucide,0,1
L-213,Segggsting,segggsting,0,1
L-374,Life's A Song,life-s-a-song,0,1
L-42,Cassandra's Lullaby,cassandra-s-lullaby,0,1
L-4,A Liar’s Prize,a-liar-s-prize,0,1
L-56,Daddy's a Creep,daddy-s-a-creep,0,1
L-300,Who Knows Where How Happiness Truly Grows,who-knows-where-how-happiness-truly-grows,0,1
L-96,"Hereby, I Cry",hereby-i-cry,0,1
L-112,I Think I Need a Good Spank!ng (in Madrid),i-think-i-need-a-good-spank-ng-in-madrid,0,1
L-75,F-BOMB,f-bomb-dub,0,1
