songbook_id,songbook,url_slug_songbook,resolved_slug,url_songbook_locked,songbook_name_blank,slug_share_count
G-01-TRUT,Ask: (Naked) TRUTH,ask-naked-truth,ask-naked-truth,1,0,1
G-01-BERT,Ask: BERTRAND (knows),ask-bertrand-knows,ask-bertrand-knows,1,0,1
G-01-WHY,Ask: But(t) WHY,ask-butt-why,ask-butt-why,1,0,1
G-01-PEAC,Ask: PEACE (not war),ask-peace-not-war,ask-peace-not-war,1,0,1
G-06-POET,Bless: POET(ry),bless-poetry,bless-poetry,1,0,1
G-06-CLOU,Bless: RAINBOWS (in my clouds),bless-rainbows-in-my-cloud,bless-rainbows-in-my-cloud,1,0,1
G-00-BLUES,BLUESsutra (Best Of),blues-best-of,blues-best-of,1,0,1
G-07-DOGS,Bow: (Thank) Dogs,bow-thank-dogs,bow-thank-dogs,1,0,1
G-07-DEAT,Bow: Death (is nothing),bow-death-is-nothing,bow-death-is-nothing,1,0,1
G-SINGLES,Bunch: SINGLES,singlesutra,singlesutra,1,0,1
G-00-BURL,BURLESQUEsutra (Best Of),burlesque-best-of,burlesque-best-of,1,0,1
G-04-DARE,Dare: DARE (to care),dare-dare-to-care,dare-dare-to-care,1,0,1
G-04-GOD,Dare: GOD (etc.),dare-god-etc,dare-god-etc,1,0,1
G-04-KIND,Dare: KIND(ness),dare-kindness,dare-kindness,1,0,1
G-00-DUB,DUBsutra (Best Of),dub-best-of,dub-best-of,1,0,1
G-02-SIDE,EP: Sidération,ep-sideration,ep-sideration,0,0,1
G-00-FOLK,FOLKsutra (Best Of),folk-best-of,folk-best-of,1,0,1
G-00-INDI,INDIEsutra (Best Of),indie-best-of,indie-best-of,1,0,1
G-00-JAZZ,JAZZsutra (Best Of),jazz-best-of,jazz-best-of,1,0,1
G-00-LOFI,LOFIsutra (Best Of),lofi-best-of,lofi-best-of,1,0,1
G-00-MANT,MANTRAsutra (Best Of),mantra-best-of,mantra-best-of,1,0,1
G-03-FOOL,Play: (Be) The Fool,play-be-the-fool,play-be-the-fool,1,0,1
G-03-BJ,Play: B.J. (is for banana jokes),play-b-j,play-b-j,1,0,1
G-03-FANA,Play: FANANA (party),play-fanana-club,play-fanana-club,1,0,1
G-02-DUC,Quack: DUCK (shady),quack-duck-shady,quack-duck-shady,1,0,1
G-02-CIRC,Quack: FOTUS Circus,quack-fotus-circus,quack-fotus-circus,1,0,1
G-02-MAXA,Quack: MAxxxA Saga,quack-maxa-saga,quack-maxa-saga,1,0,1
G-00-ROCK,ROCKsutra (Best Of),rock-best-of,rock-best-of,1,0,1
G-02-APES,Speak: APES (gone wrong),speak-apes-gone-wrong,speak-apes-gone-wrong,1,0,1
G-02-CENS,Speak: CENSOR(ed),speak-censored,speak-censored,1,0,1
G-02-EGO,Speak: EGO (gone loco),speak-ego-gone-loco,speak-ego-gone-loco,1,0,1
G-02-REVO,Speak: REVOLT (now),speak-revolt-now,speak-revolt-now,1,0,1
G-05-FLY,Trust: FLY (like water),trust-fly-like-water,trust-fly-like-water,1,0,1
G-05-WET,Trust: WET (my friend),trust-wet-my-friend,trust-wet-my-friend,1,0,1
G-lang-FR,World: FRENCHsutra,lang-french,lang-french,1,0,1
G-lang-RU,World: RUSSIANsutra,lang-russian,lang-russian,1,0,1
G-lang-ES,World: SPANISHsutra,lang-spanishs,lang-spanishs,1,0,1
