lyrics_id,url_slug,lyrics_title,sc_catalog_listen_source,sc_catalog_listen_url,sc_catalog_track_title,fallback_sc_url,cover_image_url,has_in_app_playback
L-163,my-quest,My Quest,full_v4,https://soundcloud.com/bananasutra/01-my-quest-to-dream-an-impossible-dream-with-jacques-brel-glowsutra-psychedelic-cello-lullaby-indie-1,[01] My Quest • To dream an impossible dream • GLOWsutra Psychedelic Cello Lullaby INDIE,,https://i1.sndcdn.com/artworks-RvPg90tJzDpSlPKh-ns1cUw-t500x500.png,yes
L-207,revolution-s-lit,Revolution's Lit,full_v4,https://soundcloud.com/bananasutra/side-b-07-revolutions-lit-this-aint-fiction-blowsutra-revolt-now-bluesy-psychedelic-americana-banjo-folk-7,Side B [07] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Bluesy Psychedelic Americana Banjo FOLK,,https://i1.sndcdn.com/artworks-UsXPQkqEgN2gCzJ6-0lSKCQ-t500x500.png,yes
L-396,this-aint-fiction-bloom-past-doom,This Ain't Fiction (Bloom Past Doom),full_v4,https://soundcloud.com/bananasutra/side-b-05-revolutions-lit-this-aint-fiction-blowsutra-revolt-now-jazzy-indie-5,Side B [05] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Jazzy INDIE,,https://i1.sndcdn.com/artworks-UsXPQkqEgN2gCzJ6-0lSKCQ-t500x500.png,yes
L-406,apes-gone-wrong,Apes Gone Wrong (Bloom Past Doom),full_v4,https://soundcloud.com/bananasutra/03-bloom-past-doom-apes-gone-wrong-blowsutra-revolt-now-cello-circus-chanson-cabaret-burlesque-4,[03] Bloom Past Doom - BLOWsutra (Revolt Now) Cello Circus Chanson Cabaret BURLESQUE,,https://i1.sndcdn.com/artworks-NfNdCTLZ9C9HupPU-ETvEcw-t500x500.png,yes
L-395,we-aint-ghouls,We Ain't Ghouls,export_title,https://soundcloud.com/bananasutra/we-aint-ghouls-apes-gone-wrong-revolt-now-series-blowsutra-chanson-burlesque,We Ain't Ghouls - Apes Gone Wrong (Revolt Now) Series - BLOWsutra Chanson BURLESQUE,,https://i1.sndcdn.com/artworks-if82lONCI5YhLq5y-CMulEA-t500x500.png,
L-404,fotus-circus-step-right-up-murica-freaks,"FOTUS Circus: Step Right Up, Murica Freaks",full_v4,https://soundcloud.com/bananasutra/08-fotus-circus-vol-04-step-right-up-murica-freaks-paper-staws-dub-quacksutra-8,"[08] FOTUS Circus VOL. 04 • Step Right Up, Murica Freaks (paper straws) • DUB QUACKsutra",,https://i1.sndcdn.com/artworks-hEoexhjMEJaTLs2Y-y53BjQ-t500x500.png,yes
L-280,waldo-s-atheist-tango,Waldo's Atheist Tango,full_v4,https://soundcloud.com/bananasutra/2-waldos-fascist-tango-hatjazz-burlesque-2,[2] Waldo's Fascist Tango - HATjazz BURLESQUE,,https://i1.sndcdn.com/artworks-c3L1ZrA7GdTEUNpD-srMlmg-t500x500.png,yes
L-143,liberty,Liberty,full_v4,https://soundcloud.com/bananasutra/liberty-o-tribute-to-victor,Liberty • Tribute to Victor Hugo’s Revolutionary Poetry • DUBsutra,,https://i1.sndcdn.com/artworks-yII61o6FixtWLSch-owprFA-t500x500.jpg,yes
L-34,blessed-be-your-voice,Blessed Be Your Voice,full_v4,https://soundcloud.com/bananasutra/blessed-be-your-voice-rocksutra,Blessed Be Your Voice ☆ ROCKsutra,,https://i1.sndcdn.com/artworks-3JQ7COBvARcbPeHc-mQG7zw-t500x500.jpg,
L-412,i-think-about,I Think About...,full_v4,https://soundcloud.com/bananasutra/what-u-think-about-o-introvert,(what u) think about? • (introvert) FOLKsutra,,https://i1.sndcdn.com/artworks-fnzplmpQ1MzYKqIy-CsSI4w-t500x500.jpg,yes
