lyrics_id,lyrics_title,primary_ep_url,has_in_app_playback,sc_catalog_listen_source,sc_catalog_listen_url,sc_catalog_track_title
L-163,My Quest,,yes,full_v4,https://soundcloud.com/bananasutra/01-my-quest-to-dream-an-impossible-dream-with-jacques-brel-glowsutra-psychedelic-cello-lullaby-indie-1,[01] My Quest • To dream an impossible dream • GLOWsutra Psychedelic Cello Lullaby INDIE
L-207,Revolution's Lit,,yes,full_v4,https://soundcloud.com/bananasutra/side-b-07-revolutions-lit-this-aint-fiction-blowsutra-revolt-now-bluesy-psychedelic-americana-banjo-folk-7,Side B [07] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Bluesy Psychedelic Americana Banjo FOLK
L-396,This Ain't Fiction (Bloom Past Doom),,yes,full_v4,https://soundcloud.com/bananasutra/side-b-05-revolutions-lit-this-aint-fiction-blowsutra-revolt-now-jazzy-indie-5,Side B [05] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Jazzy INDIE
L-406,Apes Gone Wrong (Bloom Past Doom),,yes,full_v4,https://soundcloud.com/bananasutra/03-bloom-past-doom-apes-gone-wrong-blowsutra-revolt-now-cello-circus-chanson-cabaret-burlesque-4,[03] Bloom Past Doom - BLOWsutra (Revolt Now) Cello Circus Chanson Cabaret BURLESQUE
L-395,We Ain't Ghouls,,,export_title,https://soundcloud.com/bananasutra/we-aint-ghouls-apes-gone-wrong-revolt-now-series-blowsutra-chanson-burlesque,We Ain't Ghouls - Apes Gone Wrong (Revolt Now) Series - BLOWsutra Chanson BURLESQUE
L-1,7 Dirty Words,,yes,full_v4,https://soundcloud.com/bananasutra/7-dirty-words-o-inspired-by,7 Dirty Words • inspired by George Carlin • Banger BANJO FOLK
L-349,"FOTUS Circus: Step right up, My Dearest Souls",,yes,full_v4,https://soundcloud.com/bananasutra/09-fotus-circus-vol-04-step-right-up-my-dearest-souls-dub-quacksutra-9,"[09] FOTUS Circus VOL. 04 • Step Right Up, My Dearest Souls • DUB QUACKsutra"
L-404,"FOTUS Circus: Step Right Up, Murica Freaks",,yes,full_v4,https://soundcloud.com/bananasutra/08-fotus-circus-vol-04-step-right-up-murica-freaks-paper-staws-dub-quacksutra-8,"[08] FOTUS Circus VOL. 04 • Step Right Up, Murica Freaks (paper straws) • DUB QUACKsutra"
L-280,Waldo's Atheist Tango,,yes,full_v4,https://soundcloud.com/bananasutra/2-waldos-fascist-tango-hatjazz-burlesque-2,[2] Waldo's Fascist Tango - HATjazz BURLESQUE
L-143,Liberty,,yes,full_v4,https://soundcloud.com/bananasutra/liberty-o-tribute-to-victor,Liberty • Tribute to Victor Hugo’s Revolutionary Poetry • DUBsutra
L-412,I Think About...,,yes,full_v4,https://soundcloud.com/bananasutra/what-u-think-about-o-introvert,(what u) think about? • (introvert) FOLKsutra
L-26,Bee The Fool (Perfection Is A Lie),,,full_v4,https://soundcloud.com/bananasutra/be-the-fool-perfection-is-a,Be the fool (Perfection is a lie) : BANJOsutra
