lyrics_id,song_title,sutra,lyrics_status,in_app_count,sc_variants_below_filter,max_plays_across_variants,total_plays_across_variants,best_variant_ep,best_variant_url
L-92,Hammy On Clyde,SHOWsutra,PUBLISHED,0,8,284,1571,Hammy On Clyde ✪ SHOWsutra EPx8,https://soundcloud.com/bananasutra/04-hammy-on-clyde-showsutra-psy-gipsy-blues-jazz-4
L-277,Up a San Francisco Hill,GLOWsutra,PUBLISHED,0,8,284,1536,Up a San Francisco Hill • Bananasutra Heart Beats,https://soundcloud.com/bananasutra/up-a-san-francisco-hill-o-3
L-326,MASA (Make America Safe Again),QUACKsutra,PUBLISHED,0,7,267,1297,MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,https://soundcloud.com/bananasutra/11-masa-make-america-safe-again-quacksutra-psychedelic-burlesque-rock-11
L-171,"Oh My, Oh Why (Socrates Song)",KNOWsutra,PUBLISHED,0,7,208,1245,"Oh My, Oh Why (Socrates Song) - GROWsutra EPx7",https://soundcloud.com/bananasutra/02-oh-my-oh-why-socrates-song-growsutra-indie-2
L-269,Trump Derangement Syndrome ™,QUACKsutra,LANDR,0,7,276,1394,Trump Derangement Syndrome ™ EPx7,https://soundcloud.com/bananasutra/06-trump-derangement-syndrome-tm-nom-nom-dubby-outlaw-bluegrass-bluessutra-6
L-104,Hope is Do-Do-Dope,SHOWsutra,PUBLISHED,0,6,244,998,Hope is So Do-Do-Dope 🎪🦤 SHOWsutra Surreal Soul Circus EPx9,https://soundcloud.com/bananasutra/08-hope-is-so-do-do-dope-showsutra-absurd-gipsy-psychedelic-burlesque-rock-8
L-213,Segggsting,SHOWsutra,PUBLISHED,0,6,292,1240,Segggsting • SHOWsutra EPx6 • French Burlesque Jazz Cabaret,https://soundcloud.com/bananasutra/06-segsting-la-fin-du-show-showsutra-accordion-circus-burlesque-6
L-127,Kindness,GROWsutra,PUBLISHED,0,6,210,1090,Kindness Matters - Human Life Soundtrack EP,https://soundcloud.com/bananasutra/kindness-folksutra
L-390,"Lightly, My Darling",FLOWsutra,NEW,0,5,219,780,"Lightly, My Darling ✦ FLOWsutra (Fly Like Water) BANJO EPx5",https://soundcloud.com/bananasutra/04-lightly-my-darling-flowsutra-psychedelick-bluesy-banjo-folk-4
L-163,My Quest,GLOWsutra,PUBLISHED,0,5,278,909,My Quest • EPx6 Vol. 2 • GLOWsutra Jacques Brel Dream,https://soundcloud.com/bananasutra/07-my-quest-to-dream-an-impossible-dream-with-jacques-brel-glowsutra-indie-banjo-blues-7
L-290,What the Mirror Said (Reste Lucide),GROWsutra,PUBLISHED,0,5,261,758,What the Mirror Said (Reste Lucide) - GLOWsutra JAZZ,https://soundcloud.com/bananasutra/what-the-mirror-said-reste-lucide-lucille-clifton-glowsutra-lucide-french-jazz-1
