playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,artwork_lg_url,sc_playlist_type,scplaylist_in_app,songbook_id
BANJOsutra,https://soundcloud.com/bananasutra/sets/banjosutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",146,49526,423,7:38:00,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,https://i1.sndcdn.com/artworks-ROFUH45CVmzoeu8W-wCnnMA-t1080x1080.jpg,genre (all),,
BLOWsutra,https://soundcloud.com/bananasutra/sets/sutrablow,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",416,239292,2246,23:31:26,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,https://i1.sndcdn.com/artworks-8VrcsratgHRdvlWi-DctPQQ-t1080x1080.jpg,sutra (all),,
BLOWsutra : APES (gone wrong),https://soundcloud.com/bananasutra/sets/blowsutra-apes-gone-wrong,BLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,MANTRA,ROCK",25,12048,109,1:24:53,https://i1.sndcdn.com/artworks-tJXDrinLqIXiRhrv-9pyIzQ-t500x500.jpg,https://i1.sndcdn.com/artworks-5bVU3160At7As99u-kxcaPw-t1080x1080.jpg,sutra,checked,G-02-APES
BLOWsutra : CENSOR(ed),https://soundcloud.com/bananasutra/sets/blowsutra-censor-ed,BLOWsutra,"BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",18,16828,183,0:55:38,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,https://i1.sndcdn.com/artworks-dthPPqfZhiyUkEwu-xSQQFA-t1080x1080.jpg,sutra,checked,G-02-CENS
BLOWsutra : EGO (gone loco),https://soundcloud.com/bananasutra/sets/knowsutra-ego-gone-loco,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",36,31085,343,2:01:22,https://i1.sndcdn.com/artworks-qfOVhmHG1WJJqjc9-k1w2VA-t500x500.png,https://i1.sndcdn.com/artworks-2fgVK1GEubaAV6QP-rbKhfg-t1080x1080.jpg,sutra,checked,G-02-EGO
BLOWsutra : MAxA Series,https://soundcloud.com/bananasutra/sets/blowsutra-maxa-series,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE",14,12219,114,0:49:16,https://i1.sndcdn.com/artworks-uDzqzbtn80lOeo3H-hV475g-t500x500.png,https://i1.sndcdn.com/artworks-gyBohcCG6YVAXsCO-qAFi8g-t1080x1080.jpg,sutra,checked,G-02-MAXA
BLOWsutra : REVOLT (now),https://soundcloud.com/bananasutra/sets/blowsutra-revolt-now,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",36,22774,256,1:59:19,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png,https://i1.sndcdn.com/artworks-DQz78hEwZB0tJMxO-l4I40Q-t1080x1080.jpg,sutra,checked,G-02-REVO
BLUESsutra,https://soundcloud.com/bananasutra/sets/bluessutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",187,91373,1022,10:39:02,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,https://i1.sndcdn.com/artworks-YONCbgZm1q7Yv278-GdFhyQ-t1080x1080.jpg,genre (all),,
BLUESsutra (Best Of),https://soundcloud.com/bananasutra/sets/bluessutra-best-of,,,18,39994,504,1:06:24,https://i1.sndcdn.com/artworks-qXPEntVNqNX60KsD-pPXHNg-t500x500.png,https://i1.sndcdn.com/artworks-cIB0NEtml8oty1Vy-wRu1Gw-t1080x1080.jpg,genre (best of),,G-00-BLUES
BOWsutra : (Thank) Dogs,https://soundcloud.com/bananasutra/sets/bowsutra-thank-dogs,SHOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,ROCK",10,2195,30,0:34:33,https://i1.sndcdn.com/artworks-safSzuvAHiwvn0LF-0u5a3Q-t500x500.png,https://i1.sndcdn.com/artworks-Y8QjM6vfVoY5XyEi-axwodQ-t1080x1080.jpg,sutra,checked,G-07-DOGS
BOWsutra : DEATH (is nothing),https://soundcloud.com/bananasutra/sets/bowsutra-death-is-nothing,BOWsutra,"BLUES,DUB,INDIE,JAZZ",9,5592,63,0:27:30,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t500x500.png,https://i1.sndcdn.com/artworks-pJs7anXy4aAFCFrv-isxj5A-t1080x1080.jpg,sutra,checked,G-07-DEAT
BOWsutra the last of 7 sutras · it's divine <3,https://soundcloud.com/bananasutra/sets/bowsutra,BOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",67,24741,279,2:59:08,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t500x500.png,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t1080x1080.png,sutra (all),,
BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/burlesquesutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",296,120958,1096,16:13:00,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,https://i1.sndcdn.com/artworks-qf8LWHFrU1aA0x9C-4Ziiag-t1080x1080.jpg,genre (all),,
BURLESQUEsutra (Best Of),https://soundcloud.com/bananasutra/sets/burlesquesutra-best-of,,,22,46049,441,1:18:48,https://i1.sndcdn.com/artworks-QRaUbtlHanDIuOON-8Hr9pg-t500x500.png,https://i1.sndcdn.com/artworks-n4WmFJexVLsKUShK-WpEC4A-t1080x1080.jpg,genre (best of),,G-00-BURL
DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",321,186235,1844,17:17:53,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,https://i1.sndcdn.com/artworks-zyFVoQN33jQifswF-LXTdCw-t1080x1080.jpg,genre (all),,
DUBsutra (Best Of),https://soundcloud.com/bananasutra/sets/dubsutra-best-of,,,38,85692,812,2:10:01,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,https://i1.sndcdn.com/artworks-0sxByuCQtf1zSYMt-w8bhvA-t1080x1080.jpg,genre (best of),,G-00-DUB
FLOWsutra : FLY (like water),https://soundcloud.com/bananasutra/sets/flowsutra-fly-like-water,FLOWsutra,"BLUES,DUB,LOFI",8,7301,101,0:24:01,https://i1.sndcdn.com/artworks-NrFEJYn5QiBNXnw5-RFTkHQ-t500x500.png,https://i1.sndcdn.com/artworks-2pHqakX9GOVp97hp-EU7MrQ-t1080x1080.jpg,sutra,checked,G-05-FLY
FLOWsutra : WET (my friend),https://soundcloud.com/bananasutra/sets/flowsutra-wet-my-friend,FLOWsutra,"BLUES,BURLESQUE,DUB,JAZZ",15,5427,80,0:50:22,https://i1.sndcdn.com/artworks-lciyCEyApUx6fnqe-mWMztg-t500x500.png,https://i1.sndcdn.com/artworks-lcLXcYSTLwU1vVWx-8umDBA-t1080x1080.jpg,sutra,checked,G-05-WET
FLOWsutra where time is space,https://soundcloud.com/bananasutra/sets/sutraflow,FLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",66,32668,420,3:28:41,https://i1.sndcdn.com/artworks-zbyI4lbDpbvjrsBi-cszDDA-t500x500.png,https://i1.sndcdn.com/artworks-PorYyvyZr3pl4ezD-Qz561g-t1080x1080.jpg,sutra (all),,
FOLKsutra,https://soundcloud.com/bananasutra/sets/folksutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",129,42042,461,7:02:55,https://i1.sndcdn.com/artworks-XITSzbW3Jfw7E2Bb-d1yIpQ-t500x500.png,https://i1.sndcdn.com/artworks-6tM0cjHYVyEyl5Gu-Bhop9A-t1080x1080.jpg,genre (all),,
FOLKsutra (Best Of),https://soundcloud.com/bananasutra/sets/folksutra-best-of,,,4,6914,37,0:12:53,https://i1.sndcdn.com/artworks-BZeLqNQ4AlXL9NGG-8Sntuw-t500x500.png,https://i1.sndcdn.com/artworks-CV0ODQOztCTXkFAF-1T2ODw-t1080x1080.jpg,genre (best of),,G-00-FOLK
FOTUS CIRCUS Playlist An American Freaks Show,https://soundcloud.com/bananasutra/sets/fotus-circus-playlist-an-3,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ,LOFI,MANTRA,ROCK",42,12510,91,2:15:29,https://i1.sndcdn.com/artworks-fryyTDM2WyR2DKBA-QI4BwQ-t500x500.png,https://i1.sndcdn.com/artworks-e9LS1yE2xOsiJ46m-ydWbdw-t1080x1080.jpg,collection,,
FRENCHsutra oui oui · sacrebleu,https://soundcloud.com/bananasutra/sets/sutrafrench,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA",108,53123,519,5:54:58,https://i1.sndcdn.com/artworks-e0sOW6yRL70L2ZRD-C8tirQ-t500x500.png,https://i1.sndcdn.com/artworks-Ni4BbsKypzQtXkzs-AElX6Q-t1080x1080.jpg,collection,,
GLOWsutra : POET(ry),https://soundcloud.com/bananasutra/sets/glowsutra-poet-ry,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI,MANTRA",14,6810,85,0:49:35,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,https://i1.sndcdn.com/artworks-UVBWmXWPLc9H0Ov3-HwlYIg-t1080x1080.jpg,sutra,checked,G-06-POET
GLOWsutra : RAINBOWS (in my clouds),https://soundcloud.com/bananasutra/sets/glowsutra-rainbows-in-my,GLOWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI",14,13818,176,0:41:49,https://i1.sndcdn.com/artworks-OuzjTqyXc8wz8Uv9-0cXu0Q-t500x500.png,https://i1.sndcdn.com/artworks-57vIPCGJ4OIaDUaa-UFslNg-t1080x1080.jpg,sutra,checked,G-06-CLOU
GLOWsutra where gratitude feeds,https://soundcloud.com/bananasutra/sets/sutraglow,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",136,74218,786,7:27:08,https://i1.sndcdn.com/artworks-RvPg90tJzDpSlPKh-ns1cUw-t500x500.png,https://i1.sndcdn.com/artworks-uL7ay8dUUSSVPybn-wwfjyg-t1080x1080.jpg,sutra (all),,
GROWsutra : DARE (to care),https://soundcloud.com/bananasutra/sets/growsutra-dare-to-care,GROWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,LOFI,MANTRA",9,5511,54,0:28:33,https://i1.sndcdn.com/artworks-qhqHRqMMeCjATzsp-RQ8fQQ-t500x500.png,https://i1.sndcdn.com/artworks-pWOrhsGFerHV4tjv-qenNsg-t1080x1080.jpg,sutra,checked,G-04-DARE
GROWsutra : GOD (etc),https://soundcloud.com/bananasutra/sets/growsutra-god-etc,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ,LOFI,MANTRA,ROCK",27,23956,280,1:24:51,https://i1.sndcdn.com/artworks-eYKRlb3V6IdPR1u7-GGSyjw-t500x500.png,https://i1.sndcdn.com/artworks-GR9JyL5n8yqk0dDg-rUqw1g-t1080x1080.jpg,sutra,checked,G-04-GOD
GROWsutra : KIND(ness),https://soundcloud.com/bananasutra/sets/growsutra-kind-ness,GROWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",17,13428,114,0:55:24,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png,https://i1.sndcdn.com/artworks-b1Fx0OuFqdHgE7WF-fVAj1Q-t1080x1080.jpg,sutra,checked,G-04-KIND
GROWsutra where we be brave,https://soundcloud.com/bananasutra/sets/sutragrow,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",296,180239,1732,16:09:25,https://i1.sndcdn.com/artworks-EIMomqQ3VHc9dl93-DvcAsA-t500x500.png,https://i1.sndcdn.com/artworks-mzuSCb7CNKrMH5sq-5CuPrQ-t1080x1080.jpg,sutra (all),,
