ep_title,ep_url,ep_volume,ep_rating,sutra,genres,genres_full,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,artwork_lg_url,lyrics_title,lyrics_id,ep_in_app,ep_featured,ep_description,ep_songbook_title,created_at,playlist_names_clean
A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,https://soundcloud.com/bananasutra/sets/a-letter-to-my-friend-never-again-epx44-growsutra-world-peace-mantra,1,,KNOWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA","BANJO,BLUES,DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,MANTRA,RAGGA,SOUL",44,28259,224,2:26:10,https://i1.sndcdn.com/artworks-wWQhnGqz9vHL3gbU-Sx2Pvw-t500x500.png,https://i1.sndcdn.com/artworks-wWQhnGqz9vHL3gbU-Sx2Pvw-t1080x1080.png,A Letter To My Friend (Never Again),L-3,checked,,"44 tracks of unapologetic peace. When did caring for one person mean betraying another? Served in banjo, blues, and dub. The numbers speak: 28k plays, 224 hearts. The peace prayer that won't shut up.",Ask: PEACE (not war),2025-10-10 03:58:47,"BANJOsutra, BLUESsutra (Best Of), GROWsutra where we be brave, INDIEsutra, INDIEsutra (Best Of), JAZZsutra (Best Of), KNOWsutra : PEACE (not War), KNOWsutra where questions matter, LOFIsutra, LOFIsutra (Best Of), WORLDsutra (Best Of)"
A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-and-a-that-a-la-bananasutra-epx3-vol-02-revolution-forever,2,,BLOWsutra,"LOFI,MANTRA","LOFI,MANTRA,TRIP HOP",3,931,9,0:09:42,https://i1.sndcdn.com/artworks-1bqixGWYedpZR647-tZkbFA-t500x500.png,https://i1.sndcdn.com/artworks-1bqixGWYedpZR647-tZkbFA-t1080x1080.png,A Man's a Man and A' That,L-5,checked,,"3 tracks of truth with teeth. Robert Burns wrote it over 200 years ago. The crown is still a stamped disguise. Channeling Robert Burns, obviously. Vol. 2, because one wasn't enough. A cover, reborn.",Speak: REVOLT (now),2025-04-25 03:30:20,"BLOWsutra : REVOLT (now), INDIEsutra, KNOWsutra where questions matter, LOFIsutra, MANTRAsutra"
A Man's A Man for A' That - VOL. 01 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-for-a-that-vol-01,1,,BLOWsutra,"FOLK,INDIE","FOLK,INDIE",3,575,6,0:10:33,https://i1.sndcdn.com/artworks-YUOwZVtRKHQ7qgnV-7WlPYA-t500x500.jpg,https://i1.sndcdn.com/artworks-YUOwZVtRKHQ7qgnV-7WlPYA-t1080x1080.jpg,A Man's a Man and A' That,L-5,checked,,"3 tracks of truth with teeth. Robert Burns wrote it over 200 years ago. The crown is still a stamped disguise. A nod to Robert Burns. Borrowed lyrics, original soul. Revolution as a daily practice.",Speak: REVOLT (now),2025-04-25 01:57:45,"BANJOsutra, BLOWsutra : REVOLT (now), KNOWsutra where questions matter, MANTRAsutra"
A stroll down history’s lane ☆ KNOWsutra ☆ EPx6 Vol. 1,https://soundcloud.com/bananasutra/sets/a-stroll-down-historys-lane,1,,KNOWsutra,MANTRA,MANTRA,6,1124,10,0:20:21,https://i1.sndcdn.com/artworks-9uz2GCIarSzz3CK9-yLGoGg-t500x500.jpg,https://i1.sndcdn.com/artworks-9uz2GCIarSzz3CK9-yLGoGg-t1080x1080.jpg,A Stroll Down History’s Lane,L-7,checked,,"6 mantra tracks built on nerve and a prayer. History's timeless trick: it rhymes, but(t) nobody listens. The peace prayer that won't shut up.",Ask: PEACE (not war),2025-03-31 10:45:04,"BANJOsutra, BLOWsutra, DUBsutra, FOLKsutra, INDIEsutra, KNOWsutra : PEACE (not War), KNOWsutra where questions matter, MANTRAsutra"
ABCs of Kindness - KNOWsutra,https://soundcloud.com/bananasutra/sets/abcs-of-kindness-knowsutra,1,,KNOWsutra,"INDIE,BURLESQUE","INDIE,BURLESQUE",10,1981,13,0:30:28,https://i1.sndcdn.com/artworks-OJbXzv5DEM6ihALr-CtrAEg-t500x500.jpg,https://i1.sndcdn.com/artworks-OJbXzv5DEM6ihALr-CtrAEg-t1080x1080.jpg,ABC Of Kindness,L-9,checked,,"A 10-track luminous ride that practices kindness like a contact sport. Kindness, alphabetized. Because some things deserve to be practiced A to Z. The sound: indie and burlesque. Kindness as rebellion.",Dare: KIND(ness),2025-02-09 02:36:48,"DUBsutra, GROWsutra : KIND(ness), INDIEsutra, KNOWsutra where questions matter, MANTRAsutra"
AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,https://soundcloud.com/bananasutra/sets/ai-fair-use-manifesto-epx3-vol1-lofi-burlesque-blues,1,,KNOWsutra,"BLUES,BURLESQUE,LOFI","BLUES,BURLESQUE,LOFI",3,577,5,0:09:42,https://i1.sndcdn.com/artworks-8MpTLEJF8IA3pZOl-q8KlmA-t500x500.png,https://i1.sndcdn.com/artworks-8MpTLEJF8IA3pZOl-q8KlmA-t1080x1080.png,AI Fair Use Manifesto,L-12,checked,,"3 tracks of truth with teeth. New tech, same question: what is creativity, really? Served in blues, burlesque, and lo-fi. The naked truth, served warm.",Ask: (Naked) TRUTH,2025-04-10 20:36:26,"BANJOsutra, BLUESsutra, BURLESQUEsutra, KNOWsutra : but(t) WHY, LOFIsutra"
Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,https://soundcloud.com/bananasutra/sets/aint-doing-bad-doing-nothing-public-domain-vol-02-epx10-flowsutra-wet-jazz,1,,FLOWsutra,"BLUES,BURLESQUE,JAZZ","BLUES,BURLESQUE,JAZZ",10,3919,38,0:29:52,https://i1.sndcdn.com/artworks-ywHf0D0qFVueq62i-1G6SmQ-t500x500.png,https://i1.sndcdn.com/artworks-ywHf0D0qFVueq62i-1G6SmQ-t1080x1080.png,Ain't Doing Bad Doing Nothing,L-14,checked,,"10 blues, burlesque, and jazz tracks disguised as music. The radical art of not hustling, for once. A nod to Peggy Lee. A cover, reborn. Fly like water, land like truth.",Trust: FLY (like water),2025-11-04 05:33:58,"BLUESsutra, BURLESQUEsutra, FLOWsutra where time is space, JAZZsutra"
All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,https://soundcloud.com/bananasutra/sets/all-i-know-shades-of-fools-its-the-why-knowsutra-epx5-vol-02,1,,KNOWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ","BLUES,BURLESQUE,FOLK,INDIE,JAZZ",5,2035,15,0:16:03,https://i1.sndcdn.com/artworks-jqVeUE2kfD4URweU-kKwl8A-t500x500.png,https://i1.sndcdn.com/artworks-jqVeUE2kfD4URweU-kKwl8A-t1080x1080.png,Shades of Fools (All I Know),L-217,checked,,"5 tracks of questions that won't quit. All I know is I dunno. But it's the why that tells you which shade of fool you're dealing with. Blues, burlesque, and folk grooves from end to end. The naked truth, served warm.",Ask: (Naked) TRUTH,2025-11-19 19:59:33,"BLUESsutra, BURLESQUEsutra, INDIEsutra, JAZZsutra, KNOWsutra where questions matter"
All the -Isms | BLOWsutra EPx7,https://soundcloud.com/bananasutra/sets/all-the-isms-blowsutra-epx7,1,,BLOWsutra,"BANJO,BURLESQUE,FOLK,JAZZ","BANJO,BURLESQUE,FOLK,JAZZ",7,1632,14,0:22:51,https://i1.sndcdn.com/artworks-qrxklwZQpzKpzPUh-kUGDvA-t500x500.png,https://i1.sndcdn.com/artworks-qrxklwZQpzKpzPUh-kUGDvA-t1080x1080.png,All the -Isms,L-16,checked,,"7 tracks of fair-play defiance. What if every -ism was just one -ism wearing different hats? (Spoiler: it's narcissism, all the way down.) Served in banjo, burlesque, and folk. Ego, meet your reflection.",Speak: EGO (gone loco),2025-08-26 02:05:59,"BANJOsutra, BLOWsutra, BLOWsutra : EGO (gone loco), BURLESQUEsutra, DUBsutra, FOLKsutra, JAZZsutra, KNOWsutra where questions matter, LOFIsutra"
An American in Paris (Public Domain Lyrics) 🎙️ SHOWsutra Classic Retro Musical REMAKE,https://soundcloud.com/bananasutra/sets/an-american-in-paris-public-domain-lyrics-showsutra-classic-retro-musical-remake,1,,SHOWsutra,"DUB,INDIE,JAZZ","DUB,INDIE,JAZZ",6,3599,35,0:20:07,https://i1.sndcdn.com/artworks-dOp2MsRUp5Ta2lVZ-MjIpgA-t500x500.png,https://i1.sndcdn.com/artworks-dOp2MsRUp5Ta2lVZ-MjIpgA-t1080x1080.png,An American in Paris (Public Domain),L-17,checked,,"6 dub, indie, and jazz tracks served with no apologies. Gershwin walked into a SHOWsutra set. Five Gershwin classics, zero originals, zero apologies. Inspired by Cole Porter. Borrowed lyrics, original soul. Welcome to the Fanana club.",Play: FANANA (party),2026-01-16 09:39:21,"DUBsutra, INDIEsutra, JAZZsutra, JAZZsutra (Best Of), SHOWsutra where bananas play"
Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth,https://soundcloud.com/bananasutra/sets/atheist-tango-ep-x9-vol-1-waldos-burlesque-tales-of-truth,1,,GROWsutra,"BURLESQUE,FOLK,JAZZ","BURLESQUE,FOLK,JAZZ",9,1667,23,0:29:14,https://i1.sndcdn.com/artworks-zGmZBF6E6J0dpCF7-7ObUQQ-t500x500.png,https://i1.sndcdn.com/artworks-zGmZBF6E6J0dpCF7-7ObUQQ-t1080x1080.png,The Atheist Tango,L-243,checked,,"9 tracks of holy doubt. Who needs a sky full of gods when you've got a tango? Inspired by Ralph Waldo Emerson. Holy questions, no holy answers.",Dare: GOD (etc.),2025-04-06 05:22:34,"BURLESQUEsutra, FOLKsutra, GROWsutra : GOD (etc), JAZZsutra, Questions for the (kind) POPE in the Sky, SHOWsutra where bananas play"
Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2,https://soundcloud.com/bananasutra/sets/awe-is-mighty-maybe-even-holy-glowsutra-conscious-indie-lofi-epx2,1,,GLOWsutra,"BLUES,FOLK,INDIE,LOFI,MANTRA","BLUES,FOLK,INDIE,LOFI,MANTRA,PSYCHEDELIC,TRIP HOP",2,681,12,0:06:41,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t1080x1080.png,Awe Is Mighty,L-21,checked,,"A 2-track glow-up that chases wonder like rent depends on it. Awe is not a luxury, not a miracle. It's the whole point, everywhere. Mary Oliver walked in and stayed. Poetry as essential infrastructure.",Bless: POET(ry),2025-12-30 00:34:10,"GLOWsutra : POET(ry), GLOWsutra where gratitude feeds, LOFIsutra, MANTRAsutra"
BANANA ALLELUIA ♾ EPx5 ♾ KNOWsutra BURLESQUE,https://soundcloud.com/bananasutra/sets/banana-alleluia-epx5-knowsutra-burlesque,1,,KNOWsutra,"BANJO,BURLESQUE,FOLK","BANJO,BURLESQUE,CABARET,FOLK",6,1327,24,0:20:03,https://i1.sndcdn.com/artworks-ygtp0Bp5Ccu1zSfd-ysCUOA-t500x500.png,https://i1.sndcdn.com/artworks-ygtp0Bp5Ccu1zSfd-ysCUOA-t1080x1080.png,Banana Alleluia,L-22,checked,,"A 20-minute ride of raw sense-making, across 6 tracks. In a world gone bananas, wondering might be the most revolutionary thing you do. The sound: banjo, burlesque, and folk. The naked truth, served warm.",Ask: (Naked) TRUTH,2025-08-01 09:27:17,"BURLESQUEsutra, KNOWsutra where questions matter, SHOWsutra : B.J. (is for Banana Jesters)"
