ep_title,ep_url,ep_volume,ep_rating,sutra,genres,genres_full,ep_total_tracks,track_titles,track_ids,total_plays,total_likes,ep_engagement_rate,duration_total,artwork_url,artwork_lg_url,lyrics_title,lyrics_id,ep_in_app,ep_featured,ep_description,ep_songbook_title,vid_exist,vid_ytplaylist,vid_yturl,created_at,playlist_names_clean
A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,https://soundcloud.com/bananasutra/sets/a-letter-to-my-friend-never-again-epx44-growsutra-world-peace-mantra,1,,KNOWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA","BANJO,BLUES,DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,MANTRA,RAGGA,SOUL",44,"[01] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [02] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [03] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [04] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [05] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [06] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [07] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [08] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [09] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [10] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [11] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [12] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [13] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [14] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [15] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE, [16] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [17] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [18] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [19] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [20] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [21] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [22] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [23] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [24] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [25] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [26] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI, [27] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop Storyteller LOFI 02, [28] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop Storyteller LOFI 03, [29] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop BRUH LOFI, [30] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop BRUH LOFI, [31] Letter to My Friend (Never Again) • GROWsutra She Wanna Know PsyBass Circus JAZZ, [32] Letter to My Friend (Never Again) • GROWsutra She Wanna Know PsyBass Circus JAZZ, [33] Letter to My Friend (Never Again) • GROWsutra What Shall We Hope For Now Psyjazz Ragga DUB, [34] Letter to My Friend (Never Again) • GROWsutra What Shall We Hope For Now Psyjazz Ragga DUB, [35] Letter to My Friend (Never Again) • GROWsutra What Shall We Hope For Now Psyjazz Ragga DUB, [36] Letter to My Friend (Never Again) • GROWsutra Wueen of Authenthic Dubby Banjo FOLK, [37] Letter to My Friend (Never Again) • GROWsutra PsyDestiny Banjo BLUES, [38] Letter to My Friend (Never Again) • GROWsutra PsyDestiny Banjo BLUES, [39] Letter to My Friend (Never Again) • GROWsutra PsyDestiny Banjo BLUES, [40] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA, [41] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA, [42] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA, [43] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA, [44] Letter to My Friend (Never Again) • GROWsutra F-Bomb Peace Drum LOFI MANTRA","2186767503, 2186767488, 2186767603, 2186767498, 2186767558, 2186767533, 2186767523, 2186767548, 2186767518, 2186767483, 2186767493, 2186767528, 2186767608, 2186767478, 2186767568, 2186767508, 2186767513, 2186767583, 2186767668, 2186767613, 2186767598, 2186767538, 2186767688, 2186767588, 2186767623, 2186767543, 2186767658, 2186767553, 2186767673, 2186767628, 2186767643, 2186767693, 2186767578, 2186767663, 2186767573, 2186767648, 2186767618, 2186767653, 2186767683, 2186767563, 2186767638, 2186767593, 2186767633, 2186767678",28563,224,0.784231,2:26:10,https://i1.sndcdn.com/artworks-wWQhnGqz9vHL3gbU-Sx2Pvw-t500x500.png,https://i1.sndcdn.com/artworks-wWQhnGqz9vHL3gbU-Sx2Pvw-t1080x1080.png,A Letter To My Friend (Never Again),L-3,checked,,"44 tracks of unapologetic peace. When did caring for one person mean betraying another? Served in banjo, blues, and dub. The numbers speak: 28k plays, 224 hearts. The peace prayer that won't shut up.",Ask: PEACE (not war),,,,2025-10-10T03:58:47Z,"BANJOsutra, BLUESsutra (Best Of), GROWsutra where we be brave, INDIEsutra, INDIEsutra (Best Of), JAZZsutra (Best Of), KNOWsutra : PEACE (not War), KNOWsutra where questions matter, LOFIsutra, LOFIsutra (Best Of), WORLDsutra (Best Of)"
A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-and-a-that-a-la-bananasutra-epx3-vol-02-revolution-forever,2,,BLOWsutra,"LOFI,MANTRA","LOFI,MANTRA,TRIP HOP",3,"[01] A Man's a Man and A' That - VOL. 02 - A Spin on Robert Burns' Revolutionary Song - TripHop LOFI, [02] A Man's a Man and A' That - VOL. 02 - A Spin on Robert Burns' Revolutionary Song - Capela MANTRA LOFI, [03] A Man's a Man for A' That - VOL. 02 - A Spin on Robert Burns' Revolutionary Song - DRUM MANTRA","2084801913, 2084801919, 2084801916",933,9,0.964630,0:09:42,https://i1.sndcdn.com/artworks-1bqixGWYedpZR647-tZkbFA-t500x500.png,https://i1.sndcdn.com/artworks-1bqixGWYedpZR647-tZkbFA-t1080x1080.png,A Man's a Man and A' That,L-5,checked,,"3 tracks of truth with teeth. Robert Burns wrote it over 200 years ago. The crown is still a stamped disguise. Channeling Robert Burns, obviously. Vol. 2, because one wasn't enough. A cover, reborn.",Speak: REVOLT (now),,,,2025-04-25T03:30:20Z,"BLOWsutra : REVOLT (now), INDIEsutra, KNOWsutra where questions matter, LOFIsutra, MANTRAsutra, MANTRAsutra (Best Of)"
A Man's A Man for A' That - VOL. 01 - Revolution Forever,https://soundcloud.com/bananasutra/sets/a-mans-a-man-for-a-that-vol-01,1,,BLOWsutra,"FOLK,INDIE","FOLK,INDIE",3,"A Man’s A Man For A’ That • Revolution MANTRAsutra (2), A Man’s A Man For A’ That • Revolution MANTRAsutra (1), A Man’s A Man For A’ That • Revolution BANJOsutra","2028250100, 2028250124, 2028250288",579,6,1.036269,0:10:33,https://i1.sndcdn.com/artworks-YUOwZVtRKHQ7qgnV-7WlPYA-t500x500.jpg,https://i1.sndcdn.com/artworks-YUOwZVtRKHQ7qgnV-7WlPYA-t1080x1080.jpg,A Man's a Man and A' That,L-5,checked,,"3 tracks of truth with teeth. Robert Burns wrote it over 200 years ago. The crown is still a stamped disguise. A nod to Robert Burns. Borrowed lyrics, original soul. Revolution as a daily practice.",Speak: REVOLT (now),,,,2025-04-25T01:57:45Z,"BANJOsutra, BLOWsutra : REVOLT (now), KNOWsutra where questions matter, MANTRAsutra"
A stroll down history’s lane ☆ KNOWsutra ☆ EPx6 Vol. 1,https://soundcloud.com/bananasutra/sets/a-stroll-down-historys-lane,1,,KNOWsutra,MANTRA,MANTRA,6,"A stroll down history’s lane • DUBsutra, A stroll down history’s lane 3 • FOLKsutra, A stroll down history’s lane • PIANOsutra, A stroll down history’s lane 1 • FOLKsutra, A stroll down history’s lane 2 • BANJOsutra, A stroll down history’s lane • Mantra DUBsutra","2010294911, 2010294879, 2010294859, 2010294907, 2010294891, 2010294923",1139,10,0.877963,0:20:21,https://i1.sndcdn.com/artworks-9uz2GCIarSzz3CK9-yLGoGg-t500x500.jpg,https://i1.sndcdn.com/artworks-9uz2GCIarSzz3CK9-yLGoGg-t1080x1080.jpg,A Stroll Down History’s Lane,L-7,checked,,"6 mantra tracks built on nerve and a prayer. History's timeless trick: it rhymes, but(t) nobody listens. The peace prayer that won't shut up.",Ask: PEACE (not war),,,,2025-03-31T10:45:04Z,"BANJOsutra, BLOWsutra, DUBsutra, FOLKsutra, INDIEsutra, KNOWsutra : PEACE (not War), KNOWsutra where questions matter, MANTRAsutra"
ABCs of Kindness - KNOWsutra,https://soundcloud.com/bananasutra/sets/abcs-of-kindness-knowsutra,1,,KNOWsutra,"INDIE,BURLESQUE","INDIE,BURLESQUE",10,"ABC Of Kindness - A Is For Always Speak From Your Heart - KIDS INDIEsutra, ABC Of Kindness - A Is For Always Speak From Your Heart - DUBsutra (1), ABC Of Kindness - A Is For Always Speak From Your Heart - DUBsutra (2), ABC Of Kindness - A Is For Apologize - MANTRAsutra (1), ABC Of Kindness - A Is For Apologize - DUBsutra (2), ABC Of Kindness - A Is Ask - DUBsutra (1), ABC Of Kindness - A Is Ask - DUBsutra (2), ABC Of Kindness - A Is For Ask - DUBsutra (3), ABC Of Kindness - A Is For Ask - DUBsutra (4), ABC Of Kindness - A Is For Always Speak From Your Heart - Drum MANTRAsutra","2029770604, 2029770568, 2029770512, 2029770504, 2029770496, 2029770480, 2029770472, 2029770456, 2029770432, 2029770412",2009,13,0.647088,0:30:28,https://i1.sndcdn.com/artworks-OJbXzv5DEM6ihALr-CtrAEg-t500x500.jpg,https://i1.sndcdn.com/artworks-OJbXzv5DEM6ihALr-CtrAEg-t1080x1080.jpg,ABC Of Kindness,L-9,checked,,"A 10-track luminous ride that practices kindness like a contact sport. Kindness, alphabetized. Because some things deserve to be practiced A to Z. The sound: indie and burlesque. Kindness as rebellion.",Dare: KIND(ness),,,,2025-02-09T02:36:48Z,"DUBsutra, DUBsutra (Best Of), GROWsutra : KIND(ness), INDIEsutra, KNOWsutra where questions matter, MANTRAsutra"
AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,https://soundcloud.com/bananasutra/sets/ai-fair-use-manifesto-epx3-vol1-lofi-burlesque-blues,1,,KNOWsutra,"BLUES,BURLESQUE,LOFI","BLUES,BURLESQUE,LOFI",3,"[1] AI Fair Use Manifesto - psyLOFI, [2] Abstracted Innuendo Tango Manifesto - GipsyJAZZ, [3] Vive la Revolution Artistique (AI Fair Use Manifesto) - banjoBLUES","2075748108, 2075748120, 2075748112",587,5,0.851789,0:09:42,https://i1.sndcdn.com/artworks-8MpTLEJF8IA3pZOl-q8KlmA-t500x500.png,https://i1.sndcdn.com/artworks-8MpTLEJF8IA3pZOl-q8KlmA-t1080x1080.png,AI Fair Use Manifesto,L-12,checked,,"3 tracks of truth with teeth. New tech, same question: what is creativity, really? Served in blues, burlesque, and lo-fi. The naked truth, served warm.",Ask: (Naked) TRUTH,,,,2025-04-10T20:36:26Z,"BANJOsutra, BLUESsutra, BURLESQUEsutra, KNOWsutra : (naked) TRUTH, KNOWsutra : but(t) WHY, KNOWsutra where questions matter, LOFIsutra"
Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,https://soundcloud.com/bananasutra/sets/aint-doing-bad-doing-nothing-public-domain-vol-02-epx10-flowsutra-wet-jazz,1,,FLOWsutra,"BLUES,BURLESQUE,JAZZ","BLUES,BURLESQUE,JAZZ",10,"[01] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [02] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [03] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [04] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [05] Ain't Doing Bad Doing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [06] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [07] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ, [08] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet BURLESQUE, [09] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet BLUES, [10] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet BLUES","2205955091, 2205955067, 2205955095, 2205955063, 2205955059, 2205955071, 2205955079, 2205955087, 2205955083, 2205955075",3963,37,0.933636,0:29:52,https://i1.sndcdn.com/artworks-ywHf0D0qFVueq62i-1G6SmQ-t500x500.png,https://i1.sndcdn.com/artworks-ywHf0D0qFVueq62i-1G6SmQ-t1080x1080.png,Ain't Doing Bad Doing Nothing,L-14,checked,,"10 blues, burlesque, and jazz tracks disguised as music. The radical art of not hustling, for once. A nod to Peggy Lee. A cover, reborn. Fly like water, land like truth.",Trust: FLY (like water),,,,2025-11-04T05:33:58Z,"BLUESsutra, BURLESQUEsutra, BURLESQUEsutra (Best Of), FLOWsutra where time is space, JAZZsutra, JAZZsutra (Best Of)"
All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,https://soundcloud.com/bananasutra/sets/all-i-know-shades-of-fools-its-the-why-knowsutra-epx5-vol-02,1,,KNOWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ","BLUES,BURLESQUE,FOLK,INDIE,JAZZ",5,"[01] All I Know - Shades of Fools • KNOWsutra All I know Upright Bass Folk JAZZ, [02] All I Know - Shades of Fools • KNOWsutra Accordion Chanson Jazz BURLESQUE, [03] All I know - Shades of Fools • KNOWsutra Piano Jazz BURLESQUE, [04] All I know - Shades of Fools • KNOWsutra Cello Burlesque INDIE, [05] All I Know - Shades of Fools • KNOWsutra Destiny BLUES","2215462523, 2215462526, 2215462532, 2215462535, 2215462529",2072,14,0.675676,0:16:03,https://i1.sndcdn.com/artworks-jqVeUE2kfD4URweU-kKwl8A-t500x500.png,https://i1.sndcdn.com/artworks-jqVeUE2kfD4URweU-kKwl8A-t1080x1080.png,Shades of Fools (All I Know),L-217,checked,,"5 tracks of questions that won't quit. All I know is I dunno. But it's the why that tells you which shade of fool you're dealing with. Blues, burlesque, and folk grooves from end to end. The naked truth, served warm.",Ask: (Naked) TRUTH,,,,2025-11-19T19:59:33Z,"BLUESsutra, BLUESsutra (Best Of), BURLESQUEsutra, INDIEsutra, JAZZsutra, KNOWsutra : (naked) TRUTH, KNOWsutra where questions matter"
All the -Isms | BLOWsutra EPx7,https://soundcloud.com/bananasutra/sets/all-the-isms-blowsutra-epx7,1,,BLOWsutra,"BANJO,BURLESQUE,FOLK,JAZZ","BANJO,BURLESQUE,FOLK,JAZZ",7,"[01] All Lame-Isms (she wanna know) BLOWsutra JAZZ, [02] All Lame-Isms - BLOWsutra CAT JAZZ, [03] All Lame-Isms - (Miss Cheeky) DUBsutra, [04] All Lame-Isms (oh boy) 1 - BLOWsutra BURLESQUE, [05] All Lame-Isms (oh boy) 2 - BLOWsutra BURLESQUE, [06] All Lame-Isms (Queen of Authentic) - BLOWsutra FOLK, [07] All Lame-Isms - (Hide your Pets) BLOWsutra BANJO","2159381859, 2159381862, 2159381856, 2159381847, 2159381850, 2159381865, 2159381853",1640,14,0.853659,0:22:51,https://i1.sndcdn.com/artworks-qrxklwZQpzKpzPUh-kUGDvA-t500x500.png,https://i1.sndcdn.com/artworks-qrxklwZQpzKpzPUh-kUGDvA-t1080x1080.png,All the -Isms,L-16,checked,,"7 tracks of fair-play defiance. What if every -ism was just one -ism wearing different hats? (Spoiler: it's narcissism, all the way down.) Served in banjo, burlesque, and folk. Ego, meet your reflection.",Speak: EGO (gone loco),,,,2025-08-26T02:05:59Z,"BANJOsutra, BLOWsutra, BLOWsutra : EGO (gone loco), BURLESQUEsutra, BURLESQUEsutra (Best Of), DUBsutra, FOLKsutra, FOLKsutra (Best Of), JAZZsutra, KNOWsutra where questions matter, LOFIsutra"
An American in Paris (Public Domain Lyrics) 🎙️ SHOWsutra Classic Retro Musical REMAKE,https://soundcloud.com/bananasutra/sets/an-american-in-paris-public-domain-lyrics-showsutra-classic-retro-musical-remake,1,,SHOWsutra,"DUB,INDIE,JAZZ","DUB,INDIE,JAZZ",6,"[01] I Got Rhythm - An American in Paris, Public Domain Lyrics - SHOWsutra Retro Musical INDIE, [02] By Strauss - An American in Paris, Public Domain Lyrics - SHOWsutra Retro Piano Waltz INDIE, [03] Nice Work If You Can Get It - An American in Paris, Public Domain Lyrics - SHOWsutra Indie JAZZ, [04] Embraceable You - An American in Paris, Public Domain Lyrics - SHOWsutra Indie Jazz DUB, [05] Tra-La-La - An American in Paris, Public Domain Lyrics - SHOWsutra Indie Jazz DUB, [06] Tra-La-La - An American in Paris, Public Domain Lyrics - SHOWsutra Indie Jazz DUB","2248524074, 2248524083, 2248524080, 2248524077, 2248524068, 2248524071",3641,35,0.961274,0:20:07,https://i1.sndcdn.com/artworks-dOp2MsRUp5Ta2lVZ-MjIpgA-t500x500.png,https://i1.sndcdn.com/artworks-dOp2MsRUp5Ta2lVZ-MjIpgA-t1080x1080.png,An American in Paris (Public Domain),L-17,checked,,"6 dub, indie, and jazz tracks served with no apologies. Gershwin walked into a SHOWsutra set. Five Gershwin classics, zero originals, zero apologies. Inspired by Cole Porter. Borrowed lyrics, original soul. Welcome to the Fanana club.",Play: FANANA (party),,,,2026-01-16T09:39:21Z,"DUBsutra, DUBsutra (Best Of), INDIEsutra, JAZZsutra, JAZZsutra (Best Of), SHOWsutra : FANANA Club, SHOWsutra where bananas play"
