video_id,lyrics_id,lyrics_title,video_title,best_score,title_score,desc_score,content_type,yt_url
SeWIV6fq30c,L-208,Rhinoceross,An Anti-AntiDUB Hum Song from a Cold Dark Theater of the Absurd a Million Tusks Away from Home 🎼🦏🌊,36.4,36.4,27.3,Music Video,https://www.youtube.com/watch?v=SeWIV6fq30c
Qr4MkZpCfM0,L-292,What's F-A-S-C-I-S-T?,Because FOTUS’s low opinion of Education means the people (that’s u & me) must contribute knowledge,33.3,33.3,0.0,Music Video,https://www.youtube.com/watch?v=Qr4MkZpCfM0
6V_gcc6W33E,L-75,F-BOMB,PSA: False Positive Music Copyright Claims are Trending and the burden to prove ‘em wrong is on us!,33.3,16.7,33.3,Music Video,https://www.youtube.com/watch?v=6V_gcc6W33E
eSVsHkccwwE,L-357,Who Knows What Goes On?,I did the math and everything is stupid spirit 💫,35.0,35.0,0,Music Video,https://www.youtube.com/watch?v=eSVsHkccwwE
zLMdIFeKnf4,L-106,How Do Kids Learn Now?,Sundays are for musette reflection 🐦‍⬛📺🍂,38.9,38.9,38.1,Music Video,https://www.youtube.com/watch?v=zLMdIFeKnf4
QMaxq0XhyRk,L-320,Self-Remembering,"Hush dreams or shush nightmares, the choice depends on our ability to respect each others…",33.3,33.3,23.1,Music Video,https://www.youtube.com/watch?v=QMaxq0XhyRk
CHCDS1cfVv4,L-127,Kindness (Oh Sweet Kindness),"Real gods are humble, curious, and kind—not pompous, envious, or righteous… all agnostics know THAT!",39.3,39.3,0,Music Video,https://www.youtube.com/watch?v=CHCDS1cfVv4
XKHiK-rMl-Y,L-198,Queer Almighty,Make songs not bongs 🪕📺🐸💡,28.6,28.6,0,Music Video,https://www.youtube.com/watch?v=XKHiK-rMl-Y
e1jQbFiNJEU,L-320,Self-Remembering,You name it…,31.6,31.6,0,Music Video,https://www.youtube.com/watch?v=e1jQbFiNJEU
2frg7idbEoA,L-94,HashtagWHY (Sorry Not Sorry),Tell me why 🪕💃🏻🦋,37.0,37.0,0,Music Video,https://www.youtube.com/watch?v=2frg7idbEoA
nhefbkj7xck,L-94,HashtagWHY (Sorry Not Sorry),Oooh so this 3min minimum YouTube vid update only applies to vertical videos 🪕🦋 #tellmeyourstory,37.8,37.8,0,Music Video,https://www.youtube.com/watch?v=nhefbkj7xck
d9OvzBZ-cs4,L-81,FOTUS Circus: Angels Eyes,🎪🎶☁️,0.0,0.0,0,Music Video,https://www.youtube.com/watch?v=d9OvzBZ-cs4
QZ-GbSna-lM,L-32,Blessed Are The Cracked,📺 🕊️❤️ #madewithlove,39.1,34.3,39.1,Music Video,https://www.youtube.com/watch?v=QZ-GbSna-lM
HQQHubV5PC4,L-32,Blessed Are The Cracked,"I like this song, too… you?",39.1,34.3,39.1,Music Video,https://www.youtube.com/watch?v=HQQHubV5PC4
55psVvKqYc8,L-198,Queer Almighty,What’s wrong…,25.0,25.0,0,Music Video,https://www.youtube.com/watch?v=55psVvKqYc8
